animal_ID,treatment_odor,sex,species,dead,length_mm,time_move_p,total_dist_m,avg_speed_BL,max_speed_BL,mean_speed_first_BL,diff_speed_first_last_BL,sharp_turns_p,spirals,continuous,max_still_sec
190626-01-top,100ul_milliQ_water,f,Aedes aegypti,no,5.2,85.57906458797328,5.896524814921026,1.4607217738432092,4.588955426715699,1.0411064842446502,0.3431760394001555,11.358574610244988,4,264,0.0
190626-01-bottom,100ul_milliQ_water,f,Aedes aegypti,no,5.9,73.55555555555556,6.016811115849044,1.5193995408411696,3.2504574743465557,0.1965898711062524,1.2159444932331156,9.5,4,218,16.0
190626-02-top,100ul_milliQ_water,m,Aedes aegypti,no,5.2,0.389321468298109,0.10894329427910807,0.24257602919210033,0.270122974497555,0.021920349788390685,0.003922494725485431,0.0,0,0,549.0
190626-02-bottom,100ul_milliQ_water,m,Aedes aegypti,no,5.3,31.423804226918797,0.8979626575026272,0.4951660712509692,2.060584716466711,0.5465199310982393,-0.2586648597691549,2.3359288097886544,1,77,161.0
190626-03-top,100ul_milliQ_water,missing,Aedes aegypti,missing,5.4,24.86095661846496,1.1648857646911643,0.8663463624873646,2.4354084239119698,0.3532817748850795,-0.26560426576889645,3.225806451612903,0,69,88.5
190626-03-bottom,100ul_milliQ_water,f,Aedes aegypti,no,6.0,48.83203559510567,1.4491951035102564,0.4738581962293975,1.9788163848005969,0.4091809069797523,-0.09519757093304654,3.6151279199110125,5,133,31.0
190626-04-top,100ul_milliQ_water,f,Aedes aegypti,no,6.4,46.329254727474975,1.4807820765061015,0.4890730554577756,1.9389592215909008,0.042801611121607706,0.32021832106531717,4.838709677419355,9,115,59.0
190626-04-bottom,100ul_milliQ_water,missing,Aedes aegypti,missing,4.6,65.07230255839822,2.9126750255588014,1.0410456302023843,2.682194268896429,0.36723394851804814,0.6076865297505574,6.896551724137931,2,170,30.5
190626-05-top,100ul_milliQ_water,missing,Aedes aegypti,missing,5.9,77.03003337041157,6.005032422477205,1.4472634044258161,3.4098886856921595,0.34181501256602015,0.9669691286071798,13.014460511679642,9,221,13.5
190626-05-bottom,100ul_milliQ_water,f,Aedes aegypti,no,6.0,43.770856507230256,1.7074234255525154,0.6383222817121812,2.26197911525529,0.3188644858483343,0.05040593826015205,5.005561735261402,0,119,35.0
190626-06-top,100ul_milliQ_water,m,Aedes aegypti,no,5.3,52.44716351501668,1.7440980144302525,0.644162442156298,2.017286634172386,0.6409859765782304,-0.1138149237229813,5.951056729699666,8,117,81.5
190626-06-bottom,100ul_milliQ_water,f,Aedes aegypti,no,6.0,65.57285873192436,1.7943647078150342,0.4702231821701345,1.9351590110689372,0.3794281064932019,-0.12839269507473405,6.117908787541713,8,157,17.5
190627-01-top,100ul_milliQ_water,m,Aedes aegypti,no,5.4,71.03064066852367,3.169307015505616,0.8902041152430575,4.402039796801264,0.7217779012741079,-0.0718459737720375,11.086350974930362,2,162,18.0
190627-01-bottom,100ul_milliQ_water,f,Aedes aegypti,no,5.0,58.00889877641824,2.7205302817997334,0.9919375271080549,3.65318916889811,0.7484906791588988,-0.40484842656551334,9.343715239154617,2,163,69.0
190627-02-top,100ul_milliQ_water,m,Aedes aegypti,no,5.5,56.562847608453836,1.7150723460399957,0.560453832093053,2.134566287213755,0.3040706830562506,0.07243997125906937,5.951056729699666,4,136,22.5
190627-02-bottom,100ul_milliQ_water,f,Aedes aegypti,no,5.3,68.13370473537604,3.9395907697707573,1.1821089595375385,14.657633406454314,0.6855382795964133,0.5864121462304093,9.192200557103064,5,189,24.5
190627-03-top,100ul_milliQ_water,m,Aedes aegypti,no,4.9,43.48552338530067,1.375486481147452,0.6183370062200166,1.9355457097527649,0.4481765273609775,-0.065583661464515,4.4543429844097995,0,78,40.5
190627-03-bottom,100ul_milliQ_water,m,Aedes aegypti,no,5.6,38.26473859844271,1.4598045613690749,0.6699654955779742,2.0382147629233067,0.039308100883008616,0.18832917146911266,4.4493882091212456,0,83,58.0
190628-01-top,100ul_milliQ_water,m,Aedes albopictus,no,4.4,53.362979433018346,1.7279080364251418,0.7445665497635117,4.061457086804793,0.1541263383545017,0.23065608623388242,4.002223457476376,0,140,63.0
190628-01-bottom,100ul_milliQ_water,missing,Aedes albopictus,missing,5.2,50.25013896609227,2.692758474490206,1.0903232130589873,2.53479668791487,0.04011790863583243,0.5538040673213708,4.502501389660923,0,162,143.0
190628-02-top,100ul_milliQ_water,m,Aedes albopictus,no,5.2,71.412680756396,2.80624519515686,0.803430055203477,2.101409589554422,0.44234090186803665,0.2981946499216709,6.952169076751947,1,193,0.0
190628-02-bottom,100ul_milliQ_water,m,Aedes albopictus,no,5.6,60.74610244988864,2.386082851859723,0.7307917562159594,1.9814590095019369,0.28302571933323606,0.14550615030589714,4.67706013363029,1,184,22.0
190628-03-top,100ul_milliQ_water,m,Aedes albopictus,no,4.8,59.232480533926584,2.3632775405716746,0.8614288282088779,2.6370970390577875,0.35887995853891536,0.6029527169411155,5.617352614015573,1,180,20.5
190628-03-bottom,100ul_milliQ_water,m,Aedes albopictus,no,4.7,64.23804226918799,2.188126914086153,0.7547262408218666,2.219152629059984,0.15958859930761723,0.6792111421768553,5.061179087875417,5,176,40.5
190628-04-top,100ul_milliQ_water,m,Aedes albopictus,no,4.9,64.73859844271412,2.0022264561728362,0.6504770777826963,2.3394628623485385,0.3345156105433097,0.22307764960669407,5.2836484983314795,2,179,14.5
