animal_ID,A_median_conc,A_discovery_time,A_c_speed,treatment_odor,sex,species,dead,E_median_conc,E_discovery_time,E_c_speed,median_conc_diff,discovery_time_diff,c_speed_diff
190626-01-top,4.957666666666666,0.075,-0.01347405796972767,100ul_milliQ_water,f,Aedes aegypti,no,15.133999999999999,0.75,-0.008422244306262927,10.176333333333332,0.675,0.005051813663464744
190626-01-bottom,6.024708333333335,0.8333333333333334,-0.058355481151649624,100ul_milliQ_water,f,Aedes aegypti,no,15.773791666666666,0.016666666666666666,-0.07091104643701446,9.749083333333331,-0.8166666666666667,-0.012555565285364834
190626-02-top,64.67791666666666,0.9083333333333333,0.006697921062976703,100ul_milliQ_water,m,Aedes aegypti,no,54.137708333333336,0.016666666666666666,-0.017165501813593595,-10.540208333333325,-0.8916666666666666,-0.023863422876570298
190626-02-bottom,5.9177083333333345,0.5583333333333333,0.06325093461937767,100ul_milliQ_water,m,Aedes aegypti,no,1.8022083333333332,11.608333333333333,0.08315973581113718,-4.115500000000001,11.049999999999999,0.019908801191759515
190626-03-top,1.9615,0.016666666666666666,0.0007958763667610669,100ul_milliQ_water,missing,Aedes aegypti,missing,1.6386666666666667,15.0,-0.07961012599141652,-0.3228333333333333,14.983333333333333,-0.08040600235817759
190626-03-bottom,1.5704166666666666,0.016666666666666666,-0.004027893916891415,100ul_milliQ_water,f,Aedes aegypti,no,16.456,0.8666666666666667,-0.03715309758076768,14.885583333333333,0.85,-0.033125203663876265
190626-04-top,12.34475,1.8333333333333333,-0.016382002658214864,100ul_milliQ_water,f,Aedes aegypti,no,21.255083333333328,1.2333333333333334,-0.0172610940454073,8.910333333333329,-0.5999999999999999,-0.0008790913871924363
190626-04-bottom,26.356666666666666,0.25833333333333336,-0.07148908780901952,100ul_milliQ_water,missing,Aedes aegypti,missing,16.690583333333333,0.03333333333333333,-0.021098629067245328,-9.666083333333333,-0.22500000000000003,0.0503904587417742
190626-05-top,16.485374999999998,1.3,-0.07609875742286004,100ul_milliQ_water,missing,Aedes aegypti,missing,18.953208333333336,0.35833333333333334,-0.11307636512226693,2.4678333333333384,-0.9416666666666667,-0.03697760769940689
190626-05-bottom,3.893666666666667,5.3,-0.01666110629522921,100ul_milliQ_water,f,Aedes aegypti,no,24.8205,0.016666666666666666,-0.01915203042723157,20.92683333333333,-5.283333333333333,-0.002490924132002359
190626-06-top,5.8293333333333335,2.65,-0.024411352174944223,100ul_milliQ_water,m,Aedes aegypti,no,2.058125,14.891666666666667,0.09885779993037544,-3.7712083333333335,12.241666666666667,0.12326915210531966
190626-06-bottom,17.136625,0.016666666666666666,0.0032389458625598916,100ul_milliQ_water,f,Aedes aegypti,no,17.169625,1.9583333333333333,-0.0028489000518235885,0.03300000000000125,1.9416666666666667,-0.00608784591438348
190627-01-top,12.9085,0.041666666666666664,-0.020056679982562026,100ul_milliQ_water,m,Aedes aegypti,no,9.574458333333332,0.016666666666666666,-0.07897844662351489,-3.3340416666666677,-0.024999999999999998,-0.05892176664095286
190627-01-bottom,17.52225,0.5833333333333334,-0.014711217442370084,100ul_milliQ_water,f,Aedes aegypti,no,2.7207916666666665,2.158333333333333,-0.01563191438016784,-14.801458333333333,1.5749999999999997,-0.0009206969377977547
190627-02-top,6.5285,4.441666666666666,0.010407761949221911,100ul_milliQ_water,m,Aedes aegypti,no,19.367333333333335,2.433333333333333,-0.02251207627440742,12.838833333333334,-2.0083333333333333,-0.03291983822362933
190627-02-bottom,7.239999999999998,0.36666666666666664,0.0306368805606361,100ul_milliQ_water,f,Aedes aegypti,no,4.206166666666666,1.0166666666666666,-0.01055600463290901,-3.033833333333332,0.6499999999999999,-0.04119288519354511
190627-03-top,11.882458333333332,3.033333333333333,-0.016558322772152897,100ul_milliQ_water,m,Aedes aegypti,no,12.084958333333333,7.533333333333333,-0.022970434836024053,0.20250000000000057,4.5,-0.006412112063871156
190627-03-bottom,6.916666666666666,1.2166666666666666,-0.013314385533100062,100ul_milliQ_water,m,Aedes aegypti,no,3.1527916666666664,3.466666666666667,-0.0219885168727825,-3.7638749999999996,2.25,-0.008674131339682437
190628-01-top,32.05925,3.225,-0.054098111467778084,100ul_milliQ_water,m,Aedes albopictus,no,19.173583333333333,3.2916666666666665,-0.04584937149977114,-12.885666666666665,0.06666666666666643,0.008248739968006943
190628-01-bottom,8.632833333333332,3.941666666666667,-0.051641818054238064,100ul_milliQ_water,missing,Aedes albopictus,missing,1.63775,3.808333333333333,0.004640427806003045,-6.995083333333332,-0.13333333333333375,0.05628224586024111
190628-02-top,5.61525,1.3083333333333333,-0.04776565793165116,100ul_milliQ_water,m,Aedes albopictus,no,20.4275,1.55,-0.03627277040337641,14.812249999999999,0.2416666666666667,0.01149288752827475
190628-02-bottom,9.680166666666667,0.08333333333333333,-0.013994351411834999,100ul_milliQ_water,m,Aedes albopictus,no,16.279625,0.9583333333333334,-0.026194439732972197,6.599458333333333,0.875,-0.012200088321137198
190628-03-top,1.80675,4.933333333333334,-0.06952929366512958,100ul_milliQ_water,m,Aedes albopictus,no,3.4957083333333334,5.183333333333334,-0.06543617303458697,1.6889583333333333,0.25,0.00409312063054261
190628-03-bottom,1.916875,6.933333333333334,0.027919321115615167,100ul_milliQ_water,m,Aedes albopictus,no,16.764666666666667,0.016666666666666666,-0.04903599497299223,14.847791666666666,-6.916666666666667,-0.0769553160886074
