frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
95,1.0,518.234285714,22.48,215,518.247833564,22.4688738226,531,203,False
96,1.0,518.257142857,22.6,215,518.270578741,22.5889657744,531,203,False
97,1.0,518.28,22.72,215,518.293323918,22.7090577263,531,203,False
98,1.0,518.302857143,22.84,215,518.316069096,22.8291496782,531,203,False
99,1.0,518.325714286,22.96,215,518.338814273,22.9492416301,531,203,False
100,1.0,518.348571429,23.08,215,518.36155945,23.069333582,531,203,False
101,1.0,518.371428571,23.2,215,518.384304627,23.1894255338,531,203,False
102,1.0,518.394285714,23.32,215,518.407049804,23.3095174857,531,203,False
103,1.0,518.417142857,23.44,215,518.429794981,23.4296094376,531,203,False
104,1.0,518.44,23.56,215,518.452540159,23.5497013895,531,203,False
105,1.0,518.462857143,23.68,215,518.475285336,23.6697933414,531,203,False
106,1.0,518.485714286,23.8,215,518.498030513,23.7898852932,531,203,False
107,1.0,518.508571429,23.92,215,518.52077569,23.9099772451,531,203,False
108,1.0,518.531428571,24.04,215,518.543520867,24.030069197,531,203,False
109,1.0,518.554285714,24.16,215,518.566266044,24.1501611489,531,203,False
110,1.0,518.577142857,24.28,215,518.589011221,24.2702531007,531,203,False
111,1.0,518.6,24.4,215,518.611756399,24.3903450526,531,203,False
112,1.0,518.622857143,24.52,215,518.634501576,24.5104370045,531,203,False
113,1.0,518.645714286,24.64,215,518.657246753,24.6305289564,531,203,False
114,1.0,518.668571429,24.76,215,518.67999193,24.7506209083,531,203,False
115,1.0,518.691428571,24.88,215,518.702737107,24.8707128601,531,203,False
116,1.0,518.714285714,25.0,215,518.725482284,24.990804812,531,203,False
117,1.0,518.737142857,25.12,215,518.748227462,25.1108967639,531,203,False
118,1.0,518.76,25.24,215,518.770972639,25.2309887158,531,203,False
119,1.0,518.782857143,25.36,215,518.793717816,25.3510806677,531,203,False
120,1.0,518.805714286,25.48,215,518.816462993,25.4711726195,531,203,False
121,1.0,518.828571429,25.6,215,518.83920817,25.5912645714,531,203,False
122,1.0,518.851428571,25.72,215,518.861953347,25.7113565233,531,203,False
123,1.0,518.874285714,25.84,215,518.884698525,25.8314484752,531,203,False
124,1.0,518.897142857,25.96,215,518.907443702,25.9515404271,531,203,False
125,1.0,518.92,26.08,215,518.930188879,26.0716323789,531,203,False
