frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
92,15.0,40.0,333,14.538861241,39.7666006688,548,222,False
93,22.0,42.0,333,21.4854928481,41.945624323,548,222,False
94,26.0,43.0,333,25.8453475105,42.9991305126,548,222,False
95,30.0,43.0,333,29.944134654,43.0184405093,548,222,False
96,33.0,44.0,333,32.9970994475,43.9899347138,548,222,False
97,33.0,44.0,333,33.0532855288,44.0132742549,548,222,False
98,34.0,44.0,333,34.0046257254,44.0057622868,548,222,False
99,35.0,44.0,333,35.0009950252,44.0021866835,548,222,False
100,36.0,34.0,333,36.0003359722,34.1791801524,548,222,False
101,34.0,14.0,333,34.0536325352,14.2536821474,548,222,False
102,36.0,17.0,333,35.9512049555,16.6932597592,548,222,False
103,35.0,21.0,333,35.0320306225,20.8486330394,548,222,False
104,37.0,21.0,333,36.9608324743,21.0131559621,548,222,False
105,39.0,21.0,333,38.9829559882,21.0082328393,548,222,False
106,40.0,22.0,333,40.011366725,21.9853915071,548,222,False
107,42.0,22.0,333,41.9872481834,22.0115455838,548,222,False
108,43.0,22.0,333,43.01227055,22.005116293,548,222,False
109,44.0,22.0,333,44.0053880761,22.0019458307,548,222,False
110,45.0,22.0,333,45.0020472039,22.000727103,548,222,False
111,46.0,22.0,333,46.0007648899,22.0002710915,548,222,False
112,47.0,22.0,333,47.0002851755,22.0001010442,548,222,False
113,48.0,22.0,333,48.0001062936,22.0000376609,548,222,False
114,48.0,21.0,333,48.017875945,21.0178503644,548,222,False
115,48.0,21.0,333,48.007516198,20.9896703361,548,222,False
116,49.0,22.0,333,48.9850059218,21.9775009363,548,222,False
117,49.0,21.0,333,49.0113962003,21.0263944575,548,222,False
118,49.0,21.0,333,49.0050603442,20.9936657014,548,222,False
119,49.0,21.0,333,49.0019249648,20.9968652011,548,222,False
120,49.0,21.0,333,49.0007193253,20.9987945769,548,222,False
121,49.0,21.0,333,49.0002681926,20.999548948,548,222,False
122,49.0,21.0,333,49.0000999638,20.9998318012,548,222,False
123,49.0,21.0,333,49.0000372582,20.9999373057,548,222,False
124,49.0,21.0,333,49.0000138867,20.9999766327,548,222,False
125,49.0,21.0,333,49.0000051758,20.9999912906,548,222,False
126,49.0,21.0,333,49.0000019291,20.9999967539,548,222,False
127,49.0,21.0,333,49.000000719,20.9999987901,548,222,False
128,49.0,21.0,333,49.000000268,20.9999995491,548,222,False
129,49.0,21.0,333,49.0000000999,20.9999998319,548,222,False
130,49.0,21.0,333,49.0000000372,20.9999999374,548,222,False
131,49.0,21.0,333,49.0000000139,20.9999999767,548,222,False
132,82.0,24.0,333,81.4114011944,23.9464910085,548,222,False
133,128.0,47.0,333,127.520580488,46.6207691489,548,222,False
134,156.0,74.0,333,156.129922667,73.7701158112,548,222,False
135,161.0,81.0,333,161.47342825,81.2668081455,548,222,False
136,163.0,85.0,333,163.250301563,85.1698208891,548,222,False
137,164.0,87.0,333,164.114661542,87.1023354221,548,222,False
138,164.0,90.0,333,164.061595121,90.0221739439,548,222,False
139,164.0,91.0,333,164.023859946,91.0431730722,548,222,False
140,164.0,93.0,333,164.008936157,92.9999254882,548,222,False
141,164.0,94.0,333,164.00333271,94.0170349411,548,222,False
142,165.0,95.0,333,164.983405923,95.0071657215,548,222,False
143,165.0,95.0,333,165.010797906,95.0205461774,548,222,False
144,165.0,96.0,333,165.004837257,95.9906769769,548,222,False
145,165.0,97.0,333,165.001841812,96.9957125438,548,222,False
146,165.0,97.0,333,165.000688333,97.0161994388,548,222,False
147,166.0,98.0,333,165.982420314,97.9890531498,548,222,False
148,166.0,98.0,333,166.010430554,98.0129434676,548,222,False
149,166.0,99.0,333,166.00470034,98.9878025638,548,222,False
150,166.0,99.0,333,166.001790781,99.0124755827,548,222,False
151,166.0,100.0,333,166.000669313,99.987628091,548,222,False
152,167.0,100.0,333,166.982413225,100.01241055,548,222,False
153,166.0,100.0,333,166.028264239,100.00544018,548,222,False
154,166.0,101.0,333,165.994364459,100.984230293,548,222,False
155,166.0,101.0,333,165.997125728,101.011107022,548,222,False
156,167.0,101.0,333,166.981055356,101.004952559,548,222,False
157,166.0,102.0,333,166.027756365,101.984048464,548,222,False
158,167.0,102.0,333,166.976338754,102.011039248,548,222,False
159,166.0,102.0,333,166.025226363,102.004927298,548,222,False
160,167.0,102.0,333,166.975358837,102.001875376,548,222,False
161,167.0,102.0,333,167.007023037,102.000700843,548,222,False
162,166.0,103.0,333,166.021229517,102.982424976,548,222,False
163,167.0,103.0,333,166.973130587,103.010432292,548,222,False
164,167.0,103.0,333,167.00615719,103.004700987,548,222,False
165,167.0,103.0,333,167.003068784,103.001791023,548,222,False
166,167.0,103.0,333,167.001180818,103.000669403,548,222,False
167,167.0,103.0,333,167.000441881,103.000249586,548,222,False
168,168.0,103.0,333,167.982328453,103.000093029,548,222,False
169,167.0,104.0,333,167.028232644,103.982198346,548,222,False
170,167.0,103.0,333,166.994352683,103.028184147,548,222,False
171,167.0,104.0,333,166.997121339,103.97649828,548,222,False
172,167.0,104.0,333,166.998890048,104.007449497,548,222,False
173,168.0,104.0,333,167.981748204,104.003552223,548,222,False
174,168.0,104.0,333,168.010179959,104.001361088,548,222,False
175,167.0,104.0,333,167.022443263,104.000509075,548,222,False
176,168.0,104.0,333,167.973584744,104.000189825,548,222,False
177,167.0,104.0,333,167.024162874,104.000070755,548,222,False
178,170.0,122.0,333,169.939288031,121.678972475,548,222,False
179,133.0,170.0,333,133.687488468,169.329894226,548,222,False
180,114.0,204.0,333,113.969166303,203.973607865,548,222,False
181,78.0,189.0,333,78.2779875583,189.874832527,548,222,False
182,65.0,185.0,333,64.7072277722,185.172199827,548,222,False
183,58.0,183.0,333,57.7648924154,183.021145701,548,222,False
184,30.0,194.0,333,30.2809055629,193.773949585,548,222,False
185,35.0,189.0,333,34.5337352186,189.18993396,548,222,False
186,38.0,182.0,333,37.8345651518,182.119585172,548,222,False
187,38.0,180.0,333,37.9922484289,179.957724625,548,222,False
188,40.0,178.0,333,39.9640180133,177.980087267,548,222,False
189,41.0,177.0,333,41.0028416275,176.974543003,548,222,False
190,31.0,157.0,333,31.1980364946,157.328538934,548,222,False
191,43.0,123.0,333,42.6908384024,123.388336407,548,222,False
192,42.0,76.0,333,42.0983157888,76.3893351404,548,222,False
193,47.0,56.0,333,46.9398450556,55.675235507,548,222,False
194,49.0,51.0,333,49.0264559993,50.5889244343,548,222,False
195,52.0,47.0,333,51.9943632267,46.8150700507,548,222,False
196,55.0,45.0,333,54.997157462,44.8938833549,548,222,False
197,57.0,43.0,333,57.0167413795,42.9586689481,548,222,False
198,59.0,41.0,333,59.0070916296,40.9845101129,548,222,False
199,60.0,40.0,333,60.0205202526,39.9763862781,548,222,False
200,62.0,38.0,333,61.9906673952,38.0081813771,548,222,False
201,63.0,37.0,333,63.013545304,36.9860256998,548,222,False
202,63.0,35.0,333,63.0236995413,35.0118132244,548,222,False
203,64.0,34.0,333,63.9918894002,33.9873812155,548,222,False
204,64.0,32.0,333,64.0140025364,32.0123185354,548,222,False
205,65.0,30.0,333,64.9881973885,30.0054058845,548,222,False
206,65.0,30.0,333,65.0126227444,29.9663811825,548,222,False
207,66.0,30.0,333,65.9876829407,29.9857644983,548,222,False
208,66.0,29.0,333,66.0124309933,29.0124489328,548,222,False
209,66.0,30.0,333,66.0054477993,29.9698169069,548,222,False
210,66.0,30.0,333,66.00206946,30.0049201679,548,222,False
211,66.0,30.0,333,66.000773185,30.0026076327,548,222,False
212,67.0,30.0,333,66.9824519396,30.0010089355,548,222,False
213,67.0,30.0,333,67.0104423415,30.0003778178,548,222,False
214,66.0,30.0,333,66.0225410606,30.0001409033,548,222,False
215,66.0,30.0,333,65.9914575229,30.0000525209,548,222,False
216,66.0,30.0,333,65.996005237,30.0000195755,548,222,False
217,66.0,30.0,333,65.9984722872,30.0000072961,548,222,False
218,66.0,30.0,333,65.9994287411,30.0000027194,548,222,False
219,66.0,30.0,333,65.9997869942,30.0000010136,548,222,False
220,66.0,30.0,333,65.9999206052,30.0000003778,548,222,False
221,66.0,30.0,333,65.9999704081,30.0000001408,548,222,False
222,66.0,30.0,333,65.9999889707,30.0000000525,548,222,False
223,65.0,30.0,333,65.0178322168,30.0000000196,548,222,False
224,65.0,30.0,333,64.9896635722,30.0000000073,548,222,False
225,65.0,30.0,333,64.9953347429,30.0000000027,548,222,False
226,65.0,30.0,333,64.9982222947,30.000000001,548,222,False
227,65.0,30.0,333,64.9993355608,30.0000000004,548,222,False
228,65.0,31.0,333,64.9997522642,30.9821636725,548,222,False
229,65.0,30.0,333,64.9999076608,30.0281712233,548,222,False
230,20.0,42.0,333,20.8026003255,41.7802938593,548,222,False
231,25.0,85.0,333,24.4457352314,84.3541694671,548,222,False
232,37.0,122.0,333,36.6277228922,121.839319491,548,222,False
233,41.0,134.0,333,40.9960079253,134.389849964,548,222,False
234,44.0,138.0,333,44.0227974355,138.309515938,548,222,False
235,47.0,141.0,333,47.0096591312,141.141056087,548,222,False
236,50.0,144.0,333,50.0036557224,144.053803392,548,222,False
237,51.0,145.0,333,51.0370378605,145.055784848,548,222,False
238,53.0,146.0,333,52.9976754967,146.022501803,548,222,False
239,55.0,147.0,333,54.9983617632,147.008468596,548,222,False
240,56.0,148.0,333,56.0171887943,148.003160292,548,222,False
241,57.0,149.0,333,57.0072583187,149.001178077,548,222,False
242,58.0,150.0,333,58.0027460493,150.000439096,548,222,False
243,60.0,149.0,333,59.9831891178,149.035836313,548,222,False
244,60.0,150.0,333,60.0285535158,149.979391207,548,222,False
245,61.0,151.0,333,60.9944722812,150.990693363,548,222,False
246,62.0,151.0,333,61.9971659151,151.014289816,548,222,False
247,62.0,152.0,333,62.0167429895,151.988339543,548,222,False
248,63.0,152.0,333,62.9892558284,152.012677406,548,222,False
249,63.0,153.0,333,63.0130190133,152.987703394,548,222,False
250,63.0,153.0,333,63.0056670486,153.01243862,548,222,False
251,64.0,154.0,333,63.9843148541,153.987614315,548,222,False
252,44.0,152.0,333,44.3678650917,152.04807807,548,222,False
253,38.0,191.0,333,37.9052843589,190.289151698,548,222,False
254,43.0,196.0,333,42.7574044362,196.306615826,548,222,False
255,21.0,176.0,333,21.3812417037,176.587540663,548,222,False
256,39.0,145.0,333,38.4512128974,145.437832933,548,222,False
257,44.0,140.0,333,43.9942686789,139.7099155,548,222,False
258,48.0,137.0,333,48.02521425,136.83451705,548,222,False
259,51.0,135.0,333,51.0285429213,134.917740479,548,222,False
260,53.0,135.0,333,53.0293909067,134.932683031,548,222,False
261,56.0,134.0,333,55.9940155178,133.990992009,548,222,False
262,57.0,134.0,333,57.0326315331,133.979575865,548,222,False
263,59.0,134.0,333,58.9959942715,133.991570882,548,222,False
264,61.0,134.0,333,60.9977332823,133.996819254,548,222,False
265,62.0,134.0,333,62.0169544607,133.998812617,548,222,False
266,63.0,134.0,333,63.0071709747,133.999557355,548,222,False
267,64.0,134.0,333,64.0027134946,133.999835015,548,222,False
268,65.0,134.0,333,65.0010133117,133.999938507,548,222,False
269,66.0,134.0,333,66.0003777702,133.999977081,548,222,False
270,67.0,135.0,333,67.0001408052,134.98215513,548,222,False
271,68.0,135.0,333,68.0000524805,135.010331712,548,222,False
272,69.0,135.0,333,69.0000195603,135.004663499,548,222,False
273,69.0,135.0,333,69.017843618,135.00177705,548,222,False
274,70.0,135.0,333,69.9896678216,135.000664195,548,222,False
275,37.0,196.0,333,37.601771465,194.912231661,548,222,False
276,28.0,168.0,333,27.8251997098,169.129938111,548,222,False
277,33.0,105.0,333,32.6660421873,106.118891816,548,222,False
278,34.0,53.0,333,33.9340103246,53.2542192627,548,222,False
279,40.0,29.0,333,39.8890216368,28.587543011,548,222,False
280,23.0,29.0,333,23.3647383303,28.3939265862,548,222,False
281,18.0,24.0,333,17.9413416718,23.8416417995,548,222,False
282,16.0,31.0,333,15.9153154665,30.7301734162,548,222,False
283,16.0,35.0,333,15.9297577833,34.9428524291,548,222,False
284,16.0,38.0,333,15.9719686618,37.9986144644,548,222,False
285,16.0,39.0,333,15.9894637112,39.0361092427,548,222,False
286,16.0,39.0,333,15.9960687246,39.0330475202,548,222,False
287,17.0,39.0,333,16.9806982229,39.0132547535,548,222,False
288,16.0,39.0,333,16.027625018,39.004985111,548,222,False
289,17.0,39.0,333,16.9762898833,39.0018601742,548,222,False
290,16.0,39.0,333,16.0252081524,39.0006934182,548,222,False
291,17.0,39.0,333,16.9753520497,39.0002584525,548,222,False
292,16.0,39.0,333,16.0248568353,39.0000963294,548,222,False
293,16.0,39.0,333,15.9930573512,39.0000359035,548,222,False
294,17.0,39.0,333,16.978800445,39.0000133818,548,222,False
295,16.0,39.0,333,16.0268805806,39.0000049876,548,222,False
296,61.0,34.0,333,60.19121223,34.0891834969,548,222,False
297,120.0,42.0,333,119.409659742,41.805635594,548,222,False
298,168.0,53.0,333,167.962345751,52.8631563892,548,222,False
299,228.0,61.0,333,227.780657307,60.9994233537,548,222,False
300,248.0,64.0,333,248.621875667,64.0913799051,548,222,False
301,255.0,67.0,333,255.497327044,67.0384419713,548,222,False
302,259.0,71.0,333,259.251578054,70.9967013469,548,222,False
303,262.0,73.0,333,262.11477213,73.0335996756,548,222,False
304,264.0,74.0,333,264.061618863,74.0320261935,548,222,False
305,266.0,76.0,333,266.023867958,75.9950336476,548,222,False
