frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,,125,182,165,122.833333333,180.666666667,548,216,False
3,,152,201,165,150.913043478,200.242236025,548,216,False
4,,150,190,165,150.13679561,190.302369161,548,216,False
5,,150,185,165,150.041416276,185.0322952,548,216,False
6,,151,184,165,150.997071998,183.936530739,548,216,False
7,,152,182,165,151.998029284,181.990574265,548,216,False
8,,154,179,165,153.981385603,179.015005696,548,216,False
9,,155,176,165,155.010043,176.006479087,548,216,False
10,,157,174,165,156.986719447,173.984620911,548,216,False
11,,158,171,165,158.012071793,171.011252778,548,216,False
12,,158,168,165,158.023150244,168.005006892,548,216,False
13,,158,165,165,158.009520992,165.001905043,548,216,False
14,,156,161,165,156.039263987,161.018548228,548,216,False
15,,154,159,165,154.016343453,158.972094202,548,216,False
16,,152,157,165,152.006173248,156.987932814,548,216,False
17,,149,153,165,149.020141106,153.031095291,548,216,False
18,,146,152,165,146.008360645,151.959784011,548,216,False
19,,141,152,165,141.038829652,151.964695391,548,216,False
20,,136,154,165,136.01618148,153.950196576,548,216,False
21,,131,158,165,131.006112874,157.944011202,548,216,False
22,,125,158,165,125.020118603,158.048686388,548,216,False
23,,119,160,165,119.008352258,159.985802034,548,216,False
24,,116,163,165,115.949644888,162.975324042,548,216,False
25,,110,167,165,110.032182138,166.972038933,548,216,False
26,,107,171,165,106.960924023,170.988680531,548,216,False
27,,103,176,165,103.000828116,175.977901761,548,216,False
28,,99,181,165,99.001045253,180.990908032,548,216,False
29,,96,187,165,95.9825885044,186.978734011,548,216,False
30,,94,191,165,93.9748222687,191.026890976,548,216,False
31,,92,195,165,91.9897215479,195.011688857,548,216,False
32,,90,197,165,89.9961262652,197.040109006,548,216,False
33,,89,196,165,88.9807178239,196.070169159,548,216,False
34,,88,195,165,87.9919595801,195.028795676,548,216,False
35,,87,195,165,86.9969623604,194.993022722,548,216,False
36,,86,195,165,85.9988658702,194.996551954,548,216,False
37,,85,196,165,84.9995771989,195.980837975,548,216,False
38,,84,195,165,83.9998424111,195.027675175,548,216,False
39,,83,195,165,82.999941264,194.994144813,548,216,False
40,,83,195,165,82.9821417806,194.997043858,548,216,False
41,,82,194,165,82.0103267362,194.016697497,548,216,False
42,,82,195,165,81.9868253173,194.971402545,548,216,False
43,,81,195,165,81.0121112546,195.005511262,548,216,False
44,,81,195,165,80.9874922959,195.002827947,548,216,False
45,,81,194,165,80.9945236092,194.018927378,548,216,False
46,,80,194,165,80.0157562111,193.990073528,548,216,False
47,,80,195,165,79.9888879476,194.977651297,548,216,False
48,,79,196,165,79.012881894,195.990777848,548,216,False
49,,79,196,165,78.9877796143,196.014356382,548,216,False
50,,78,195,165,78.012467029,195.024038687,548,216,False
51,,78,195,165,77.987624903,194.992017568,548,216,False
52,,77,195,165,77.0124093617,194.996214063,548,216,False
53,,78,197,165,77.9697670817,196.962877469,548,216,False
54,,77,196,165,77.0227362463,196.037963871,548,216,False
55,,77,196,165,76.9922651095,195.998792284,548,216,False
56,,77,196,165,76.9963414026,195.998814934,548,216,False
57,,76,196,165,76.0164355918,195.999523138,548,216,False
58,,77,196,165,76.9713049247,195.999820583,548,216,False
59,,77,196,165,77.0054748768,195.999933048,548,216,False
60,,76,196,165,76.0206507137,195.999975042,548,216,False
61,,77,196,165,76.9729147726,195.999990698,548,216,False
62,,76,196,165,76.0239130766,195.999996533,548,216,False
63,,76,196,165,75.9927039063,195.999998708,548,216,False
64,,76,195,165,75.9965049573,195.017835846,548,216,False
65,,76,196,165,75.9986602239,195.971828597,548,216,False
66,,76,196,165,75.9994988685,196.005670143,548,216,False
67,,75,195,165,75.0176494632,195.020723496,548,216,False
68,,75,195,165,74.9895954531,194.990778228,548,216,False
69,,75,196,165,74.9953093536,195.977915637,548,216,False
70,,76,196,165,75.9803765041,196.00871278,548,216,False
71,,75,196,165,75.027503257,196.004058242,548,216,False
72,,76,197,165,75.9762444125,196.983715045,548,216,False
73,,75,196,165,75.0251912005,196.0287513,548,216,False
74,,85,185,165,84.8148187829,185.190745687,548,216,False
75,,137,130,165,136.172543178,130.864507592,548,216,False
76,,188,106,165,187.673135409,105.807257972,548,216,False
77,,229,107,165,229.055652485,106.457610572,548,216,False
78,,237,108,165,237.617834664,107.775324855,548,216,False
79,,241,109,165,241.330195665,108.915182513,548,216,False
80,,244,109,165,244.145686959,108.98617198,548,216,False
81,,246,111,165,246.073218477,110.960024521,548,216,False
82,,247,111,165,247.046031334,111.019106792,548,216,False
83,,248,112,165,248.018053469,111.99091244,548,216,False
84,,250,112,165,249.988935398,112.013673574,548,216,False
85,,230,103,165,230.387423755,103.166439738,548,216,False
86,,221,100,165,220.966936724,99.9627377802,548,216,False
87,,219,99,165,218.854330053,98.9456872833,548,216,False
88,,218,96,165,217.921488928,96.0134949537,548,216,False
89,,218,95,165,217.951742454,94.9709716627,548,216,False
90,,218,94,165,217.981104652,93.9875508393,548,216,False
91,,218,93,165,217.992913913,92.99528201,548,216,False
92,,218,93,165,217.997356825,92.9804014726,548,216,False
93,,218,92,165,217.999014748,92.0096779181,548,216,False
94,,217,91,165,217.017469104,91.0044198119,548,216,False
95,,218,90,165,217.971691907,90.0016862237,548,216,False
96,,218,90,165,218.005619196,89.982794015,548,216,False
97,,218,89,165,218.00286818,89.010569923,548,216,False
98,,218,90,165,218.001106046,89.9690796335,548,216,False
99,,218,89,165,218.000414012,89.0224799347,548,216,False
100,,218,89,165,218.000154394,88.992169574,548,216,False
101,,219,88,165,218.982221221,88.0141421225,548,216,False
102,,219,87,165,219.010356345,87.0060874246,548,216,False
103,,218,88,165,218.022509008,87.9666352921,548,216,False
104,,219,88,165,218.973609249,88.0036955407,548,216,False
105,,265,68,165,264.18586461,68.358875891,548,216,False
106,,324,43,165,323.426197184,43.240048311,548,216,False
107,,380,25,165,379.826705671,24.9697019003,548,216,False
108,,425,25,165,425.133551668,24.6619220381,548,216,False
109,,444,31,165,444.523003335,30.7513368473,548,216,False
110,,451,33,165,451.431613597,32.9727950105,548,216,False
111,,453,33,165,453.261377096,33.0286662785,548,216,False
112,,455,33,165,455.102229076,33.0125414262,548,216,False
113,,456,33,165,456.056168847,33.0047632519,548,216,False
114,,457,32,165,457.021799565,32.0196159175,548,216,False
115,,458,32,165,458.008166406,31.9903285883,548,216,False
116,,459,31,165,459.003045725,31.0134189419,548,216,False
117,,459,30,165,459.018971611,30.0058161126,548,216,False
118,,452,50,165,452.132778867,49.6276438608,548,216,False
119,,459,84,165,458.805795895,83.5935856938,548,216,False
120,,459,93,165,459.040809502,93.2816238164,548,216,False
121,,461,98,165,460.984954503,98.1970368988,548,216,False
122,,472,123,165,471.832417469,122.721118207,548,216,False
123,,490,167,165,489.804933806,166.540305925,548,216,False
124,,501,206,165,501.045804277,205.90082213,548,216,False
125,,506,194,165,506.129761155,194.876140682,548,216,False
126,,507,191,165,507.125102035,191.209720884,548,216,False
127,,508,191,165,508.050299754,191.019066288,548,216,False
128,,509,191,165,509.018923228,191.004278066,548,216,False
129,,513,193,165,512.953552405,192.9657865,548,216,False
130,,513,193,165,513.051473304,193.021207164,548,216,False
131,,514,193,165,514.004640277,193.009529349,548,216,False
132,,514,192,165,514.018869796,192.021465832,548,216,False
133,,515,192,165,514.990016985,191.991021598,548,216,False
134,,515,193,165,515.013301199,192.97800475,548,216,False
135,,516,190,165,515.987935824,190.062254901,548,216,False
136,,519,190,165,518.959016264,189.973065902,548,216,False
137,,521,187,165,521.000814961,187.041070899,548,216,False
138,,524,185,165,523.98323742,184.999917283,548,216,False
139,,526,182,165,526.010771946,182.017068985,548,216,False
140,,528,181,165,528.004829345,180.971507531,548,216,False
141,,529,178,165,529.019675275,178.023385117,548,216,False
142,,530,175,165,530.008188701,175.01034329,548,216,False
143,,531,175,165,531.003092991,174.950423994,548,216,False
144,,532,174,165,532.001154764,173.996801639,548,216,False
145,,532,171,165,532.01826682,171.035211773,548,216,False
146,,532,166,165,532.007661887,166.050538733,548,216,False
147,1,532,165.857142857,165,532.00711461,165.90407168,548,216,False
148,1,532,165.714285714,165,532.006567332,165.757604628,548,216,False
149,1,532,165.571428571,165,532.006020054,165.611137576,548,216,False
150,1,532,165.428571429,165,532.005472777,165.464670523,548,216,False
151,1,532,165.285714286,165,532.004925499,165.318203471,548,216,False
152,1,532,165.142857143,165,532.004378221,165.171736419,548,216,False
153,1,532,165,165,532.003830944,165.025269366,548,216,False
154,1,532,164.857142857,165,532.003283666,164.878802314,548,216,False
