frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,364.0,27.0,manual,364.0,27.0,561,224,False
3,364.0,27.0,manual,364.0,27.0,561,224,False
4,364.0,27.0,manual,364.0,27.0,561,224,False
5,364.0,27.0,manual,364.0,27.0,561,224,False
6,364.0,27.0,manual,364.0,27.0,561,224,False
7,364.0,27.0,manual,364.0,27.0,561,224,False
8,364.0,27.0,manual,364.0,27.0,561,224,False
9,364.0,27.0,manual,364.0,27.0,561,224,False
10,364.0,27.0,manual,364.0,27.0,561,224,False
11,364.0,27.0,manual,364.0,27.0,561,224,False
12,364.0,27.0,manual,364.0,27.0,561,224,False
13,364.0,27.0,manual,364.0,27.0,561,224,False
14,364.0,27.0,manual,364.0,27.0,561,224,False
15,364.0,27.0,manual,364.0,27.0,561,224,False
16,364.0,27.0,manual,364.0,27.0,561,224,False
17,364.0,27.0,manual,364.0,27.0,561,224,False
18,364.0,27.0,manual,364.0,27.0,561,224,False
19,364.0,27.0,manual,364.0,27.0,561,224,False
20,364.0,27.0,manual,364.0,27.0,561,224,False
21,364.0,27.0,manual,364.0,27.0,561,224,False
22,364.0,27.0,manual,364.0,27.0,561,224,False
23,364.0,27.0,manual,364.0,27.0,561,224,False
24,364.0,27.0,manual,364.0,27.0,561,224,False
25,364.0,27.0,manual,364.0,27.0,561,224,False
26,364.0,27.0,manual,364.0,27.0,561,224,False
27,364.0,27.0,manual,364.0,27.0,561,224,False
28,364.0,27.0,manual,364.0,27.0,561,224,False
29,364.0,27.0,manual,364.0,27.0,561,224,False
30,364.0,27.0,manual,364.0,27.0,561,224,False
31,364.0,27.0,manual,364.0,27.0,561,224,False
32,364.0,27.0,manual,364.0,27.0,561,224,False
33,364.0,27.0,manual,364.0,27.0,561,224,False
34,364.0,27.0,manual,364.0,27.0,561,224,False
35,364.0,27.0,manual,364.0,27.0,561,224,False
36,364.0,27.0,manual,364.0,27.0,561,224,False
37,364.0,27.0,manual,364.0,27.0,561,224,False
38,364.0,27.0,manual,364.0,27.0,561,224,False
39,364.0,27.0,manual,364.0,27.0,561,224,False
40,364.0,27.0,manual,364.0,27.0,561,224,False
41,364.0,27.0,manual,364.0,27.0,561,224,False
42,364.0,27.0,manual,364.0,27.0,561,224,False
43,364.0,27.0,manual,364.0,27.0,561,224,False
44,364.0,27.0,manual,364.0,27.0,561,224,False
45,364.0,27.0,manual,364.0,27.0,561,224,False
46,364.0,27.0,manual,364.0,27.0,561,224,False
47,364.0,27.0,manual,364.0,27.0,561,224,False
48,364.0,27.0,manual,364.0,27.0,561,224,False
49,364.0,27.0,manual,364.0,27.0,561,224,False
50,364.0,27.0,manual,364.0,27.0,561,224,False
51,364.0,27.0,manual,364.0,27.0,561,224,False
52,364.0,27.0,manual,364.0,27.0,561,224,False
53,364.0,27.0,manual,364.0,27.0,561,224,False
54,364.0,27.0,manual,364.0,27.0,561,224,False
55,364.0,27.0,manual,364.0,27.0,561,224,False
56,364.0,27.0,manual,364.0,27.0,561,224,False
57,364.0,27.0,manual,364.0,27.0,561,224,False
58,364.0,27.0,manual,364.0,27.0,561,224,False
59,364.0,27.0,manual,364.0,27.0,561,224,False
60,364.0,27.0,manual,364.0,27.0,561,224,False
61,364.0,27.0,manual,364.0,27.0,561,224,False
62,364.0,27.0,manual,364.0,27.0,561,224,False
63,364.0,27.0,manual,364.0,27.0,561,224,False
64,364.0,27.0,manual,364.0,27.0,561,224,False
65,364.0,27.0,manual,364.0,27.0,561,224,False
66,364.0,27.0,manual,364.0,27.0,561,224,False
67,364.0,27.0,manual,364.0,27.0,561,224,False
68,364.0,27.0,manual,364.0,27.0,561,224,False
69,364.0,27.0,manual,364.0,27.0,561,224,False
70,364.0,27.0,manual,364.0,27.0,561,224,False
71,364.0,27.0,manual,364.0,27.0,561,224,False
72,364.0,27.0,manual,364.0,27.0,561,224,False
73,364.0,27.0,manual,364.0,27.0,561,224,False
74,364.0,27.0,manual,364.0,27.0,561,224,False
75,364.0,27.0,manual,364.0,27.0,561,224,False
76,364.0,27.0,manual,364.0,27.0,561,224,False
77,364.0,27.0,manual,364.0,27.0,561,224,False
78,364.0,27.0,manual,364.0,27.0,561,224,False
79,364.0,27.0,manual,364.0,27.0,561,224,False
80,364.0,27.0,manual,364.0,27.0,561,224,False
81,364.0,27.0,manual,364.0,27.0,561,224,False
82,364.0,27.0,manual,364.0,27.0,561,224,False
83,364.0,27.0,manual,364.0,27.0,561,224,False
84,364.0,27.0,manual,364.0,27.0,561,224,False
85,364.0,27.0,manual,364.0,27.0,561,224,False
86,364.0,27.0,manual,364.0,27.0,561,224,False
87,364.0,27.0,manual,364.0,27.0,561,224,False
88,364.0,27.0,manual,364.0,27.0,561,224,False
89,364.0,27.0,manual,364.0,27.0,561,224,False
90,364.0,27.0,manual,364.0,27.0,561,224,False
91,364.0,27.0,manual,364.0,27.0,561,224,False
92,364.0,27.0,manual,364.0,27.0,561,224,False
93,364.0,27.0,manual,364.0,27.0,561,224,False
94,364.0,27.0,manual,364.0,27.0,561,224,False
95,364.0,27.0,manual,364.0,27.0,561,224,False
96,364.0,27.0,manual,364.0,27.0,561,224,False
97,364.0,27.0,manual,364.0,27.0,561,224,False
98,364.0,27.0,manual,364.0,27.0,561,224,False
99,364.0,27.0,manual,364.0,27.0,561,224,False
100,364.0,27.0,manual,364.0,27.0,561,224,False
101,364.0,27.0,manual,364.0,27.0,561,224,False
102,364.0,27.0,manual,364.0,27.0,561,224,False
103,364.0,27.0,manual,364.0,27.0,561,224,False
104,364.0,27.0,manual,364.0,27.0,561,224,False
105,364.0,27.0,manual,364.0,27.0,561,224,False
106,364.0,27.0,manual,364.0,27.0,561,224,False
107,364.0,27.0,manual,364.0,27.0,561,224,False
108,364.0,27.0,manual,364.0,27.0,561,224,False
109,364.0,27.0,manual,364.0,27.0,561,224,False
110,364.0,27.0,manual,364.0,27.0,561,224,False
111,364.0,27.0,manual,364.0,27.0,561,224,False
112,364.0,27.0,manual,364.0,27.0,561,224,False
113,364.0,27.0,manual,364.0,27.0,561,224,False
114,364.0,27.0,manual,364.0,27.0,561,224,False
115,364.0,27.0,manual,364.0,27.0,561,224,False
116,364.0,27.0,manual,364.0,27.0,561,224,False
117,364.0,27.0,manual,364.0,27.0,561,224,False
118,364.0,27.0,manual,364.0,27.0,561,224,False
119,364.0,27.0,manual,364.0,27.0,561,224,False
120,364.0,27.0,manual,364.0,27.0,561,224,False
121,364.0,27.0,manual,364.0,27.0,561,224,False
122,364.0,27.0,manual,364.0,27.0,561,224,False
123,364.0,27.0,manual,364.0,27.0,561,224,False
124,364.0,27.0,manual,364.0,27.0,561,224,False
125,364.0,27.0,manual,364.0,27.0,561,224,False
126,364.0,27.0,manual,364.0,27.0,561,224,False
127,364.0,27.0,manual,364.0,27.0,561,224,False
128,364.0,27.0,manual,364.0,27.0,561,224,False
129,364.0,27.0,manual,364.0,27.0,561,224,False
130,364.0,27.0,manual,364.0,27.0,561,224,False
131,364.0,27.0,manual,364.0,27.0,561,224,False
132,364.0,27.0,manual,364.0,27.0,561,224,False
133,364.0,27.0,manual,364.0,27.0,561,224,False
134,364.0,27.0,manual,364.0,27.0,561,224,False
135,364.0,27.0,manual,364.0,27.0,561,224,False
136,364.0,27.0,manual,364.0,27.0,561,224,False
137,364.0,27.0,manual,364.0,27.0,561,224,False
138,364.0,27.0,manual,364.0,27.0,561,224,False
139,364.0,27.0,manual,364.0,27.0,561,224,False
140,364.0,27.0,manual,364.0,27.0,561,224,False
141,364.0,27.0,manual,364.0,27.0,561,224,False
142,364.0,27.0,manual,364.0,27.0,561,224,False
143,364.0,27.0,manual,364.0,27.0,561,224,False
144,364.0,27.0,manual,364.0,27.0,561,224,False
145,364.0,27.0,manual,364.0,27.0,561,224,False
146,364.0,27.0,manual,364.0,27.0,561,224,False
147,364.0,27.0,manual,364.0,27.0,561,224,False
148,364.0,27.0,manual,364.0,27.0,561,224,False
149,364.0,27.0,manual,364.0,27.0,561,224,False
150,364.0,27.0,manual,364.0,27.0,561,224,False
151,364.0,27.0,manual,364.0,27.0,561,224,False
152,364.0,27.0,manual,364.0,27.0,561,224,False
153,364.0,27.0,manual,364.0,27.0,561,224,False
154,364.0,27.0,manual,364.0,27.0,561,224,False
155,364.0,27.0,manual,364.0,27.0,561,224,False
156,364.0,27.0,manual,364.0,27.0,561,224,False
157,364.0,27.0,manual,364.0,27.0,561,224,False
158,364.0,27.0,manual,364.0,27.0,561,224,False
159,364.0,27.0,manual,364.0,27.0,561,224,False
160,364.0,27.0,manual,364.0,27.0,561,224,False
161,364.0,27.0,manual,364.0,27.0,561,224,False
162,364.0,27.0,manual,364.0,27.0,561,224,False
163,364.0,27.0,manual,364.0,27.0,561,224,False
164,364.0,27.0,manual,364.0,27.0,561,224,False
165,364.0,27.0,manual,364.0,27.0,561,224,False
166,364.0,27.0,manual,364.0,27.0,561,224,False
167,364.0,27.0,manual,364.0,27.0,561,224,False
168,364.0,27.0,manual,364.0,27.0,561,224,False
169,364.0,27.0,manual,364.0,27.0,561,224,False
170,364.0,27.0,manual,364.0,27.0,561,224,False
171,364.0,27.0,manual,364.0,27.0,561,224,False
172,364.0,27.0,manual,364.0,27.0,561,224,False
173,364.0,27.0,manual,364.0,27.0,561,224,False
174,364.0,27.0,manual,364.0,27.0,561,224,False
175,364.0,27.0,manual,364.0,27.0,561,224,False
176,364.0,27.0,manual,364.0,27.0,561,224,False
177,364.0,27.0,manual,364.0,27.0,561,224,False
178,364.0,27.0,manual,364.0,27.0,561,224,False
179,364.0,27.0,manual,364.0,27.0,561,224,False
180,364.0,27.0,manual,364.0,27.0,561,224,False
181,364.0,27.0,manual,364.0,27.0,561,224,False
182,364.0,27.0,manual,364.0,27.0,561,224,False
183,364.0,27.0,manual,364.0,27.0,561,224,False
184,364.0,27.0,manual,364.0,27.0,561,224,False
185,364.0,27.0,manual,364.0,27.0,561,224,False
186,364.0,27.0,manual,364.0,27.0,561,224,False
187,364.0,27.0,manual,364.0,27.0,561,224,False
188,364.0,27.0,manual,364.0,27.0,561,224,False
189,364.0,27.0,manual,364.0,27.0,561,224,False
190,364.0,27.0,manual,364.0,27.0,561,224,False
191,364.0,27.0,manual,364.0,27.0,561,224,False
192,364.0,27.0,manual,364.0,27.0,561,224,False
193,364.0,27.0,manual,364.0,27.0,561,224,False
194,364.0,27.0,manual,364.0,27.0,561,224,False
195,364.0,27.0,manual,364.0,27.0,561,224,False
196,364.0,27.0,manual,364.0,27.0,561,224,False
197,364.0,27.0,manual,364.0,27.0,561,224,False
198,364.0,27.0,manual,364.0,27.0,561,224,False
199,364.0,27.0,manual,364.0,27.0,561,224,False
200,364.0,27.0,manual,364.0,27.0,561,224,False
201,364.0,27.0,manual,364.0,27.0,561,224,False
202,364.0,27.0,manual,364.0,27.0,561,224,False
203,364.0,27.0,manual,364.0,27.0,561,224,False
204,364.0,27.0,manual,364.0,27.0,561,224,False
205,364.0,27.0,manual,364.0,27.0,561,224,False
206,364.0,27.0,manual,364.0,27.0,561,224,False
207,364.0,27.0,manual,364.0,27.0,561,224,False
208,364.0,27.0,manual,364.0,27.0,561,224,False
209,364.0,27.0,manual,364.0,27.0,561,224,False
210,364.0,27.0,manual,364.0,27.0,561,224,False
211,364.0,27.0,manual,364.0,27.0,561,224,False
212,364.0,27.0,manual,364.0,27.0,561,224,False
213,364.0,27.0,manual,364.0,27.0,561,224,False
214,364.0,27.0,manual,364.0,27.0,561,224,False
215,364.0,27.0,manual,364.0,27.0,561,224,False
216,364.0,27.0,manual,364.0,27.0,561,224,False
217,364.0,27.0,manual,364.0,27.0,561,224,False
218,364.0,27.0,manual,364.0,27.0,561,224,False
219,364.0,27.0,manual,364.0,27.0,561,224,False
220,364.0,27.0,manual,364.0,27.0,561,224,False
221,364.0,27.0,manual,364.0,27.0,561,224,False
222,364.0,27.0,manual,364.0,27.0,561,224,False
223,364.0,27.0,manual,364.0,27.0,561,224,False
224,364.0,27.0,manual,364.0,27.0,561,224,False
225,364.0,27.0,manual,364.0,27.0,561,224,False
226,364.0,27.0,manual,364.0,27.0,561,224,False
227,364.0,27.0,manual,364.0,27.0,561,224,False
228,364.0,27.0,manual,364.0,27.0,561,224,False
229,364.0,27.0,manual,364.0,27.0,561,224,False
230,364.0,27.0,manual,364.0,27.0,561,224,False
231,364.0,27.0,manual,364.0,27.0,561,224,False
232,364.0,27.0,manual,364.0,27.0,561,224,False
233,364.0,27.0,manual,364.0,27.0,561,224,False
234,364.0,27.0,manual,364.0,27.0,561,224,False
235,364.0,27.0,manual,364.0,27.0,561,224,False
236,364.0,27.0,manual,364.0,27.0,561,224,False
237,364.0,27.0,manual,364.0,27.0,561,224,False
238,364.0,27.0,manual,364.0,27.0,561,224,False
239,364.0,27.0,manual,364.0,27.0,561,224,False
240,364.0,27.0,manual,364.0,27.0,561,224,False
241,364.0,27.0,manual,364.0,27.0,561,224,False
242,364.0,27.0,manual,364.0,27.0,561,224,False
243,364.0,27.0,manual,364.0,27.0,561,224,False
244,364.0,27.0,manual,364.0,27.0,561,224,False
245,364.0,27.0,manual,364.0,27.0,561,224,False
246,364.0,27.0,manual,364.0,27.0,561,224,False
247,364.0,27.0,manual,364.0,27.0,561,224,False
248,364.0,27.0,manual,364.0,27.0,561,224,False
249,364.0,27.0,manual,364.0,27.0,561,224,False
250,364.0,27.0,manual,364.0,27.0,561,224,False
251,364.0,27.0,manual,364.0,27.0,561,224,False
252,364.0,27.0,manual,364.0,27.0,561,224,False
253,364.0,27.0,manual,364.0,27.0,561,224,False
254,364.0,27.0,manual,364.0,27.0,561,224,False
255,364.0,27.0,manual,364.0,27.0,561,224,False
256,364.0,27.0,manual,364.0,27.0,561,224,False
257,364.0,27.0,manual,364.0,27.0,561,224,False
258,364.0,27.0,manual,364.0,27.0,561,224,False
259,364.0,27.0,manual,364.0,27.0,561,224,False
260,364.0,27.0,manual,364.0,27.0,561,224,False
261,364.0,27.0,manual,364.0,27.0,561,224,False
262,364.0,27.0,manual,364.0,27.0,561,224,False
263,364.0,27.0,manual,364.0,27.0,561,224,False
264,364.0,27.0,manual,364.0,27.0,561,224,False
265,364.0,27.0,manual,364.0,27.0,561,224,False
266,364.0,27.0,manual,364.0,27.0,561,224,False
267,364.0,27.0,manual,364.0,27.0,561,224,False
268,364.0,27.0,manual,364.0,27.0,561,224,False
269,364.0,27.0,manual,364.0,27.0,561,224,False
270,364.0,27.0,manual,364.0,27.0,561,224,False
271,364.0,27.0,manual,364.0,27.0,561,224,False
272,364.0,27.0,manual,364.0,27.0,561,224,False
273,364.0,27.0,manual,364.0,27.0,561,224,False
274,364.0,27.0,manual,364.0,27.0,561,224,False
275,364.0,27.0,manual,364.0,27.0,561,224,False
276,364.0,27.0,manual,364.0,27.0,561,224,False
277,364.0,27.0,manual,364.0,27.0,561,224,False
278,364.0,27.0,manual,364.0,27.0,561,224,False
279,364.0,27.0,manual,364.0,27.0,561,224,False
280,364.0,27.0,manual,364.0,27.0,561,224,False
