frames,interpolated,manual_tracker_fix,measurement_x,measurement_y,objid,pixel_height,pixel_width,position_x,position_y
175,,True,334,213,,224,559,334,213
176,,True,334,213,,224,559,334,213
177,,True,334,213,,224,559,334,213
178,,True,334,213,,224,559,334,213
179,,True,334,213,,224,559,334,213
180,,True,334,213,,224,559,334,213
181,,True,334,213,,224,559,334,213
182,,True,334,213,,224,559,334,213
183,,True,334,213,,224,559,334,213
184,,True,334,213,,224,559,334,213
185,,True,334,213,,224,559,334,213
186,,True,334,213,,224,559,334,213
187,,True,334,213,,224,559,334,213
188,,True,334,213,,224,559,334,213
189,,True,334,213,,224,559,334,213
190,,True,334,213,,224,559,334,213
191,,True,334,213,,224,559,334,213
192,,True,334,213,,224,559,334,213
193,,True,334,213,,224,559,334,213
194,,True,334,213,,224,559,334,213
195,,True,334,213,,224,559,334,213
196,,True,334,213,,224,559,334,213
197,,True,334,213,,224,559,334,213
198,,True,334,213,,224,559,334,213
199,,True,334,213,,224,559,334,213
200,,True,334,213,,224,559,334,213
201,,True,334,213,,224,559,334,213
202,,True,334,213,,224,559,334,213
203,,True,334,213,,224,559,334,213
204,,True,334,213,,224,559,334,213
205,,True,334,213,,224,559,334,213
206,,True,334,213,,224,559,334,213
207,,True,334,213,,224,559,334,213
208,,True,334,213,,224,559,334,213
209,,True,334,213,,224,559,334,213
210,,True,334,213,,224,559,334,213
211,,True,334,213,,224,559,334,213
212,,True,334,213,,224,559,334,213
213,,True,334,213,,224,559,334,213
214,,True,334,213,,224,559,334,213
215,,True,334,213,,224,559,334,213
216,,True,334,213,,224,559,334,213
217,,True,334,213,,224,559,334,213
218,,True,334,213,,224,559,334,213
219,,True,334,213,,224,559,334,213
220,,True,334,213,,224,559,334,213
221,,True,334,213,,224,559,334,213
222,,True,334,213,,224,559,334,213
223,,True,334,213,,224,559,334,213
224,,True,334,213,,224,559,334,213
225,,True,334,213,,224,559,334,213
226,,True,334,213,,224,559,334,213
227,,True,334,213,,224,559,334,213
228,,True,334,213,,224,559,334,213
229,,True,334,213,,224,559,334,213
230,,True,334,213,,224,559,334,213
231,,True,334,213,,224,559,334,213
232,,True,334,213,,224,559,334,213
233,,True,334,213,,224,559,334,213
234,,True,334,213,,224,559,334,213
235,,True,334,213,,224,559,334,213
236,,True,334,213,,224,559,334,213
237,,True,334,213,,224,559,334,213
238,,True,334,213,,224,559,334,213
239,,True,334,213,,224,559,334,213
240,,True,334,213,,224,559,334,213
241,,True,334,213,,224,559,334,213
242,,True,334,213,,224,559,334,213
243,,True,334,213,,224,559,334,213
244,,True,334,213,,224,559,334,213
245,,True,334,213,,224,559,334,213
246,,True,334,213,,224,559,334,213
247,,True,334,213,,224,559,334,213
248,,True,334,213,,224,559,334,213
249,,True,334,213,,224,559,334,213
250,,True,334,213,,224,559,334,213
251,,True,334,213,,224,559,334,213
252,,True,334,213,,224,559,334,213
253,,True,334,213,,224,559,334,213
254,,True,334,213,,224,559,334,213
255,,True,334,213,,224,559,334,213
256,,True,334,213,,224,559,334,213
257,,True,334,213,,224,559,334,213
258,,True,334,213,,224,559,334,213
259,,True,334,213,,224,559,334,213
260,,True,334,213,,224,559,334,213
261,,True,334,213,,224,559,334,213
262,,True,334,213,,224,559,334,213
263,,True,334,213,,224,559,334,213
264,,True,334,213,,224,559,334,213
265,,True,334,213,,224,559,334,213
266,,True,334,213,,224,559,334,213
267,,True,334,213,,224,559,334,213
268,,True,334,213,,224,559,334,213
269,,True,334,213,,224,559,334,213
270,,True,334,213,,224,559,334,213
271,,True,334,213,,224,559,334,213
272,,True,334,213,,224,559,334,213
273,,True,334,213,,224,559,334,213
274,,True,334,213,,224,559,334,213
275,,True,334,213,,224,559,334,213
276,,True,334,213,,224,559,334,213
277,,True,334,213,,224,559,334,213
278,,True,334,213,,224,559,334,213
279,,True,334,213,,224,559,334,213
280,,True,334,213,,224,559,334,213
281,,True,334,213,,224,559,334,213
282,,True,334,213,,224,559,334,213
283,,True,334,213,,224,559,334,213
284,,True,334,213,,224,559,334,213
285,,True,334,213,,224,559,334,213
286,,True,334,213,,224,559,334,213
287,,True,334,213,,224,559,334,213
288,,True,334,213,,224,559,334,213
289,,True,334,213,,224,559,334,213
290,,True,334,213,,224,559,334,213
291,,True,334,213,,224,559,334,213
292,,True,334,213,,224,559,334,213
293,,True,334,213,,224,559,334,213
294,,True,334,213,,224,559,334,213
295,,True,334,213,,224,559,334,213
296,,True,334,213,,224,559,334,213
297,,True,334,213,,224,559,334,213
298,,True,334,213,,224,559,334,213
299,,True,334,213,,224,559,334,213
300,,True,334,213,,224,559,334,213
301,,True,334,213,,224,559,334,213
302,,True,334,213,,224,559,334,213
303,,True,334,213,,224,559,334,213
304,,True,334,213,,224,559,334,213
305,,True,334,213,,224,559,334,213
306,,True,334,213,,224,559,334,213
307,,True,334,213,,224,559,334,213
308,,True,334,213,,224,559,334,213
309,,True,334,213,,224,559,334,213
310,,True,334,213,,224,559,334,213
311,,True,334,213,,224,559,334,213
312,,True,334,213,,224,559,334,213
313,,True,334,213,,224,559,334,213
314,,True,334,213,,224,559,334,213
315,,True,334,213,,224,559,334,213
316,,True,334,213,,224,559,334,213
317,,True,334,213,,224,559,334,213
318,,True,334,213,,224,559,334,213
319,,True,334,213,,224,559,334,213
320,,True,334,213,,224,559,334,213
321,,True,334,213,,224,559,334,213
322,,True,334,213,,224,559,334,213
323,,True,334,213,,224,559,334,213
324,,True,334,213,,224,559,334,213
325,,True,334,213,,224,559,334,213
326,,True,334,213,,224,559,334,213
327,,True,334,213,,224,559,334,213
328,,True,334,213,,224,559,334,213
329,,True,334,213,,224,559,334,213
330,,True,334,213,,224,559,334,213
331,,True,334,213,,224,559,334,213
332,,True,334,213,,224,559,334,213
333,,True,334,213,,224,559,334,213
334,,True,334,213,,224,559,334,213
335,,True,334,213,,224,559,334,213
336,,True,334,213,,224,559,334,213
337,,True,334,213,,224,559,334,213
338,,True,334,213,,224,559,334,213
339,,True,334,213,,224,559,334,213
340,,True,334,213,,224,559,334,213
341,,True,334,213,,224,559,334,213
342,,True,334,213,,224,559,334,213
343,,True,334,213,,224,559,334,213
344,,True,334,213,,224,559,334,213
345,,True,334,213,,224,559,334,213
346,,True,334,213,,224,559,334,213
347,,True,334,213,,224,559,334,213
348,,True,334,213,,224,559,334,213
349,,True,334,213,,224,559,334,213
350,,True,334,213,,224,559,334,213
351,,True,334,213,,224,559,334,213
352,,True,334,213,,224,559,334,213
353,,True,334,213,,224,559,334,213
354,,True,334,213,,224,559,334,213
355,,True,334,213,,224,559,334,213
356,,True,334,213,,224,559,334,213
357,,True,334,213,,224,559,334,213
358,,True,334,213,,224,559,334,213
359,,True,334,213,,224,559,334,213
360,,True,334,213,,224,559,334,213
361,,True,334,213,,224,559,334,213
362,,True,334,213,,224,559,334,213
363,,True,334,213,,224,559,334,213
364,,True,334,213,,224,559,334,213
365,,True,334,213,,224,559,334,213
366,,True,334,213,,224,559,334,213
367,,True,334,213,,224,559,334,213
368,,True,334,213,,224,559,334,213
369,,True,334,213,,224,559,334,213
370,,True,334,213,,224,559,334,213
371,,True,334,213,,224,559,334,213
372,,True,334,213,,224,559,334,213
373,,True,334,213,,224,559,334,213
374,,True,334,213,,224,559,334,213
375,,True,334,213,,224,559,334,213
376,,True,334,213,,224,559,334,213
377,,True,334,213,,224,559,334,213
378,,True,334,213,,224,559,334,213
379,,True,334,213,,224,559,334,213
380,,True,334,213,,224,559,334,213
381,,True,334,213,,224,559,334,213
382,,True,334,213,,224,559,334,213
383,,True,334,213,,224,559,334,213
384,,True,334,213,,224,559,334,213
385,,True,334,213,,224,559,334,213
386,,True,334,213,,224,559,334,213
387,,True,334,213,,224,559,334,213
388,,True,334,213,,224,559,334,213
389,,True,334,213,,224,559,334,213
390,,True,334,213,,224,559,334,213
391,,True,334,213,,224,559,334,213
392,,True,334,213,,224,559,334,213
393,,True,334,213,,224,559,334,213
394,,True,334,213,,224,559,334,213
395,,True,334,213,,224,559,334,213
396,,True,334,213,,224,559,334,213
397,,True,334,213,,224,559,334,213
398,,True,334,213,,224,559,334,213
399,,True,334,213,,224,559,334,213
400,,True,334,213,,224,559,334,213
401,,True,334,213,,224,559,334,213
402,,True,334,213,,224,559,334,213
403,,True,334,213,,224,559,334,213
404,,True,334,213,,224,559,334,213
405,,True,334,213,,224,559,334,213
406,,True,334,213,,224,559,334,213
407,,True,334,213,,224,559,334,213
408,,True,334,213,,224,559,334,213
409,,True,334,213,,224,559,334,213
410,,True,334,213,,224,559,334,213
411,,True,334,213,,224,559,334,213
412,,True,334,213,,224,559,334,213
413,,True,334,213,,224,559,334,213
414,,True,334,213,,224,559,334,213
415,,True,334,213,,224,559,334,213
416,,True,334,213,,224,559,334,213
417,,True,334,213,,224,559,334,213
418,,True,334,213,,224,559,334,213
419,,True,334,213,,224,559,334,213
420,,True,334,213,,224,559,334,213
421,,True,334,213,,224,559,334,213
422,,True,334,213,,224,559,334,213
423,,True,334,213,,224,559,334,213
424,,True,334,213,,224,559,334,213
425,,True,334,213,,224,559,334,213
426,,True,334,213,,224,559,334,213
427,,True,334,213,,224,559,334,213
428,,True,334,213,,224,559,334,213
429,,True,334,213,,224,559,334,213
430,,True,334,213,,224,559,334,213
431,,True,334,213,,224,559,334,213
432,,True,334,213,,224,559,334,213
433,,True,334,213,,224,559,334,213
434,,True,334,213,,224,559,334,213
435,,True,334,213,,224,559,334,213
436,,True,334,213,,224,559,334,213
437,,True,334,213,,224,559,334,213
438,,True,334,213,,224,559,334,213
439,,True,334,213,,224,559,334,213
440,,True,334,213,,224,559,334,213
441,,True,334,213,,224,559,334,213
442,,True,334,213,,224,559,334,213
443,,True,334,213,,224,559,334,213
444,,True,334,213,,224,559,334,213
445,,True,334,213,,224,559,334,213
446,,True,334,213,,224,559,334,213
447,,True,334,213,,224,559,334,213
448,,True,334,213,,224,559,334,213
449,,True,334,213,,224,559,334,213
450,,True,334,213,,224,559,334,213
451,,True,334,213,,224,559,334,213
452,,True,334,213,,224,559,334,213
453,,True,334,213,,224,559,334,213
454,,True,334,213,,224,559,334,213
455,,True,334,213,,224,559,334,213
456,,True,334,213,,224,559,334,213
457,,True,334,213,,224,559,334,213
458,,True,334,213,,224,559,334,213
459,,True,334,213,,224,559,334,213
460,,True,334,213,,224,559,334,213
461,,True,334,213,,224,559,334,213
462,,True,334,213,,224,559,334,213
463,,True,334,213,,224,559,334,213
464,,True,334,213,,224,559,334,213
465,,True,334,213,,224,559,334,213
466,,True,334,213,,224,559,334,213
467,,True,334,213,,224,559,334,213
468,,True,334,213,,224,559,334,213
469,,True,334,213,,224,559,334,213
470,,True,334,213,,224,559,334,213
471,,True,334,213,,224,559,334,213
472,,True,334,213,,224,559,334,213
473,,True,334,213,,224,559,334,213
474,,True,334,213,,224,559,334,213
475,,True,334,213,,224,559,334,213
476,,True,334,213,,224,559,334,213
477,,True,334,213,,224,559,334,213
478,,True,334,213,,224,559,334,213
479,,True,334,213,,224,559,334,213
480,,True,334,213,,224,559,334,213
481,,True,334,213,,224,559,334,213
482,,True,334,213,,224,559,334,213
483,,True,334,213,,224,559,334,213
484,,True,334,213,,224,559,334,213
485,,True,334,213,,224,559,334,213
486,,True,334,213,,224,559,334,213
487,,True,334,213,,224,559,334,213
488,,True,334,213,,224,559,334,213
489,,True,334,213,,224,559,334,213
490,,True,334,213,,224,559,334,213
491,,True,334,213,,224,559,334,213
492,,True,334,213,,224,559,334,213
493,,True,334,213,,224,559,334,213
494,,True,334,213,,224,559,334,213
495,,True,334,213,,224,559,334,213
496,,True,334,213,,224,559,334,213
497,,True,334,213,,224,559,334,213
498,,True,334,213,,224,559,334,213
499,,True,334,213,,224,559,334,213
500,,True,334,213,,224,559,334,213
501,,True,334,213,,224,559,334,213
502,,True,334,213,,224,559,334,213
503,,True,334,213,,224,559,334,213
504,,True,334,213,,224,559,334,213
505,,True,334,213,,224,559,334,213
506,,True,334,213,,224,559,334,213
507,,True,334,213,,224,559,334,213
508,,True,334,213,,224,559,334,213
509,,True,334,213,,224,559,334,213
510,,True,334,213,,224,559,334,213
511,,True,334,213,,224,559,334,213
512,,True,334,213,,224,559,334,213
513,,True,334,213,,224,559,334,213
514,,True,334,213,,224,559,334,213
515,,True,334,213,,224,559,334,213
516,,True,334,213,,224,559,334,213
517,,True,334,213,,224,559,334,213
518,,True,334,213,,224,559,334,213
519,,True,334,213,,224,559,334,213
520,,True,334,213,,224,559,334,213
521,,True,334,213,,224,559,334,213
522,,True,334,213,,224,559,334,213
523,,True,334,213,,224,559,334,213
524,,True,334,213,,224,559,334,213
525,,True,334,213,,224,559,334,213
526,,True,334,213,,224,559,334,213
527,,True,334,213,,224,559,334,213
528,,True,334,213,,224,559,334,213
529,,True,334,213,,224,559,334,213
530,,True,334,213,,224,559,334,213
531,,True,334,213,,224,559,334,213
532,,True,334,213,,224,559,334,213
533,,True,334,213,,224,559,334,213
534,,True,334,213,,224,559,334,213
535,,True,334,213,,224,559,334,213
536,,True,334,213,,224,559,334,213
537,,True,334,213,,224,559,334,213
538,,True,334,213,,224,559,334,213
539,,True,334,213,,224,559,334,213
540,,True,334,213,,224,559,334,213
541,,True,334,213,,224,559,334,213
542,,True,334,213,,224,559,334,213
543,,True,334,213,,224,559,334,213
544,,True,334,213,,224,559,334,213
545,,True,334,213,,224,559,334,213
546,,True,334,213,,224,559,334,213
547,,True,334,213,,224,559,334,213
548,,True,334,213,,224,559,334,213
549,,True,334,213,,224,559,334,213
550,,True,334,213,,224,559,334,213
551,,True,334,213,,224,559,334,213
552,,True,334,213,,224,559,334,213
553,,True,334,213,,224,559,334,213
554,,True,334,213,,224,559,334,213
555,,True,334,213,,224,559,334,213
556,,True,334,213,,224,559,334,213
557,,True,334,213,,224,559,334,213
558,,True,334,213,,224,559,334,213
559,,True,334,213,,224,559,334,213
560,,True,334,213,,224,559,334,213
561,,True,334,213,,224,559,334,213
562,,True,334,213,,224,559,334,213
563,,True,334,213,,224,559,334,213
564,,True,334,213,,224,559,334,213
565,,True,334,213,,224,559,334,213
566,,True,334,213,,224,559,334,213
567,,True,334,213,,224,559,334,213
568,,True,334,213,,224,559,334,213
569,,True,334,213,,224,559,334,213
570,,True,334,213,,224,559,334,213
571,,True,334,213,,224,559,334,213
572,,True,334,213,,224,559,334,213
573,,True,334,213,,224,559,334,213
574,,True,334,213,,224,559,334,213
575,,True,334,213,,224,559,334,213
