frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,,48.0,38.0,53,48.0,38.0,551,223,False
3,,38.0,53.0,53,39.6666666667,50.5,551,223,False
4,,33.0,69.0,53,33.248447205,68.3105590062,551,223,False
5,,28.0,86.0,53,28.0863338241,85.693079909,551,223,False
6,,33.0,91.0,53,32.8483879458,91.1026293198,551,223,False
7,,34.0,92.0,53,34.0062801303,92.1203475445,551,223,False
8,,27.0,87.0,53,27.1481221053,87.1558696343,551,223,False
9,,25.0,99.0,53,24.9729957347,98.7601659839,551,223,False
10,,30.0,96.0,53,29.8611450821,96.1639004829,551,223,False
11,,26.0,85.0,53,26.1026105707,85.2159003277,551,223,False
12,,29.0,88.0,53,28.9207773153,87.8381692727,551,223,False
13,,24.0,96.0,53,24.1075417106,95.8389062712,551,223,False
14,,25.0,84.0,53,24.9396239392,84.2918617605,551,223,False
15,,22.0,71.0,53,22.0440347754,71.1434580744,551,223,False
16,,25.0,53.0,53,24.912578646,53.1443101201,551,223,False
17,,21.0,38.0,53,21.0873020381,38.0046248213,551,223,False
18,,26.0,16.0,53,25.8777489832,16.1242253937,551,223,False
19,,24.0,15.0,53,24.0718819827,14.6776001579,551,223,False
20,,24.0,16.0,53,23.9967392904,15.8265197796,551,223,False
21,,34.0,12.0,53,33.8189832554,12.0219714163,551,223,False
22,,38.0,13.0,53,38.0309458345,12.92315314,551,223,False
23,,39.0,13.0,53,39.0697525597,12.9851249213,551,223,False
24,,41.0,14.0,53,41.0109475764,13.9772783199,551,223,False
25,,41.0,14.0,53,41.0390327526,14.0085455776,551,223,False
26,,42.0,15.0,53,41.9983844294,14.986162961,551,223,False
27,,42.0,15.0,53,42.0164606654,15.0118644564,551,223,False
28,,43.0,15.0,53,42.9891153574,15.0052366415,551,223,False
29,,43.0,15.0,53,43.0129649709,15.0019907582,551,223,False
30,,44.0,15.0,53,43.9878104979,15.0007438516,551,223,False
31,,44.0,15.0,53,44.012478536,15.0002773342,551,223,False
32,,44.0,15.0,53,44.0054655192,15.000103371,551,223,False
33,,44.0,15.0,53,44.0020760645,15.0000385282,551,223,False
34,,63.0,16.0,53,62.6618854222,15.9821780324,551,223,False
35,,70.0,10.0,53,70.0717979083,10.1173582134,551,223,False
36,,79.0,12.0,53,79.0005541444,11.906984652,551,223,False
37,,73.0,20.0,53,73.2664973597,19.8517692899,551,223,False
38,,55.0,18.0,53,55.3261069565,18.1176808747,551,223,False
