frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,,41.0,173.0,102,41.0,173.0,552,222,False
3,,42.0,171.0,102,41.8333333333,171.333333333,552,222,False
4,,42.0,169.0,102,41.9937888199,169.086956522,552,222,False
5,,43.0,167.0,102,42.9789854103,167.035604337,552,222,False
6,,44.0,166.0,102,43.9911741048,165.99517134,552,222,False
7,,45.0,165.0,102,44.9966611335,164.997329621,552,222,False
8,,46.0,163.0,102,45.9987531322,163.016809819,552,222,False
9,,47.0,162.0,102,46.9995351545,161.989279662,552,222,False
10,,47.0,161.0,102,47.0176632698,160.995191505,552,222,False
11,,48.0,159.0,102,47.9896005864,159.016005256,552,222,False
12,,49.0,157.0,102,48.9953112661,157.006817104,552,222,False
13,,49.0,157.0,102,49.0160498726,156.966908941,552,222,False
14,,50.0,155.0,102,49.988997404,155.021633942,552,222,False
15,,51.0,154.0,102,50.9950863627,153.991852492,552,222,False
16,,52.0,153.0,102,51.9981297153,152.996187529,552,222,False
17,,52.0,151.0,102,52.0171373824,151.016378237,552,222,False
18,,53.0,150.0,102,52.9894045077,149.989119875,552,222,False
19,,53.0,149.0,102,53.0130745089,148.995132014,552,222,False
20,,54.0,148.0,102,53.9878514089,147.99814673,552,222,False
21,,55.0,147.0,102,54.9946574606,146.999307397,552,222,False
22,,55.0,147.0,102,55.0158060997,146.981905439,552,222,False
23,,56.0,145.0,102,55.9889065419,145.028074972,552,222,False
24,,56.0,145.0,102,56.0128888244,144.976457588,552,222,False
25,,56.0,145.0,102,56.005618525,144.989598003,552,222,False
26,,57.0,144.0,102,56.9842967686,144.013881466,552,222,False
27,,58.0,143.0,102,57.9932954713,143.006023667,552,222,False
28,,58.0,143.0,102,58.0152966891,142.984449454,552,222,False
29,,58.0,142.0,102,58.0065529193,142.011188788,552,222,False
30,,59.0,141.0,102,58.9846467997,141.004983038,552,222,False
31,,59.0,141.0,102,59.0112623455,140.984059824,552,222,False
32,,60.0,140.0,102,59.9871741266,140.011043482,552,222,False
33,,60.0,140.0,102,60.0122412656,139.987092548,552,222,False
34,,60.0,140.0,102,60.0053770808,139.994374532,552,222,False
35,,60.0,139.0,102,60.002043102,139.015700644,552,222,False
36,,61.0,139.0,102,60.9829270333,138.988867237,552,222,False
37,,61.0,139.0,102,61.0106195012,138.995037847,552,222,False
38,,61.0,138.0,102,61.0047707672,138.01594796,552,222,False
39,,61.0,138.0,102,61.0018170307,137.98895942,552,222,False
40,,61.0,138.0,102,61.0006790964,137.995072205,552,222,False
41,,62.0,137.0,102,61.9824168711,137.015960766,552,222,False
42,,62.0,137.0,102,62.0104292709,136.988964192,552,222,False
43,,62.0,137.0,102,62.0046998614,136.995073984,552,222,False
44,,62.0,137.0,102,62.0017906028,136.998125102,552,222,False
45,,62.0,136.0,102,62.0006692463,136.017135663,552,222,False
46,,62.0,136.0,102,62.0002495274,135.989403867,552,222,False
47,,62.0,136.0,102,62.000093007,135.995237942,552,222,False
48,,62.0,136.0,102,62.0000346653,135.998186215,552,222,False
49,,62.0,136.0,102,62.0000129203,135.999322113,552,222,False
50,,62.0,136.0,102,62.0000048156,135.999747252,552,222,False
51,,62.0,135.0,102,62.0000017948,135.01774212,552,222,False
52,,62.0,135.0,102,62.000000669,134.989629992,552,222,False
53,,62.0,135.0,102,62.0000002493,134.995322227,552,222,False
54,,62.0,135.0,102,62.0000000929,134.99821763,552,222,False
55,,63.0,135.0,102,62.982163707,134.999333822,552,222,False
56,,62.0,135.0,102,62.0281712361,134.999751616,552,222,False
57,,63.0,134.0,102,62.9764934677,134.017743747,552,222,False
58,,63.0,134.0,102,63.0074477038,133.989630598,552,222,False
59,,30.0,158.0,102,30.5921503649,157.56725059,552,222,False
60,,39.0,184.0,102,39.0,184.0,552,222,False
61,,40.0,186.0,102,39.8333333333,185.666666667,552,222,False
62,,41.0,186.0,102,40.9565217391,185.98757764,552,222,False
63,,43.0,190.0,102,42.9606478383,189.914870834,552,222,False
64,,44.0,190.0,102,44.0024352386,190.037522354,552,222,False
65,,46.0,191.0,102,45.9838180041,190.999407958,552,222,False
66,,47.0,191.0,102,47.0109969726,191.016928169,552,222,False
67,,49.0,192.0,102,48.9870759321,191.989292365,552,222,False
68,,49.0,191.0,102,49.0300414215,191.030867798,552,222,False
69,,49.0,193.0,102,49.0128650554,192.959664004,552,222,False
70,,49.0,194.0,102,49.0048748334,194.000321636,552,222,False
71,,48.0,194.0,102,48.0196570736,194.018691045,552,222,False
72,,48.0,195.0,102,47.9903439071,194.990018836,552,222,False
73,,47.0,195.0,102,47.0134246505,195.013305166,552,222,False
74,,46.0,196.0,102,46.0058182403,195.987937459,552,222,False
75,,45.0,195.0,102,45.0022075333,195.030362192,552,222,False
76,,41.0,198.0,102,41.05433363,197.941639281,552,222,False
77,,40.0,196.0,102,39.9693027611,196.064095295,552,222,False
78,,39.0,197.0,102,38.9861205366,196.974488544,552,222,False
79,,34.0,197.0,102,34.0660555445,197.005963739,552,222,False
80,,30.0,195.0,102,30.0101922398,195.038635858,552,222,False
81,,30.0,194.0,102,29.931763056,193.998306401,552,222,False
82,,27.0,189.0,102,27.0246287497,189.069943911,552,222,False
83,,24.0,180.0,102,24.0115752204,180.100791859,552,222,False
84,,22.0,168.0,102,21.9865925814,168.094651516,552,222,False
85,,22.0,153.0,102,21.9584821216,153.091518855,552,222,False
86,,24.0,137.0,102,23.9471052919,137.054638216,552,222,False
87,,27.0,131.0,102,26.9606582487,130.842983582,552,222,False
88,,28.0,129.0,102,28.0200701253,128.861643682,552,222,False
89,,28.0,127.0,102,28.0269789412,126.94461202,552,222,False
90,,29.0,127.0,102,28.99315224,126.943500567,552,222,False
91,,29.0,126.0,102,29.014475157,125.995062255,552,222,False
92,,29.0,125.0,102,29.0062099619,124.998931073,552,222,False
93,,31.0,122.0,102,30.9666808875,122.035311167,552,222,False
94,,31.0,121.0,102,31.0215488588,120.979197243,552,222,False
95,,32.0,120.0,102,31.9918207758,119.990621154,552,222,False
96,,33.0,118.0,102,32.9961757077,118.014262907,552,222,False
97,,34.0,116.0,102,33.998537503,116.006165841,552,222,False
98,,34.0,115.0,102,34.017289456,114.984502445,552,222,False
99,,35.0,113.0,102,34.9894611919,113.011208538,552,222,False
100,,34.0,111.0,102,34.0309319637,111.004990399,552,222,False
101,,34.0,103.0,102,33.9953607153,103.108916861,552,222,False
102,,33.0,100.0,102,33.015333469,99.9565365626,552,222,False
103,,34.0,99.0,102,33.9708588963,98.9441052314,552,222,False
104,,33.0,94.0,102,33.0231432759,94.0486128516,552,222,False
105,,31.0,87.0,102,31.0280894754,87.0571147405,552,222,False
106,,26.0,78.0,102,26.0649097945,78.0588263515,552,222,False
107,,26.0,76.0,102,25.9376164891,75.8988676135,552,222,False
108,,25.0,74.0,102,24.9904419152,73.9564174626,552,222,False
109,,23.0,67.0,102,23.0149291725,67.0726559419,552,222,False
110,,21.0,52.0,102,21.0064492496,52.1740249139,552,222,False
111,,20.0,46.0,102,19.9846097545,45.9113668694,552,222,False
112,,21.0,44.0,102,20.9577396317,43.8882742503,552,222,False
113,,21.0,41.0,102,21.0003373718,40.9724286705,552,222,False
114,,21.0,38.0,102,21.0008956584,37.9903970912,552,222,False
115,,21.0,35.0,102,21.00037067,34.9964530718,552,222,False
116,,21.0,33.0,102,21.0001399176,32.9808432199,552,222,False
117,,22.0,31.0,102,21.9822159062,30.9920064889,552,222,False
118,,23.0,29.0,102,22.9925180404,28.9969798522,552,222,False
119,,24.0,29.0,102,23.997170512,28.9631997348,552,222,False
120,,25.0,28.0,102,24.9989434517,28.0024130926,552,222,False
121,,26.0,27.0,102,25.9996061147,27.001671257,552,222,False
122,,28.0,27.0,102,27.9820168608,26.982823513,552,222,False
123,,28.0,25.0,102,28.0281165041,25.0284189236,552,222,False
124,,36.0,21.0,102,35.8694551026,21.0479311796,552,222,False
125,,40.0,19.0,102,40.0159404915,18.9839788924,552,222,False
126,,42.0,18.0,102,42.0447051961,17.9745707521,552,222,False
127,,48.0,19.0,102,47.9471720534,18.9539183128,552,222,False
128,,50.0,19.0,102,50.0483300616,18.998909297,552,222,False
129,,56.0,19.0,102,55.949923141,19.0003632106,552,222,False
130,,59.0,19.0,102,59.0315861058,19.0001722098,552,222,False
131,,65.0,21.0,102,64.9606683866,20.9643932928,552,222,False
132,,67.0,22.0,102,67.0542402167,22.0028581278,552,222,False
133,,70.0,23.0,102,70.0056770352,23.0018371369,552,222,False
134,,70.0,26.0,102,70.0549291297,25.9650490118,552,222,False
135,,71.0,27.0,102,71.0051639826,27.0209405353,552,222,False
136,,72.0,29.0,102,72.0011920845,28.9915940396,552,222,False
137,,74.0,30.0,102,73.9825729214,30.013927527,552,222,False
138,,76.0,33.0,102,75.9926494236,32.9703347823,552,222,False
139,,80.0,37.0,102,79.9615467448,36.9694389431,552,222,False
140,,80.0,37.0,102,80.0553041156,37.0590213521,552,222,False
141,,81.0,41.0,102,81.006108813,40.9540224221,552,222,False
142,,85.0,44.0,102,84.948073781,43.9974467937,552,222,False
143,,89.0,46.0,102,88.9780524089,46.0175825957,552,222,False
144,,90.0,48.0,102,90.045204648,48.0074402596,552,222,False
145,,94.0,53.0,102,93.9658942199,52.9493065615,552,222,False
146,,96.0,56.0,102,96.0205224877,56.014219787,552,222,False
147,,100.0,60.0,102,99.9735668181,59.9890482791,552,222,False
148,,103.0,64.0,102,103.006353267,63.9951404013,552,222,False
149,,104.0,67.0,102,104.038816122,67.0159878625,552,222,False
150,,107.0,69.0,102,106.980538939,69.0246470272,552,222,False
151,,110.0,72.0,102,109.991122916,71.9922443185,552,222,False
152,,117.0,77.0,102,116.925268365,76.960625922,552,222,False
153,,133.0,83.0,102,132.80820147,82.9657424324,552,222,False
154,,149.0,85.0,102,148.920668148,85.0576398794,552,222,False
155,,159.0,78.0,102,159.077074316,78.1853796065,552,222,False
156,,171.0,64.0,102,170.998157512,64.2017913903,552,222,False
157,,178.0,49.0,102,178.087032019,49.0993973281,552,222,False
158,,179.0,33.0,102,179.143653923,33.0560406873,552,222,False
159,,178.0,30.0,102,178.094536916,29.7899239139,552,222,False
160,,175.0,27.0,102,175.072869828,26.91064865,552,222,False
161,,174.0,26.0,102,173.993288048,25.930495795,552,222,False
162,,167.0,25.0,102,167.102895387,24.9723622865,552,222,False
163,,163.0,24.0,102,162.989885491,23.9896160947,552,222,False
164,,163.0,24.0,102,162.92256555,23.9782894642,552,222,False
165,,162.0,24.0,102,161.985450093,23.9910544014,552,222,False
166,,161.0,24.0,102,160.995261886,23.996624982,552,222,False
167,,161.0,24.0,102,160.980430479,23.9987401238,552,222,False
168,,157.0,24.0,102,157.063199459,23.9995303313,552,222,False
169,,149.0,32.0,102,149.098274182,31.857134322,552,222,False
170,,142.0,48.0,102,142.022367641,47.7972326767,552,222,False
171,,138.0,63.0,102,137.954145335,62.9351065862,552,222,False
172,,135.0,80.0,102,134.9624796,79.9406517182,552,222,False
173,,135.0,98.0,102,134.931528925,97.9583610002,552,222,False
174,,138.0,117.0,102,137.918363334,116.965710096,552,222,False
175,,144.0,133.0,102,143.913378322,133.03983035,552,222,False
176,,154.0,150.0,102,153.893680272,149.999526746,552,222,False
177,,166.0,164.0,102,165.921157423,164.052599519,552,222,False
178,,180.0,175.0,102,179.933064842,175.075639226,552,222,False
179,,196.0,185.0,102,195.937582659,185.048709767,552,222,False
180,,204.0,189.0,102,204.11763361,189.126154727,552,222,False
181,,207.0,190.0,102,207.139768152,190.105697127,552,222,False
182,,210.0,191.0,102,210.0566842,191.042202949,552,222,False
183,,213.0,191.0,102,213.021346748,191.033700392,552,222,False
184,,214.0,192.0,102,214.043639428,191.995584315,552,222,False
185,,216.0,192.0,102,216.000136378,192.01537813,552,222,False
186,,219.0,192.0,102,218.981442662,192.006546346,552,222,False
187,,221.0,192.0,102,221.010029227,192.00247891,552,222,False
188,,226.0,192.0,102,225.951040008,192.000925794,552,222,False
189,,235.0,190.0,102,234.90788468,190.036017802,552,222,False
190,,247.0,185.0,102,246.908623304,185.068640493,552,222,False
191,,259.0,179.0,102,258.963212663,179.046062064,552,222,False
