frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,,231.0,173.0,310,231.166666667,172.666666667,554,221,False
3,,222.0,169.0,310,222.341614907,169.136645963,554,221,False
4,,221.0,158.0,310,220.992102797,158.225271048,554,221,False
5,,215.0,148.0,310,215.08224957,148.074946314,554,221,False
6,,219.0,139.0,310,218.855644684,139.009601769,554,221,False
7,,213.0,144.0,310,213.11628236,143.752845238,554,221,False
8,,211.0,152.0,310,210.980129473,151.842367827,554,221,False
9,,227.0,146.0,310,226.668511401,146.187824245,554,221,False
10,,237.0,157.0,310,236.96795821,156.778586881,554,221,False
11,,237.0,165.0,310,237.170800026,164.957039085,554,221,False
12,,234.0,168.0,310,234.125913933,168.075062747,554,221,False
13,,235.0,167.0,310,234.978563921,167.103680747,554,221,False
14,,244.0,145.0,310,244.0,145.0,554,221,False
15,,242.0,143.0,310,242.333333333,143.333333333,554,221,False
16,,241.0,130.0,310,241.049689441,130.49689441,554,221,False
17,,253.0,121.0,310,252.737116852,121.151117655,554,221,False
18,,255.0,114.0,310,255.071025334,114.018402041,554,221,False
19,,263.0,123.0,310,262.927135085,122.718447714,554,221,False
20,,261.0,122.0,310,261.146552717,122.059714534,554,221,False
21,,255.0,121.0,310,255.134287562,121.030136811,554,221,False
22,,266.0,110.0,310,265.750642481,110.189974884,554,221,False
23,,280.0,112.0,310,279.839223303,111.847487685,554,221,False
24,,289.0,102.0,310,289.026011354,102.146505351,554,221,False
25,,289.0,104.0,310,289.174334225,103.850300141,554,221,False
26,,303.0,107.0,310,302.823147286,106.916591221,554,221,False
27,,310.0,97.0,310,310.047365789,97.1994630884,554,221,False
28,,310.0,100.0,310,310.147929346,99.8535037244,554,221,False
29,,309.0,105.0,310,309.079206205,104.899157654,554,221,False
30,,296.0,99.0,310,296.244709203,99.1564012504,554,221,False
31,,295.0,83.0,310,294.887468776,83.2459396743,554,221,False
32,,289.0,70.0,310,289.037489619,70.0471363479,554,221,False
33,,294.0,72.0,310,293.821574565,71.7478925796,554,221,False
34,,298.0,70.0,310,297.942127189,69.9644756447,554,221,False
35,,292.0,57.0,310,292.157206137,57.1857557807,554,221,False
36,,289.0,53.0,310,289.013639508,52.9182300643,554,221,False
37,,297.0,55.0,310,296.80673279,54.8552788164,554,221,False
38,,292.0,67.0,310,292.150346506,66.7622297489,554,221,False
39,,289.0,69.0,310,289.031005817,69.0809454336,554,221,False
40,,280.0,76.0,310,280.117376466,75.9491025659,554,221,False
41,,270.0,83.0,310,270.066648368,82.977150275,554,221,False
42,,256.0,78.0,310,256.097282078,78.2053338358,554,221,False
43,,261.0,85.0,310,260.700834979,84.8727289637,554,221,False
44,,264.0,80.0,310,263.908117539,80.1568470951,554,221,False
45,,263.0,74.0,310,263.038038269,74.0860716258,554,221,False
46,,259.0,63.0,310,259.0711456,63.1225832425,554,221,False
47,,263.0,50.0,310,262.886552652,50.0856923405,554,221,False
48,,263.0,50.0,310,263.022363734,49.8019809709,554,221,False
49,,260.0,38.0,310,260.064937992,38.1292265462,554,221,False
50,,268.0,28.0,310,267.830712509,28.0222081412,554,221,False
51,,271.0,20.0,310,271.01682607,19.9713625053,554,221,False
52,,273.0,23.0,310,273.027932342,22.7913602013,554,221,False
53,,274.0,25.0,310,274.029283729,24.9305993854,554,221,False
54,,291.0,25.0,310,290.726436419,25.0102061766,554,221,False
55,,286.0,23.0,310,286.27682414,23.0412029234,554,221,False
56,,284.0,36.0,310,284.067794435,35.7496017765,554,221,False
57,,294.0,46.0,310,293.809538877,45.9474639853,554,221,False
58,,291.0,56.0,310,291.150560739,55.9823710904,554,221,False
59,,291.0,65.0,310,291.013209539,65.0113591791,554,221,False
60,,292.0,66.0,310,291.985033763,66.1477823906,554,221,False
61,,298.0,80.0,310,297.904288396,79.8300780388,554,221,False
62,,294.0,89.0,310,294.138376748,89.0150815905,554,221,False
