frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,,66.0,17.0,manual,66.0,17.0,544,220,False
3,,66.0,17.0,manual,66.0,17.0,544,220,False
4,,66.0,17.0,manual,66.0,17.0,544,220,False
5,,66.0,17.0,manual,66.0,17.0,544,220,False
6,,66.0,17.0,manual,66.0,17.0,544,220,False
7,,66.0,17.0,37,66.0,17.0,544,220,False
8,,66.0,17.0,37,66.0,17.0,544,220,False
9,,66.0,18.0,37,66.0,17.9627329193,544,220,False
10,,65.0,17.0,37,65.0215499933,17.0247624147,544,220,False
11,,66.0,18.0,37,65.9724129279,17.974464432,544,220,False
12,,65.0,18.0,37,65.0238251401,18.0067191939,544,220,False
13,,65.0,18.0,37,64.9926667406,18.0032819329,544,220,False
14,,65.0,18.0,37,64.9964908142,18.0012604489,544,220,False
15,,65.0,18.0,37,64.9986549371,18.0004715703,544,220,False
16,,64.0,18.0,37,64.017333253,18.0001758468,544,220,False
17,,64.0,18.0,37,63.9894775135,18.0000655449,544,220,False
18,,64.0,19.0,37,63.9952653917,18.9821881016,544,220,False
19,,64.0,18.0,37,63.9981964463,18.0281803285,544,220,False
20,,63.0,18.0,37,63.0171622543,17.9943331841,544,220,False
21,,63.0,18.0,37,62.9894137778,17.9971140712,544,220,False
22,,62.0,18.0,37,62.013077964,17.9988873389,544,220,False
23,,63.0,18.0,37,62.9700163691,17.999583522,544,220,False
24,,62.0,18.0,37,62.0228291638,17.9998446875,544,220,False
25,,62.0,18.0,37,61.9922997415,17.9999421086,544,220,False
26,,61.0,18.0,37,61.0141906381,17.9999784228,544,220,False
27,,61.0,18.0,37,60.9882691795,17.9999919578,544,220,False
28,,61.0,18.0,37,60.9948132549,17.9999970026,544,220,False
29,,60.0,18.0,37,60.0158641707,17.9999988828,544,220,False
30,,60.0,18.0,37,59.988928186,17.9999995836,544,220,False
31,,59.0,18.0,37,59.0128968915,17.9999998448,544,220,False
32,,59.0,18.0,37,58.9877852041,17.9999999422,544,220,False
33,,59.0,18.0,37,58.9946327849,17.9999999784,544,220,False
34,,59.0,18.0,37,58.9979605751,17.999999992,544,220,False
35,,58.0,18.0,37,58.0170743372,17.999999997,544,220,False
36,,58.0,17.0,37,57.9893810096,17.0178363265,544,220,False
37,,58.0,18.0,37,57.9952294232,17.9718287764,544,220,False
38,,58.0,18.0,37,57.9981830402,18.0056702094,544,220,False
39,,58.0,18.0,37,57.99932093,18.0028871936,544,220,False
40,,58.0,18.0,37,57.9997468111,18.0011131325,544,220,False
41,,58.0,18.0,37,57.9999056284,18.0004166537,544,220,False
42,,58.0,18.0,37,57.999964826,18.000155378,544,220,False
43,,58.0,18.0,37,57.9999868901,18.0000579158,544,220,False
44,,58.0,18.0,37,57.9999951137,18.0000215863,544,220,False
45,,58.0,18.0,37,57.9999981788,18.0000080456,544,220,False
46,,58.0,18.0,37,57.9999993212,18.0000029987,544,220,False
47,,58.0,18.0,37,57.999999747,18.0000011177,544,220,False
48,,58.0,18.0,37,57.9999999057,18.0000004166,544,220,False
49,,58.0,18.0,37,57.9999999649,18.0000001553,544,220,False
50,,57.0,18.0,37,57.0178363145,18.0000000579,544,220,False
51,,57.0,19.0,37,56.9896650995,18.982163694,544,220,False
52,,56.0,19.0,37,56.0131716397,19.0103349037,544,220,False
53,,56.0,19.0,37,55.9878876112,19.0046646891,544,220,False
54,,56.0,19.0,37,55.9946709538,19.0017774936,544,220,False
55,,56.0,19.0,37,55.9979748013,19.0006643603,544,220,False
56,,56.0,19.0,37,55.9992433119,19.0002477063,544,220,False
57,,57.0,19.0,37,56.9818815539,19.0000923282,544,220,False
58,,57.0,18.0,37,57.0102297415,18.0178707399,544,220,False
59,,57.0,19.0,37,57.0046254933,18.9718416028,544,220,False
60,,57.0,18.0,37,57.0017628847,18.0235113176,544,220,False
61,,57.0,19.0,37,57.0006589154,18.9747177522,544,220,False
62,,57.0,18.0,37,57.0002456769,18.0246203338,544,220,False
63,,57.0,18.0,37,57.0000915718,17.9929691992,544,220,False
64,,57.0,18.0,37,57.0000341304,17.9966039168,544,220,False
65,,57.0,18.0,37,57.0000127209,17.9986971115,544,220,False
66,,57.0,18.0,37,57.0000047413,17.9995126173,544,220,False
67,,57.0,19.0,37,57.0000017672,18.9819819324,544,220,False
68,,57.0,18.0,37,57.0000006586,18.0281034819,544,220,False
69,,57.0,19.0,37,57.0000002455,18.9764682144,544,220,False
70,,57.0,18.0,37,57.0000000915,18.0252746191,544,220,False
71,,57.0,19.0,37,57.0000000341,18.9753768229,544,220,False
72,,57.0,18.0,37,57.0000000127,18.0248660686,544,220,False
73,,57.0,18.0,37,57.0000000047,17.9930607926,544,220,False
74,,56.0,19.0,37,56.0178363294,18.9788017276,544,220,False
75,,53.0,19.0,37,53.0431740878,19.009044731,544,220,False
76,,51.0,18.0,37,51.0000032825,18.0220183734,544,220,False
77,,50.0,19.0,37,49.9813949857,18.9734262968,544,220,False
78,,49.0,19.0,37,48.9921752226,19.0062674869,544,220,False
79,,49.0,19.0,37,48.9792046475,19.0031098969,544,220,False
80,,48.0,20.0,37,48.0092299826,19.9833598141,544,220,False
81,,48.0,19.0,37,47.9864164429,19.0286188159,544,220,False
82,,48.0,19.0,37,47.9941225285,18.9944966999,544,220,False
83,,49.0,20.0,37,48.9799340625,19.9793386926,544,220,False
