frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
2,,255.0,19.0,manual,255.0,19.0,549,218,False
3,,255.0,19.0,manual,255.0,19.0,549,218,False
4,,255.0,19.0,manual,255.0,19.0,549,218,False
5,,255.0,19.0,manual,255.0,19.0,549,218,False
6,,255.0,19.0,manual,255.0,19.0,549,218,False
7,,255.0,19.0,29,255.0,19.0,549,218,False
8,,304.0,70.0,29,295.833333333,61.5,549,218,False
9,,347.0,55.0,29,345.093167702,55.2422360248,549,218,False
10,,368.0,15.0,29,367.711819034,15.8411189934,549,218,False
11,,396.0,31.0,29,395.783802465,30.3242409558,549,218,False
12,,401.0,36.0,29,401.326128856,35.8975035541,549,218,False
13,,403.0,39.0,29,403.194574152,39.0046421724,549,218,False
14,,404.0,41.0,29,404.093853723,41.0216184887,549,218,False
15,,404.0,42.0,29,404.053838185,42.0268458462,549,218,False
16,,417.0,13.0,29,416.789096121,13.5459956514,549,218,False
17,,417.0,15.0,29,417.142212095,14.6762245268,549,218,False
18,,417.0,15.0,29,417.063571953,14.8897637078,549,218,False
19,,418.0,15.0,29,418.006363615,14.9594128405,549,218,False
20,,410.0,11.0,29,410.162069406,11.0562417619,549,218,False
21,,341.0,28.0,29,342.15606408,27.6498146683,549,218,False
22,,294.0,39.0,29,294.090916438,38.9587372234,549,218,False
23,,279.0,50.0,29,278.446854344,49.9888921166,549,218,False
24,,256.0,93.0,29,255.908432299,92.4253018459,549,218,False
25,,239.0,121.0,29,238.864337454,121.026041988,549,218,False
26,,185.0,186.0,29,185.604521697,185.361258873,549,218,False
27,,177.0,197.0,29,176.436192603,197.694061566,549,218,False
28,,176.0,198.0,29,175.62724254,198.481657844,549,218,False
29,,175.0,198.0,29,174.853285488,198.208027865,549,218,False
30,,174.0,198.0,29,173.944944839,198.078899362,549,218,False
31,,174.0,198.0,29,173.961625948,198.029472285,549,218,False
32,,174.0,197.0,29,173.98484299,197.028824224,549,218,False
