frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix
118,173.0,31.0,manual,173.0,31.0,560,228,False
119,173.0,31.0,manual,173.0,31.0,560,228,False
120,173.0,31.0,manual,173.0,31.0,560,228,False
121,173.0,31.0,manual,173.0,31.0,560,228,False
122,173.0,31.0,manual,173.0,31.0,560,228,False
123,173.0,31.0,manual,173.0,31.0,560,228,False
124,173.0,31.0,manual,173.0,31.0,560,228,False
125,173.0,31.0,manual,173.0,31.0,560,228,False
126,173.0,31.0,manual,173.0,31.0,560,228,False
127,173.0,31.0,manual,173.0,31.0,560,228,False
128,173.0,31.0,manual,173.0,31.0,560,228,False
129,173.0,31.0,manual,173.0,31.0,560,228,False
130,173.0,31.0,manual,173.0,31.0,560,228,False
131,173.0,31.0,manual,173.0,31.0,560,228,False
132,173.0,31.0,manual,173.0,31.0,560,228,False
133,173.0,31.0,manual,173.0,31.0,560,228,False
134,173.0,31.0,manual,173.0,31.0,560,228,False
135,173.0,31.0,manual,173.0,31.0,560,228,False
136,173.0,31.0,manual,173.0,31.0,560,228,False
137,173.0,31.0,manual,173.0,31.0,560,228,False
138,173.0,31.0,manual,173.0,31.0,560,228,False
139,173.0,31.0,manual,173.0,31.0,560,228,False
140,173.0,31.0,manual,173.0,31.0,560,228,False
141,173.0,31.0,manual,173.0,31.0,560,228,False
142,173.0,31.0,manual,173.0,31.0,560,228,False
143,173.0,31.0,manual,173.0,31.0,560,228,False
144,173.0,31.0,manual,173.0,31.0,560,228,False
145,173.0,31.0,manual,173.0,31.0,560,228,False
146,173.0,31.0,manual,173.0,31.0,560,228,False
147,173.0,31.0,manual,173.0,31.0,560,228,False
148,173.0,31.0,manual,173.0,31.0,560,228,False
149,173.0,31.0,manual,173.0,31.0,560,228,False
150,173.0,31.0,manual,173.0,31.0,560,228,False
151,173.0,31.0,manual,173.0,31.0,560,228,False
152,173.0,31.0,manual,173.0,31.0,560,228,False
153,173.0,31.0,manual,173.0,31.0,560,228,False
154,173.0,31.0,manual,173.0,31.0,560,228,False
155,173.0,31.0,manual,173.0,31.0,560,228,False
156,173.0,31.0,manual,173.0,31.0,560,228,False
157,173.0,31.0,manual,173.0,31.0,560,228,False
158,173.0,31.0,manual,173.0,31.0,560,228,False
159,173.0,31.0,manual,173.0,31.0,560,228,False
160,173.0,31.0,manual,173.0,31.0,560,228,False
161,173.0,31.0,manual,173.0,31.0,560,228,False
162,173.0,31.0,manual,173.0,31.0,560,228,False
163,173.0,31.0,manual,173.0,31.0,560,228,False
164,173.0,31.0,manual,173.0,31.0,560,228,False
165,173.0,31.0,manual,173.0,31.0,560,228,False
166,173.0,31.0,manual,173.0,31.0,560,228,False
167,173.0,31.0,manual,173.0,31.0,560,228,False
168,173.0,31.0,manual,173.0,31.0,560,228,False
169,173.0,31.0,manual,173.0,31.0,560,228,False
170,173.0,31.0,manual,173.0,31.0,560,228,False
171,173.0,31.0,manual,173.0,31.0,560,228,False
