frames,interpolated,manual_tracker_fix,measurement_x,measurement_y,objid,pixel_height,pixel_width,position_x,position_y
175,,True,137,29,,229,566,137,29
176,,True,137,29,,229,566,137,29
177,,True,137,29,,229,566,137,29
178,,True,137,29,,229,566,137,29
179,,True,137,29,,229,566,137,29
180,,True,137,29,,229,566,137,29
181,,True,137,29,,229,566,137,29
182,,True,137,29,,229,566,137,29
183,,True,137,29,,229,566,137,29
184,,True,137,29,,229,566,137,29
185,,True,137,29,,229,566,137,29
186,,True,137,29,,229,566,137,29
187,,True,137,29,,229,566,137,29
188,,True,137,29,,229,566,137,29
189,,True,137,29,,229,566,137,29
190,,True,137,29,,229,566,137,29
191,,True,137,29,,229,566,137,29
192,,True,137,29,,229,566,137,29
193,,True,137,29,,229,566,137,29
194,,True,137,29,,229,566,137,29
195,,True,137,29,,229,566,137,29
196,,True,137,29,,229,566,137,29
197,,True,137,29,,229,566,137,29
198,,True,137,29,,229,566,137,29
199,,True,137,29,,229,566,137,29
200,,True,137,29,,229,566,137,29
201,,True,137,29,,229,566,137,29
202,,True,137,29,,229,566,137,29
203,,True,137,29,,229,566,137,29
204,,True,137,29,,229,566,137,29
205,,True,137,29,,229,566,137,29
206,,True,137,29,,229,566,137,29
207,,True,137,29,,229,566,137,29
208,,True,137,29,,229,566,137,29
209,,True,137,29,,229,566,137,29
210,,True,137,29,,229,566,137,29
211,,True,137,29,,229,566,137,29
212,,True,137,29,,229,566,137,29
213,,True,137,29,,229,566,137,29
214,,True,137,29,,229,566,137,29
215,,True,137,29,,229,566,137,29
216,,True,137,29,,229,566,137,29
217,,True,137,29,,229,566,137,29
218,,True,137,29,,229,566,137,29
219,,True,137,29,,229,566,137,29
220,,True,137,29,,229,566,137,29
221,,True,137,29,,229,566,137,29
222,,True,137,29,,229,566,137,29
223,,True,137,29,,229,566,137,29
224,,True,137,29,,229,566,137,29
225,,True,137,29,,229,566,137,29
226,,True,137,29,,229,566,137,29
227,,True,137,29,,229,566,137,29
228,,True,137,29,,229,566,137,29
229,,True,137,29,,229,566,137,29
230,,True,137,29,,229,566,137,29
231,,True,137,29,,229,566,137,29
232,,True,137,29,,229,566,137,29
233,,True,137,29,,229,566,137,29
234,,True,137,29,,229,566,137,29
235,,True,137,29,,229,566,137,29
236,,True,137,29,,229,566,137,29
237,,True,137,29,,229,566,137,29
238,,True,137,29,,229,566,137,29
239,,True,137,29,,229,566,137,29
240,,True,137,29,,229,566,137,29
241,,True,137,29,,229,566,137,29
242,,True,137,29,,229,566,137,29
243,,True,137,29,,229,566,137,29
244,,True,137,29,,229,566,137,29
245,,True,137,29,,229,566,137,29
246,,True,137,29,,229,566,137,29
247,,True,137,29,,229,566,137,29
248,,True,137,29,,229,566,137,29
249,,True,137,29,,229,566,137,29
250,,True,137,29,,229,566,137,29
251,,True,137,29,,229,566,137,29
252,,True,137,29,,229,566,137,29
253,,True,137,29,,229,566,137,29
254,,True,137,29,,229,566,137,29
255,,True,137,29,,229,566,137,29
256,,True,137,29,,229,566,137,29
257,,True,137,29,,229,566,137,29
258,,True,137,29,,229,566,137,29
259,,True,137,29,,229,566,137,29
260,,True,137,29,,229,566,137,29
261,,True,137,29,,229,566,137,29
262,,True,137,29,,229,566,137,29
263,,True,137,29,,229,566,137,29
264,,True,137,29,,229,566,137,29
265,,True,137,29,,229,566,137,29
266,,True,137,29,,229,566,137,29
267,,True,137,29,,229,566,137,29
268,,True,137,29,,229,566,137,29
269,,True,137,29,,229,566,137,29
270,,True,137,29,,229,566,137,29
271,,True,137,29,,229,566,137,29
272,,True,137,29,,229,566,137,29
273,,True,137,29,,229,566,137,29
274,,True,137,29,,229,566,137,29
275,,True,137,29,,229,566,137,29
276,,True,137,29,,229,566,137,29
277,,True,137,29,,229,566,137,29
278,,True,137,29,,229,566,137,29
279,,True,137,29,,229,566,137,29
280,,True,137,29,,229,566,137,29
281,,True,137,29,,229,566,137,29
282,,True,137,29,,229,566,137,29
283,,True,137,29,,229,566,137,29
284,,True,137,29,,229,566,137,29
285,,True,137,29,,229,566,137,29
286,,True,137,29,,229,566,137,29
287,,True,137,29,,229,566,137,29
288,,True,137,29,,229,566,137,29
289,,True,137,29,,229,566,137,29
290,,True,137,29,,229,566,137,29
291,,True,137,29,,229,566,137,29
292,,True,137,29,,229,566,137,29
293,,True,137,29,,229,566,137,29
294,,True,137,29,,229,566,137,29
295,,True,137,29,,229,566,137,29
296,,True,137,29,,229,566,137,29
297,,True,137,29,,229,566,137,29
298,,True,137,29,,229,566,137,29
299,,True,137,29,,229,566,137,29
300,,True,137,29,,229,566,137,29
301,,True,137,29,,229,566,137,29
302,,True,137,29,,229,566,137,29
303,,True,137,29,,229,566,137,29
304,,True,137,29,,229,566,137,29
305,,True,137,29,,229,566,137,29
306,,True,137,29,,229,566,137,29
307,,True,137,29,,229,566,137,29
308,,True,137,29,,229,566,137,29
309,,True,137,29,,229,566,137,29
310,,True,137,29,,229,566,137,29
311,,True,137,29,,229,566,137,29
