frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,larvae_length_mm,pos_x_mm,pos_y_mm,speed_mm_s,speed_BL,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,turn
2,,523.0,156.0,manual,523.0,156.0,552,224,False,5.1,75.79710144927536,20.892857142857142,,,,,bin_1675,0.6548333333333334,,False,False
3,,523.0,156.0,manual,523.0,156.0,552,224,False,5.1,75.79710144927536,20.892857142857142,0.0,0.0,0.0,,bin_1675,0.65725,0.0024166666666666226,False,False
4,,523.0,156.0,manual,523.0,156.0,552,224,False,5.1,75.79710144927536,20.892857142857142,0.0,0.0,0.0,0.0,bin_1675,0.6596666666666667,0.0024166666666667336,False,False
5,,523.0,156.0,manual,523.0,156.0,552,224,False,5.1,75.79710144927536,20.892857142857142,0.0,0.0,0.0,0.0,bin_1675,0.6620833333333334,0.0024166666666666226,False,False
6,,523.0,156.0,manual,523.0,156.0,552,224,False,5.1,75.79710144927536,20.892857142857142,0.0,0.0,0.0,0.0,bin_1675,0.6645,0.0024166666666666226,False,False
7,,523.0,156.0,manual,523.0,156.0,552,224,False,5.1,75.79710144927536,20.892857142857142,0.0,0.0,0.0,0.0,bin_1675,0.6669166666666667,0.0024166666666667336,False,False
8,,523.0,156.0,manual,523.0,156.0,552,224,False,5.1,75.79710144927536,20.892857142857142,0.0,0.0,0.0,0.0,bin_1675,0.6693333333333333,0.0024166666666666226,False,False
9,,523.0,156.0,manual,523.0,156.0,552,224,False,5.1,75.79710144927536,20.892857142857142,0.0,0.0,0.0,0.0,bin_1675,0.6717500000000001,0.0024166666666667336,False,False
10,,523.0,156.0,manual,523.0,156.0,552,224,False,5.1,75.79710144927536,20.892857142857142,0.0,0.0,0.0,0.0,bin_1675,0.6741666666666667,0.0024166666666666226,False,False
11,,523.0,156.0,manual,523.0,156.0,552,224,False,5.1,75.79710144927536,20.892857142857142,0.0,0.0,0.0,0.0,bin_1675,0.6765833333333333,0.0024166666666666226,False,False
12,,523.0,156.0,manual,523.0,156.0,552,224,False,5.1,75.79710144927536,20.892857142857142,0.0,0.0,0.0,0.0,bin_1675,0.679,0.0024166666666667336,False,False
13,,523.0,156.0,manual,523.0,156.0,552,224,False,5.1,75.79710144927536,20.892857142857142,0.0,0.0,0.0,0.0,bin_1675,0.6814166666666667,0.0024166666666666226,False,False
14,,523.0,156.0,manual,523.0,156.0,552,224,False,5.1,75.79710144927536,20.892857142857142,0.0,0.0,0.0,0.0,bin_1675,0.6838333333333333,0.0024166666666666226,False,False
15,,523.0,156.0,manual,523.0,156.0,552,224,False,5.1,75.79710144927536,20.892857142857142,0.0,0.0,0.0,0.0,bin_1675,0.68625,0.0024166666666667336,False,False
16,,523.0,156.0,manual,523.0,156.0,552,224,False,5.1,75.79710144927536,20.892857142857142,0.0,0.0,0.0,0.0,bin_1675,0.6886666666666666,0.0024166666666666226,False,False
17,,523.0,156.0,manual,523.0,156.0,552,224,False,5.1,75.79710144927536,20.892857142857142,0.0,0.0,0.0,0.0,bin_1675,0.6910833333333334,0.0024166666666667336,False,False
18,,523.0,156.0,manual,523.0,156.0,552,224,False,5.1,75.79710144927536,20.892857142857142,0.0,0.0,0.0,0.0,bin_1675,0.6935,0.0024166666666666226,False,False
19,,523.0,156.0,manual,523.0,156.0,552,224,False,5.1,75.79710144927536,20.892857142857142,0.0,0.0,0.0,0.0,bin_1675,0.6959166666666666,0.0024166666666666226,False,False
20,,523.0,156.0,manual,523.0,156.0,552,224,False,5.1,75.79710144927536,20.892857142857142,0.0,0.0,0.0,0.0,bin_1675,0.6983333333333334,0.0024166666666667336,False,False
21,,523.0,156.0,manual,523.0,156.0,552,224,False,5.1,75.79710144927536,20.892857142857142,0.0,0.0,0.0,0.0,bin_1675,0.70075,0.0024166666666666226,False,False
22,,523.0,156.0,179,523.0,156.0,552,224,False,5.1,75.79710144927536,20.892857142857142,0.0,0.0,0.0,0.0,bin_1675,0.7031666666666667,0.0024166666666667336,False,False
23,,523.0,157.0,179,523.0,156.83333333299998,552,224,False,5.1,75.79710144927536,21.004464285669638,0.2232142856249908,0.04376750698529232,90.0,90.0,bin_1755,0.67475,-0.028416666666666757,False,True
24,,524.0,157.0,179,523.962732919,156.99378882,552,224,False,5.1,75.93662795927536,21.025953859821424,0.2823433993562033,0.05536145085415751,8.755772450265058,-81.24422754973494,bin_1755,0.6779999999999999,0.003249999999999975,False,True
25,,523.0,156.0,179,523.024762415,156.022085397,552,224,False,5.1,75.80069020507247,20.89581500852679,0.376378499035273,0.07379970569319079,-136.24851289348913,-145.0042853437542,bin_1675,0.7104166666666667,0.03241666666666676,False,True
26,,526.0,168.0,179,525.9377095469999,167.77060298,552,224,False,5.1,76.22285645608694,22.46927718482143,3.2582250160021062,0.6388676501964915,74.98103261262264,-148.77045449388822,bin_1836,0.7085,-0.0019166666666666776,True,True
27,,454.0,190.0,179,455.316734436,189.723919333,552,224,False,5.1,65.98793252695653,25.40945348209821,21.29772800034357,4.176025098106583,163.97228264311426,88.99125003049161,bin_2065,0.32199999999999995,-0.38650000000000007,True,True
28,,378.0,198.0,179,378.626339252,198.13782581,552,224,False,5.1,54.87338250028985,26.53631595669643,22.34305631125105,4.380991433578638,174.21077820101038,10.23849555789613,bin_2134,0.5303333333333333,0.20833333333333337,True,False
29,,313.0,198.0,179,313.043720375,198.205593305,552,224,False,5.1,45.368655126811596,26.54539196049107,19.009463413572902,3.727345767367236,179.94528864071634,5.734510439705957,bin_2125,0.8850833333333334,0.3547500000000001,True,False
30,,236.0,193.0,179,236.22125418299999,193.173190962,552,224,False,5.1,34.234964374347825,25.87140950383929,22.30814399481693,4.374145881336653,-176.5358043248513,3.5189070344323454,bin_2034,1.8075,0.9224166666666667,True,False
31,,175.0,190.0,179,174.806891489,190.03349927099998,552,224,False,5.1,25.334332099855075,25.4509150809375,17.82111898231236,3.494337055355365,-177.29517468659012,-0.759370361738803,bin_2025,3.6935000000000002,1.8860000000000001,True,False
32,,85.0,197.0,179,85.43209151810001,196.83263639700002,552,224,False,5.1,12.381462538855075,26.361513803169647,25.969676154870406,5.09209336370008,175.97866971248754,-6.726155600922311,bin_2092,6.232666666666667,2.5391666666666666,True,False
33,,35.0,198.0,179,34.4717161378,198.036032282,552,224,False,5.1,4.995900889536232,26.522682894910712,14.774639941740972,2.896988223870779,178.74987932058266,2.77120960809512,bin_2084,8.387,2.1543333333333337,True,False
34,,37.0,187.0,179,35.8426234636,187.232175196,552,224,False,5.1,5.194583110666667,25.075737749464285,2.921044250896797,0.5727537746856465,-82.18152311332844,99.0685975660889,bin_2005,7.453,-0.9340000000000002,True,True
35,,42.0,182.0,179,41.469155313099996,181.989985373,552,224,False,5.1,6.010022509144927,24.3736587553125,2.1520746516975358,0.42197542190147763,-40.72787279309851,41.453650320229926,bin_1926,6.650416666666667,-0.8025833333333336,True,True
36,,46.0,180.0,179,45.815222096199996,179.93813800799998,552,224,False,5.1,6.63988726031884,24.09885776892857,1.3744019599650694,0.26949058038530777,-23.570955131605118,17.156917661493395,bin_1926,6.681,0.030583333333333407,True,False
37,,47.0,179.0,179,46.98526518,178.956324972,552,224,False,5.1,6.80945872173913,23.967364951607145,0.4291612355995767,0.08414926188226994,-37.7914993513052,-14.22054421970008,bin_1846,6.9235,0.24249999999999972,False,False
38,,48.0,179.0,179,47.9970987296,178.964898638,552,224,False,5.1,6.95610126515942,23.968513210446428,0.2932940779431705,0.057508642733955,0.44863543123769223,38.24013478254289,bin_1846,6.949,0.025500000000000078,False,True
39,,53.0,171.0,179,52.927697316199996,171.12870702799998,552,224,False,5.1,7.670680770463768,22.919023262678568,2.5393329989324305,0.4979084311632217,-55.74973014944412,-56.19836558068181,bin_1767,7.0127500000000005,0.06375000000000064,True,True
40,,59.0,158.0,179,58.9518070495,158.143938088,552,224,False,5.1,8.54374015210145,21.179991708214285,3.8917674294788127,0.763091652838983,-63.34162421641502,-7.591894066970902,bin_1688,7.1033333333333335,0.09058333333333302,True,False
41,,61.0,150.0,179,61.052366394799996,149.969058805,552,224,False,5.1,8.848169042724637,20.085141804241072,2.272772106196499,0.4456415894502939,-74.46112473414381,-11.119500517728788,bin_1608,7.945083333333334,0.8417500000000002,True,False
42,,61.0,144.0,179,61.058555997700005,143.948747066,552,224,False,5.1,8.84906608662319,19.27885005348214,1.6125844995282042,0.3161930391231773,-89.93625532176078,-15.475130587616974,bin_1528,9.004,1.0589166666666658,True,False
43,,57.0,141.0,179,57.095038207399995,140.92548742600002,552,224,False,5.1,8.274643218463767,18.87394920883929,1.4055693870556407,0.2756018405991453,-144.82064623769227,-54.88439091593149,bin_1448,9.605916666666666,0.601916666666666,True,True
44,,53.0,142.0,179,53.0389258358,141.898231068,552,224,False,5.1,7.686800845768116,19.004227375178573,1.2042110375863184,0.236119811291435,167.50402737685448,-47.67532638545322,bin_1527,9.941,0.3350833333333352,True,True
45,,47.0,140.0,179,47.05034857810001,140.01203701,552,224,False,5.1,6.818891098275363,18.751612099553572,1.8078515506224835,0.354480696200487,-163.77174568195335,28.72422694119217,bin_1446,12.098749999999999,2.1577499999999983,True,False
46,,36.0,140.0,179,36.109662467199996,139.971204939,552,224,False,5.1,5.2332844155362315,18.74614351861607,3.171232225949063,0.6218102403821693,-179.80239401817502,-16.030648336221674,bin_1445,12.806333333333335,0.7075833333333357,True,False
47,,26.0,138.0,179,26.027386429699998,138.023347608,552,224,False,5.1,3.772084989811594,18.485269768928568,2.9686083439982633,0.5820800674506399,-169.8774076734073,9.924986344767717,bin_1443,14.01125,1.2049166666666657,True,False
48,,26.0,143.0,179,25.8311986708,142.885478619,552,224,False,5.1,3.7436519812753626,19.136448029330356,1.3035974268067905,0.2556073385895668,92.50017139787553,-97.62242092871713,bin_1523,13.144,-0.8672500000000003,True,True
49,,31.0,147.0,179,30.839337041,146.969255585,552,224,False,5.1,4.469469136376811,19.683382444419642,1.8176334031356485,0.356398706497186,36.99959510102431,-55.50057629685122,bin_1524,12.056333333333335,-1.0876666666666654,True,True
50,,36.0,146.0,179,35.935440706,146.07829408700002,552,224,False,5.1,5.208034884927537,19.564057243794647,1.496285893051845,0.29338939079447945,-9.177596407605412,-46.177191508629726,bin_1525,10.999166666666666,-1.057166666666669,True,True
51,,46.0,129.0,179,45.8865322691,129.318857787,552,224,False,5.1,6.650222067985507,17.3194898821875,5.335910985677609,1.0462570560152176,-57.27830383560642,-48.10070742800101,bin_1366,14.2605,3.2613333333333347,True,True
52,,30.0,120.0,179,30.4171748459,119.99001505700001,552,224,False,5.1,4.408286209550725,16.070091302276786,5.133136742701724,1.0064974005297498,-150.86970545785687,-93.59140162225044,bin_1284,17.651,3.3904999999999994,True,True
53,,37.0,111.0,179,36.7672397173,110.99011337600001,552,224,False,5.1,5.328585466275363,14.86474732714286,3.033021477220085,0.5947100935725658,-52.637691564787055,98.23201389306982,bin_1125,30.52075,12.86975,True,True
54,,32.0,116.0,179,32.1087029717,115.74631148700001,552,224,False,5.1,4.653435213289854,15.50173814558036,1.8564322415645254,0.36400632187539717,136.66579534155898,-170.69651309365398,bin_1204,23.3485,-7.172249999999998,True,True
55,,34.0,122.0,179,33.9250145511,121.875646126,552,224,False,5.1,4.916668775521739,16.322631177589287,1.7241314083167751,0.3380649820228971,72.22065242513361,-64.44514291642537,bin_1284,17.90375,-5.444750000000003,True,True
56,,37.0,129.0,179,36.9486881481,128.934388982,552,224,False,5.1,5.354882340304347,17.267998524375,2.0839870908699396,0.4086249197784196,65.1304911603461,-7.090161264787511,bin_1365,15.610666666666667,-2.293083333333332,True,False
57,,41.0,137.0,179,40.9619208898,136.956787635,552,224,False,5.1,5.936510273884058,18.342426915401784,2.4435117520197123,0.4791199513764142,61.57167334424106,-3.5588178161050337,bin_1445,13.343500000000002,-2.2671666666666646,True,False
58,,43.0,145.0,179,43.0205729224,144.982996417,552,224,False,5.1,6.234865640927536,19.417365591562504,2.2311513463230677,0.437480656141778,74.48770181818526,12.916028473944195,bin_1526,10.948666666666666,-2.3948333333333363,True,False
59,,44.0,156.0,179,44.0271678819,155.940110563,552,224,False,5.1,6.380748968391305,20.88483623611607,2.949408101879668,0.5783153140940526,84.32279856916142,9.835096750976163,bin_1606,9.341333333333333,-1.607333333333333,True,False
60,,43.0,167.0,179,43.046731717600004,166.975115555,552,224,False,5.1,6.238656770666667,22.362738690401784,2.969434866797356,0.5822421307445796,95.49179416716156,11.168995598000137,bin_1766,8.035,-1.306333333333333,True,False
61,,41.0,176.0,179,41.0370057309,176.02627520099998,552,224,False,5.1,5.947392134913043,23.574947571562497,2.4934197076349567,0.4889058250264621,103.51068180079164,8.018887633630086,bin_1845,7.951083333333334,-0.0839166666666662,True,False
62,,38.0,186.0,179,38.0325663216,185.993658092,552,224,False,5.1,5.511966133565218,24.909864923035716,2.808273589174695,0.5506418802303324,108.06539360238705,4.554711801595403,bin_1925,8.355666666666666,0.4045833333333322,True,False
