frames,interpolated,manual_tracker_fix,measurement_x,measurement_y,objid,pixel_height,pixel_width,position_x,position_y,larvae_length_mm,pos_x_mm,pos_y_mm,speed_mm_s,speed_BL,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,turn
40,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.3499999999999996,0.014499999999999957,False,False
41,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.3645,0.014500000000000401,False,False
42,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.379,0.014499999999999957,False,False
43,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.3935,0.014499999999999957,False,False
44,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.408,0.014499999999999957,False,False
45,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.4225,0.014499999999999957,False,False
46,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.437,0.014499999999999957,False,False
47,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.4515,0.014499999999999957,False,False
48,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.4659999999999997,0.014499999999999957,False,False
49,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.4805,0.014500000000000401,False,False
50,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.495,0.014499999999999957,False,False
51,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.5095,0.014499999999999957,False,False
52,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.524,0.014499999999999957,False,False
53,,True,305,12,,219,555,305,12,4.6,43.96396396396396,1.643835616438356,0.0,0.0,0.0,0.0,bin_123,2.5385,0.014499999999999957,False,False
