frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,speed_mm_s,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,wall,turn
15,526.0,109.0,0,526.103720645,109.051641585,558,228,False,75.42705672329748,14.348900208552632,1.2227594290482475,116.92037754937466,47.20103476180495,bin_1195,0.24,-0.004500000000000004,True,True,True
16,524.0,109.0,0,524.043007845,109.094693316,558,228,False,75.13161402795699,14.35456491,0.5909939934467893,178.90156796480244,61.981190415427776,bin_1195,0.24133333333333334,0.001333333333333353,False,True,True
17,518.0,119.0,0,518.0875831430001,118.860540837,558,228,False,74.27778969792116,15.639544846973685,3.085572507646522,123.60265098411696,-55.298916980685476,bin_1274,0.13691666666666666,-0.10441666666666669,True,True,True
18,510.0,147.0,0,510.071740433,146.61860472200001,558,228,False,73.12856493663082,19.29192167394737,7.657825811071238,107.46624486673436,-16.136406117382606,bin_1593,0.182,0.045083333333333336,True,True,False
19,502.0,171.0,0,502.028609743,170.913429173,558,228,False,71.97542792014337,22.488609101710523,6.796627248749948,109.83583086900414,2.3695860022697843,bin_1831,0.26475,0.08274999999999999,True,True,False
20,494.0,193.0,0,494.010752826,193.006066217,558,228,False,70.82591438365591,25.395535028552633,6.251911616366556,111.57580291142223,1.7399720424180884,bin_2070,0.055,-0.20975,True,True,False
21,488.0,202.0,0,487.96833937300005,202.235967636,558,228,False,69.95961854810037,26.609995741578945,2.983543730656726,125.50092015899904,13.925117247576807,bin_2149,0.14125,0.08625,True,True,False
22,486.0,203.0,0,485.915147375,203.24182343200002,558,228,False,69.66525410394266,26.742345188421055,0.6454976438800956,155.7907994758327,30.289879316833662,bin_2149,0.14416666666666667,0.0029166666666666785,False,True,True
23,479.0,204.0,0,479.05405984199996,204.097494989,558,228,False,68.6815856404301,26.85493355118421,1.98018159322709,173.47047528797472,17.679675812142023,bin_2148,0.12983333333333333,-0.014333333333333337,True,True,False
24,469.0,206.0,0,469.077758413,206.01885394,558,228,False,67.25129152874551,27.107743939473686,2.9049298362244014,169.97626597943793,-3.494209308536796,bin_2227,0.218,0.08816666666666667,True,True,False
25,453.0,209.0,0,453.138756626,208.98835412900002,558,228,False,64.96612998222221,27.498467648552634,4.6366489237574,170.29722546539955,0.32095948596162316,bin_2224,0.235,0.016999999999999987,True,True,False
26,448.0,206.0,0,447.860770406,206.101783772,558,228,False,64.20942944888888,27.118655759473683,1.6933431645507266,-153.3464804563195,36.35629407828094,bin_2224,0.238,0.0030000000000000027,True,True,True
27,447.0,201.0,0,446.86762393099997,201.07868761900002,558,228,False,64.06704285749103,26.457722055131583,1.3521942211757427,-102.1575628897317,51.18891756658782,bin_2144,0.125,-0.11299999999999999,True,True,True
28,447.0,199.0,0,446.92897355699995,198.977769254,558,228,False,64.07583850279569,26.181285428157896,0.5531530425078218,-88.17758088562525,13.979982004106446,bin_2144,0.12666666666666668,0.0016666666666666774,False,True,False
29,449.0,199.0,0,448.936816826,198.953574252,558,228,False,64.36370133706093,26.178101875263156,0.575760875225995,-0.6336236814799338,87.54395720414531,bin_2144,0.12833333333333335,0.0016666666666666774,False,True,True
30,450.0,199.0,0,449.992530204,198.980871218,558,228,False,64.51505809376344,26.181693581315788,0.3027987328366612,1.3593775909555572,1.993001272435491,bin_2144,0.13,0.0016666666666666496,False,True,False
31,447.0,200.0,0,447.069330691,199.974946737,558,228,False,64.09596138939068,26.312492991710528,0.8780672716272309,162.66694065366417,161.30756306270862,bin_2144,0.13166666666666668,0.0016666666666666774,False,True,True
32,446.0,199.0,0,445.99361901699996,199.02547718099999,558,228,False,63.941737493476694,26.187562786973682,0.3969512117451122,-140.99054241047034,56.34251693586549,bin_2143,0.20666666666666667,0.07499999999999998,False,True,True
33,435.0,192.0,0,435.17444301800003,192.11817977299998,558,228,False,62.390601149534056,25.27870786486842,3.5955757407873894,-149.63274879062953,-8.642206380159195,bin_2062,0.145,-0.061666666666666675,True,True,False
34,423.0,184.0,0,423.091315716,184.06708482599998,558,228,False,60.658253149247315,24.219353266578945,4.061163261438537,-148.5536412878511,1.0791075027784416,bin_1980,0.20666666666666667,0.061666666666666675,True,True,False
35,424.0,182.0,0,423.80342100800004,181.919088035,558,228,False,60.760347097921155,23.936722109868416,0.6010109652888155,-70.13892194985213,78.41471933799896,bin_1900,0.24541666666666667,0.03875000000000001,False,True,True
36,420.0,170.0,0,420.00487759,170.143137549,558,228,False,60.215753059498205,22.387254940657893,3.2847716359875543,-109.36513759005224,-39.22621564020011,bin_1820,0.253,0.007583333333333331,True,True,True
37,419.0,171.0,0,418.952048635,170.829770334,558,228,False,60.064809840143376,22.47760135973684,0.3518313852378094,149.09755017666785,-101.53731223327992,bin_1820,0.25475000000000003,0.0017500000000000293,False,True,True
38,417.0,172.0,0,416.997582403,171.92585338799998,558,228,False,59.78459962767025,22.62182281421052,0.6302938714750126,152.76556297671914,3.6680128000512866,bin_1819,0.3065,0.05174999999999996,False,True,False
39,415.0,172.0,0,414.999838506,171.98968872700001,558,228,False,59.498184732043015,22.630222200921054,0.5730760582480168,178.32022870461637,25.55466572789723,bin_1819,0.30825,0.0017500000000000293,False,True,False
40,415.0,171.0,0,414.964302546,171.014822214,558,228,False,59.493089970752685,22.501950291315787,0.2567460954825785,-92.27450394319202,89.40526735219163,bin_1819,0.31,0.0017499999999999738,False,True,True
41,415.0,170.0,0,414.984989587,170.0064177,558,228,False,59.49605585476703,22.369265486842103,0.2654358966395175,-88.71948906720283,3.555014875989187,bin_1819,0.31174999999999997,0.0017499999999999738,False,True,False
42,407.0,157.0,0,407.137014396,157.216470652,558,228,False,58.370898121290324,20.686377717368423,4.048748532495707,-123.76619252432005,-35.04670345711722,bin_1658,0.3065,-0.005249999999999977,True,True,True
43,398.0,149.0,0,398.075728262,149.001745049,558,228,False,57.0717889981362,19.605492769605263,3.3799389249885845,-140.23886196274418,-16.472669438424134,bin_1577,0.37033333333333335,0.06383333333333335,True,False,False
44,399.0,146.0,0,398.85104195800005,145.907691237,558,228,False,57.18294508358424,19.19838042592105,0.8440287571218954,-74.72844991381447,65.51041204892971,bin_1577,0.3726666666666667,0.002333333333333354,False,False,True
45,395.0,136.0,0,395.02518357599996,136.086000832,558,228,False,56.63443492129032,17.90605274105263,2.8078278032793054,-112.99810683269398,-38.269656918879505,bin_1416,0.33125000000000004,-0.04141666666666666,True,False,True
46,390.0,130.0,0,390.031084659,129.966470546,558,228,False,55.91843507655914,17.10085138763158,2.1549988373139923,-131.6440835704082,-18.645976737714236,bin_1415,0.3526666666666667,0.02141666666666664,True,False,False
47,391.0,130.0,0,390.90560614099996,129.877346598,558,228,False,56.04381450050179,17.08912455236842,0.251853279617155,-5.343373816235596,126.30070975417262,bin_1416,0.33575,-0.01691666666666669,False,False,True
48,391.0,130.0,0,390.977582625,129.949013648,558,228,False,56.05413370967742,17.098554427368423,0.027957726697723954,42.42161747244065,47.76499128867625,bin_1416,0.338,0.0022500000000000298,False,False,True
49,390.0,131.0,0,390.010091882,130.962908007,558,228,False,55.915425359426514,17.231961579868422,0.38490245396716594,136.1160622526395,93.69444478019884,bin_1415,0.3606666666666667,0.02266666666666667,False,False,True
50,389.0,132.0,0,389.004644191,131.985309614,558,228,False,55.77127515283154,17.366488107105262,0.3943433457877914,136.97783707450998,0.8617748218704833,bin_1415,0.3633333333333334,0.002666666666666706,False,False,False
51,388.0,132.0,0,388.001773207,132.01231957,558,228,False,55.62749436659498,17.37004204868421,0.2876494045990737,178.5840639492295,41.60622687471951,bin_1415,0.366,0.002666666666666595,False,False,True
52,386.0,132.0,0,386.018499251,132.00544327,558,228,False,55.343154014480284,17.369137272368423,0.5686835832372563,-179.81768437385102,1.5982516769195172,bin_1415,0.3686666666666667,0.002666666666666706,False,False,False
53,387.0,132.0,0,386.95423962800004,132.00206954200002,558,228,False,55.47731034093191,17.368693360789475,0.2683141217639102,-0.1895860433741163,179.62809833047692,bin_1415,0.37133333333333335,0.0026666666666666505,False,False,True
54,388.0,133.0,0,387.98042458199996,132.982936973,558,228,False,55.624433631827955,17.49775486486842,0.39141862275166345,41.25832907608156,41.44791511945567,bin_1415,0.374,0.0026666666666666505,False,False,True
55,388.0,134.0,0,388.010419683,133.99278688200002,558,228,False,55.628734004731186,17.63062985289474,0.26588911711539764,88.14632348290338,46.887994406821825,bin_1415,0.3766666666666667,0.002666666666666706,False,False,True
56,387.0,134.0,0,387.022567692,134.015107045,558,228,False,55.48710647913978,17.63356671644737,0.28331594499900836,178.81205455508834,90.66573107218495,bin_1415,0.37933333333333336,0.0026666666666666505,False,False,True
57,390.0,137.0,0,389.937960144,136.952973249,558,228,False,55.905083891612904,18.020128059078946,1.1386567330936095,42.76381913504195,-136.04823542004638,bin_1495,0.38475,0.005416666666666625,True,False,True
58,392.0,139.0,0,391.991341674,138.997788813,558,228,False,56.19947550881721,18.28918273855263,0.7976386270156486,42.42526963691398,-0.33854949812796775,bin_1496,0.36050000000000004,-0.02424999999999994,False,False,False
59,391.0,132.0,0,391.05097411,132.160435773,558,228,False,56.06465578637993,17.389531022763155,1.8193950283333302,-98.52279076147859,-140.94806039839256,bin_1416,0.36275,0.0022499999999999742,True,False,True
60,391.0,122.0,0,391.00375630900004,122.12102296399999,558,228,False,56.05788620917563,16.068555653157894,2.641985430905538,-90.29362001474705,8.22917074673154,bin_1336,0.38,0.017249999999999988,True,False,False
61,390.0,115.0,0,390.018506929,114.99452811200001,558,228,False,55.916631817777784,15.130858962105266,1.8965525434326589,-98.5666104052905,-8.272990390543455,bin_1255,0.4228333333333333,0.04283333333333328,True,False,False
62,386.0,105.0,0,386.061225451,105.049049063,558,228,False,55.34927963455197,13.822243297763158,2.8526222720666228,-113.43921212829329,-14.872601723002788,bin_1095,0.426,0.0031666666666667065,True,False,False
63,382.0,96.0,0,382.025419519,96.00288985649999,558,228,False,54.77066946508961,12.631959191644736,2.6469348170919442,-115.92489528172413,-2.4856831534308412,bin_1014,0.545,0.11900000000000005,True,False,False
64,374.0,85.0,0,374.080943971,85.0360131882,558,228,False,53.631676554982086,11.188949103710526,3.676728417033331,-128.28464499565223,-12.359749713928096,bin_933,0.6886666666666666,0.1436666666666666,True,False,False
65,369.0,82.0,0,368.98008026699995,81.8724039169,558,228,False,52.90036993075268,10.772684725907894,1.6829562214974212,-150.3511930141605,-22.066548018508257,bin_852,0.7258333333333333,0.03716666666666668,True,False,False
66,365.0,70.0,0,364.97234227900003,70.1062214658,558,228,False,52.32578383928316,9.224502824447368,3.3027360636418694,-110.36170468891191,39.98948832524857,bin_772,0.7444999999999999,0.01866666666666661,True,True,True
67,365.0,70.0,0,364.917377965,69.8329135219,558,228,False,52.317903650896056,9.188541252881578,0.07362966789271146,-102.35975614069484,8.001948548217072,bin_772,0.7510833333333333,0.0065833333333333854,False,True,False
68,367.0,70.0,0,366.93007227199996,69.9278337671,558,228,False,52.60646197448028,9.201030758828946,0.5776569704194637,2.4783538152531532,104.838109955948,bin_772,0.7576666666666667,0.0065833333333333854,False,True,True
69,368.0,73.0,0,367.989900467,72.91912024279999,558,228,False,52.75840866910394,9.594621084578945,0.843803632443109,68.89077284198879,66.41241902673563,bin_772,0.76425,0.006583333333333274,False,True,True
70,363.0,77.0,0,363.104017654,76.9494352187,558,228,False,52.05792367799283,10.124925686671054,1.7571592913244978,142.87233056493764,73.98155772294885,bin_852,0.7616666666666667,-0.002583333333333271,True,False,True
