frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,larvae_length_mm,pos_x_mm,pos_y_mm,speed_mm_s,speed_BL,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,turn
2,,532.0,88.0,manual,532.0,88.0,552,220,False,4.8,77.10144927536231,12.0,,,,,bin_1037,0.615,,False,False
3,,532.0,88.0,manual,532.0,88.0,552,220,False,4.8,77.10144927536231,12.0,0.0,0.0,0.0,,bin_1037,0.6174999999999999,0.0024999999999999467,False,False
4,,532.0,88.0,manual,532.0,88.0,552,220,False,4.8,77.10144927536231,12.0,0.0,0.0,0.0,0.0,bin_1037,0.62,0.0025000000000000577,False,False
5,,532.0,88.0,manual,532.0,88.0,552,220,False,4.8,77.10144927536231,12.0,0.0,0.0,0.0,0.0,bin_1037,0.6224999999999999,0.0024999999999999467,False,False
6,,532.0,88.0,manual,532.0,88.0,552,220,False,4.8,77.10144927536231,12.0,0.0,0.0,0.0,0.0,bin_1037,0.625,0.0025000000000000577,False,False
7,,532.0,88.0,manual,532.0,88.0,552,220,False,4.8,77.10144927536231,12.0,0.0,0.0,0.0,0.0,bin_1037,0.6275,0.0024999999999999467,False,False
8,,532.0,88.0,manual,532.0,88.0,552,220,False,4.8,77.10144927536231,12.0,0.0,0.0,0.0,0.0,bin_1037,0.63,0.0025000000000000577,False,False
9,,532.0,88.0,manual,532.0,88.0,552,220,False,4.8,77.10144927536231,12.0,0.0,0.0,0.0,0.0,bin_1037,0.6325,0.0024999999999999467,False,False
10,,532.0,88.0,manual,532.0,88.0,552,220,False,4.8,77.10144927536231,12.0,0.0,0.0,0.0,0.0,bin_1037,0.635,0.0025000000000000577,False,False
11,,532.0,88.0,manual,532.0,88.0,552,220,False,4.8,77.10144927536231,12.0,0.0,0.0,0.0,0.0,bin_1037,0.6375,0.0024999999999999467,False,False
12,,532.0,88.0,manual,532.0,88.0,552,220,False,4.8,77.10144927536231,12.0,0.0,0.0,0.0,0.0,bin_1037,0.64,0.0025000000000000577,False,False
13,,532.0,88.0,manual,532.0,88.0,552,220,False,4.8,77.10144927536231,12.0,0.0,0.0,0.0,0.0,bin_1037,0.6425,0.0024999999999999467,False,False
14,,532.0,88.0,manual,532.0,88.0,552,220,False,4.8,77.10144927536231,12.0,0.0,0.0,0.0,0.0,bin_1037,0.645,0.0025000000000000577,False,False
15,,532.0,88.0,manual,532.0,88.0,552,220,False,4.8,77.10144927536231,12.0,0.0,0.0,0.0,0.0,bin_1037,0.6475,0.0024999999999999467,False,False
16,,532.0,88.0,manual,532.0,88.0,552,220,False,4.8,77.10144927536231,12.0,0.0,0.0,0.0,0.0,bin_1037,0.65,0.0025000000000000577,False,False
17,,532.0,88.0,manual,532.0,88.0,552,220,False,4.8,77.10144927536231,12.0,0.0,0.0,0.0,0.0,bin_1037,0.6525,0.0024999999999999467,False,False
18,,532.0,88.0,manual,532.0,88.0,552,220,False,4.8,77.10144927536231,12.0,0.0,0.0,0.0,0.0,bin_1037,0.655,0.0025000000000000577,False,False
19,,532.0,88.0,manual,532.0,88.0,552,220,False,4.8,77.10144927536231,12.0,0.0,0.0,0.0,0.0,bin_1037,0.6575,0.0024999999999999467,False,False
20,,532.0,88.0,manual,532.0,88.0,552,220,False,4.8,77.10144927536231,12.0,0.0,0.0,0.0,0.0,bin_1037,0.66,0.0025000000000000577,False,False
21,,532.0,88.0,manual,532.0,88.0,552,220,False,4.8,77.10144927536231,12.0,0.0,0.0,0.0,0.0,bin_1037,0.6625,0.0024999999999999467,False,False
22,,532.0,88.0,manual,532.0,88.0,552,220,False,4.8,77.10144927536231,12.0,0.0,0.0,0.0,0.0,bin_1037,0.665,0.0025000000000000577,False,False
