frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,larvae_length_mm,pos_x_mm,pos_y_mm,speed_mm_s,speed_BL,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,turn
2,292.0,39.0,1,290.166666667,38.5,538,207,False,4.9,43.14745972743495,5.579710144927536,,,,,bin_443,1.1663333333333332,,False,False
3,307.0,32.0,1,306.372670807,32.2422360248,538,207,False,4.9,45.55727446944238,4.67278782968116,5.149646658437141,1.0509482976402327,-20.623589461232285,,bin_365,1.24125,0.07491666666666674,True,False
4,313.0,29.0,1,312.92477579999996,29.0437692411,538,207,False,4.9,46.53156517472118,4.209241919,2.1578852515385347,0.4403847452119458,-25.44406897976491,-4.8204795185326255,bin_366,1.156,-0.08525000000000005,True,False
5,305.0,19.0,1,305.23681096900003,19.1428107574,538,207,False,4.9,45.38837337828997,2.774320399623188,3.669270908612923,0.7488307976761067,-128.54408362622684,-103.10001464646193,bin_205,1.60625,0.45025000000000004,True,True
6,308.0,7.0,1,307.904001608,7.09515648246,538,207,False,4.9,45.78498165174721,1.0282835481826087,3.581029354341159,0.7308223172124814,-77.2025452317683,51.34153839445854,bin_125,1.5785,-0.02774999999999994,True,True
7,307.0,7.0,1,307.026782558,6.82331348774,538,207,False,4.9,45.65454015732342,0.9888860127159421,0.27252265423894134,0.05561686821202884,-163.19399155888325,-85.99144632711496,bin_45,1.6823333333333335,0.10383333333333344,False,True
8,307.0,9.0,1,306.995138729,8.88831681239,538,207,False,4.9,45.64983475524164,1.288161856868116,0.5986256650086008,0.12216850306297974,90.90076587756695,-105.90524256354979,bin_125,1.6013333333333333,-0.08100000000000018,False,True
9,308.0,9.0,1,307.979641251,8.991853792619999,538,207,False,4.9,45.79622918230483,1.303167216321739,0.29432287772098725,0.06006589341244637,5.852352140425104,-85.04841373714186,bin_125,1.61275,0.01141666666666663,False,True
10,308.0,8.0,1,308.00936077299997,8.01640232195,538,207,False,4.9,45.80064844208178,1.161797437963768,0.28287767030967986,0.05773013679789384,-88.20950059267402,-94.06185273309913,bin_125,1.6241666666666668,0.011416666666666853,False,True
11,308.0,8.0,1,308.00429999,7.989207298819999,538,207,False,4.9,45.799895909293674,1.157856130263768,0.008025013889895533,0.001637757936713374,-100.80965202676494,-12.600151434090918,bin_125,1.6355833333333334,0.01141666666666663,False,False
12,317.0,10.0,1,316.841114533,9.959495695510002,538,207,False,4.9,47.11392037665428,1.443405173262319,2.6893854738803853,0.5488541783429357,12.260258270933011,113.06991029769794,bin_127,1.511,-0.12458333333333349,True,True
13,374.0,20.0,1,373.07695704699995,19.840466968,538,207,False,4.9,55.47612744193308,2.8754299953623192,16.967875776738733,3.46283179117117,9.717618073216368,-2.5426401977166435,bin_215,1.0474166666666667,-0.46358333333333324,True,False
14,370.0,8.0,1,370.702645345,8.326026779500001,538,207,False,4.9,55.123069939776954,1.2066705477536235,3.4113971881397815,0.6962035077836288,-101.94584323665264,-111.663461309869,bin_135,1.0521666666666667,0.004750000000000032,True,True
15,367.0,8.0,1,367.294139224,7.9259267752,538,207,False,4.9,54.616228880892194,1.148685039884058,1.0202944243586083,0.20822335190992006,-173.47341210514531,-71.52756886849268,bin_134,1.11875,0.06658333333333322,True,True
16,362.0,12.0,1,362.146846303,11.891686561099998,538,207,False,4.9,53.850832164014875,1.723432834942029,1.9143324289480952,0.39068008754042755,143.09656853712346,-43.430019357731226,bin_133,1.23,0.11125000000000007,True,True
17,310.0,6.0,1,310.894820246,6.134131040680001,538,207,False,4.9,46.229713047732346,0.8890044986492754,15.333326740531591,3.1292503552105284,-173.75163401091865,43.15179745195792,bin_46,1.7158333333333333,0.48583333333333334,True,True
18,291.0,13.0,1,290.785116927,12.8264712047,538,207,False,4.9,43.239422591375465,1.858908870246377,6.28730514717465,1.283123499423398,162.02946568649156,-24.21890030258976,bin_123,2.031,0.3151666666666668,True,False
19,284.0,24.0,1,283.679630295,23.8532812043,538,207,False,4.9,42.182844653531596,3.456997275985507,3.8315759114475276,0.7819542676423525,123.4707288236605,-38.55873686283107,bin_282,1.9334166666666666,-0.09758333333333358,True,True
20,282.0,30.0,1,281.779913062,30.030571167399998,538,207,False,4.9,41.90035881962825,4.352256690927536,1.8775384591516753,0.38317111411258675,107.51231826443335,-15.958410559227147,bin_361,1.97,0.03658333333333341,True,False
21,282.0,34.0,1,281.877479506,34.0511469087,538,207,False,4.9,41.91486684104089,4.934948827347826,1.1657454413916468,0.23790723293707075,88.57372935410726,-18.93858891032609,bin_361,1.992,0.02200000000000002,True,False
22,282.0,38.0,1,281.952397046,38.020965600100006,538,207,False,4.9,41.92600699568773,5.510284869579711,1.1508877695702644,0.23487505501433967,88.89072811905179,0.31699876494452894,bin_441,1.7676666666666667,-0.22433333333333327,True,False
23,283.0,41.0,1,282.964328593,41.025741566,538,207,False,4.9,42.07648008817844,5.945759647246377,0.9214780161187814,0.18805673798342476,70.93802276824916,-17.95270535080263,bin_442,1.6074166666666667,-0.16025,False,False
24,256.0,44.0,1,256.485263896,44.010452192200006,538,207,False,4.9,38.139072698289965,6.378326404666668,7.922194381249048,1.6167743635202136,173.7305813964568,102.79255862820766,bin_518,2.096,0.48858333333333337,True,True
25,235.0,44.0,1,235.09770592700002,44.0574457308,538,207,False,4.9,34.9587666805948,6.385137062434782,6.360626620466672,1.2980870654013614,179.87730069146696,6.1467192950101435,bin_514,8.447916666666666,6.351916666666666,True,False
26,223.0,50.0,1,222.871909949,49.9169555814,538,207,False,4.9,33.140804453382906,7.234341388608696,4.013046048657662,0.8189889895219717,154.96183778453639,-24.91546290693057,bin_593,8.060333333333334,-0.38758333333333184,True,False
27,177.0,125.0,1,177.55082153599997,123.733342748,538,207,False,4.9,26.40160915033457,17.9323685142029,25.287509779539633,5.1607162815387,122.20877377734908,-32.753064007187305,bin_1386,8.22325,0.16291666666666593,True,True
