frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,speed_mm_s,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,wall,turn
23,,477.0,146.0,21,477.00466934199994,146.000069921,551,214,False,69.25657631099817,20.467299521635514,0.0016491274091072956,-178.85372306932973,-178.23376878787136,bin_1669,0.21066666666666667,0.001333333333333353,False,True,True
24,,477.0,145.0,21,477.00177922800003,145.017862389,551,214,False,69.25615669372051,20.329606876962615,0.2753865681232623,-90.1746079077023,88.67911516162744,bin_1669,0.212,0.0013333333333333253,False,True,True
25,,477.0,145.0,21,477.00066500699995,144.989674818,551,214,False,69.25599491934663,20.325655348317756,0.007909677510285791,-92.3443625074301,-2.16975459972781,bin_1669,0.21333333333333332,0.0013333333333333253,False,True,False
26,,477.0,146.0,21,477.000247947,145.97750260700002,551,214,False,69.2559343661706,20.464135879485983,0.27696108881445025,90.02505363874674,-177.63058385382317,bin_1669,0.21466666666666667,0.001333333333333353,False,True,True
27,,477.0,145.0,21,477.000092418,145.02639508,551,214,False,69.25591178482759,20.330803048598128,0.2666656656001036,-90.00970365385378,179.96524270739948,bin_1669,0.216,0.0013333333333333253,False,True,True
28,,477.0,146.0,21,477.000034446,145.975829606,551,214,False,69.25590336784029,20.463901346635513,0.2661965966070516,90.0036233209209,-179.98667302522534,bin_1669,0.21733333333333332,0.0013333333333333253,False,True,True
29,,478.0,146.0,21,477.982176511,146.00720018299998,551,214,False,69.39850112682394,20.468299091074766,0.2853311130831232,1.7664538206609801,-88.23716950025991,bin_1669,0.21866666666666668,0.001333333333333353,False,True,True
30,,477.0,145.0,21,477.028176008,145.021295623,551,214,False,69.25998925705989,20.330088171448597,0.39134535320837427,-135.06231205599232,-136.8287658766533,bin_1669,0.22,0.0013333333333333253,False,True,True
31,,477.0,144.0,21,476.994331574,144.008827884,551,214,False,69.2550753646461,20.188153441682243,0.28403953142126126,-91.98283317224352,43.079478883748806,bin_1669,0.22133333333333333,0.0013333333333333253,False,True,True
32,,477.0,145.0,21,476.997113471,144.96766025600002,551,214,False,69.25547926983666,20.32256919476636,0.2688327198580794,89.82783273121981,-178.18933409653667,bin_1669,0.22266666666666668,0.001333333333333353,False,True,True
33,,477.0,145.0,21,476.998887115,145.004077731,551,214,False,69.2557367862069,20.327674448271026,0.0102234882555518,87.11236539891357,-2.715467332306247,bin_1669,0.224,0.0013333333333333253,False,True,False
34,,477.0,144.0,21,476.999583439,144.020128123,551,214,False,69.25583788588021,20.18973758733645,0.2758737959693071,-89.95800554315481,-177.0703709420684,bin_1669,0.22533333333333333,0.0013333333333333253,False,True,True
35,,478.0,144.0,21,477.982008329,143.990556234,551,214,False,69.39847670838476,20.18559199542056,0.28539810523420095,-1.6647506739155213,88.29325486923929,bin_1669,0.22666666666666668,0.001333333333333353,False,True,True
36,,478.0,144.0,21,478.01027699300005,143.995669219,551,214,False,69.40258105161524,20.186308769018694,0.008332922115218433,9.906110104493221,11.570860778408743,bin_1669,0.228,0.0013333333333333253,False,True,False
37,,478.0,145.0,21,478.004643105,144.980510716,551,214,False,69.40176306424682,20.324370661121495,0.2761286305643828,90.33946134453348,80.43335124004025,bin_1669,0.22933333333333333,0.0013333333333333253,False,True,True
38,,478.0,146.0,21,478.001769449,145.991880629,551,214,False,69.40134583651542,20.466151490046727,0.28356288565117665,90.16860755633186,-0.17085378820161168,bin_1669,0.23066666666666666,0.0013333333333333253,False,True,False
39,,478.0,145.0,21,478.00066136199996,145.032605505,551,214,False,69.40118495274046,20.331673668925234,0.26895583471769713,-90.0685462987298,179.76284614493835,bin_1669,0.23199999999999998,0.0013333333333333253,False,True,True
