frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,larvae_length_mm,pos_x_mm,pos_y_mm,speed_mm_s,speed_BL,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,turn
2,185.0,176.0,0,185.0,176.0,551,215,False,4.2,26.860254083484573,24.558139534883722,,,,,bin_1946,2.4101666666666666,,False,False
3,186.0,176.0,0,185.83333333299998,176.0,551,215,False,4.2,26.981246218947366,24.558139534883722,0.2419842709255846,0.05761530260132967,0.0,,bin_1946,2.45525,0.045083333333333364,False,False
4,187.0,175.0,0,186.956521739,175.03726708099998,551,215,False,4.2,27.14432257553539,24.42380470897674,0.4225623907992006,0.10061009304742871,-39.48013191831728,-39.48013191831728,bin_1947,2.313333333333333,-0.1419166666666669,False,True
5,188.0,175.0,0,187.982197832,174.99678757900003,551,215,False,4.2,27.293241064537206,24.4181564063721,0.29805113446452325,0.07096455582488649,-2.1721201221457935,37.308011796171485,bin_1947,2.3591666666666664,0.04583333333333339,False,True
6,189.0,174.0,0,188.993225609,174.016325938,551,215,False,4.2,27.44003275629764,24.281347805302325,0.40131979316529515,0.09555233170602265,-42.983948194355406,-40.811828072209615,bin_1947,2.405,0.04583333333333339,False,True
7,191.0,174.0,0,190.97955518700002,173.98901798900002,551,215,False,4.2,27.72842906526316,24.277537393813958,0.5768429604689532,0.13734356201641743,-0.7569715253604375,42.22697666899497,bin_1947,2.450833333333333,0.04583333333333339,False,True
8,192.0,174.0,0,192.009368325,173.995089419,551,215,False,4.2,27.877948214156078,24.278384570093024,0.29904309785253486,0.07120073758393687,0.3246347122158795,1.0816062375763171,bin_1947,2.4966666666666666,0.04583333333333339,False,False
9,194.0,174.0,0,193.986467,173.99813061900002,551,215,False,4.2,28.165004283121597,24.278808923581398,0.5741127652502427,0.13669351553577205,0.08469999008125159,-0.23993472213462788,bin_1948,2.426,-0.07066666666666643,False,False
10,196.0,174.0,0,195.99414131,173.99930138,551,215,False,4.2,28.45649964573503,24.278972285581396,0.5829908167794043,0.1388073373284296,0.03211012370452388,-0.05258986637672771,bin_1948,2.473333333333333,0.047333333333333005,False,False
11,198.0,174.0,0,197.997777387,173.999739524,551,215,False,4.2,28.747408695027225,24.279033421953493,0.5818181114325865,0.13852812176966345,0.012041069374835452,-0.02006905432968843,bin_1948,2.5206666666666666,0.04733333333333345,False,False
12,199.0,174.0,0,199.01700606400001,173.999902912,551,215,False,4.2,28.8953910800726,24.27905622027907,0.2959647736030827,0.07046780323882922,0.008827049414207151,-0.003214019960628301,bin_1948,2.568,0.04733333333333345,False,False
