frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,larvae_length_mm,pos_x_mm,pos_y_mm,speed_mm_s,speed_BL,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,turn
3,236.0,21.0,101,236.0,21.0,564,229,False,4.8,33.47517730496454,2.7510917030567685,,,,,bin_193,3.733,,False,False
4,244.0,18.0,101,242.66666666700002,18.5,564,229,False,4.8,34.42080378255319,2.423580786026201,2.0014722939785385,0.41697339457886223,-19.103159000784917,,bin_194,3.396333333333333,-0.3366666666666669,True,False
5,253.0,17.0,101,252.614906832,17.055900621099997,564,229,False,4.8,35.831901678297875,2.2343974612794755,2.8474462957093984,0.5932179782727913,-7.636007480375508,11.46715152040941,bin_195,3.08375,-0.312583333333333,True,False
6,311.0,25.0,101,309.783295409,24.8227814215,564,229,False,4.8,43.9408929658156,3.2518927626419214,16.345156639118883,3.4052409664831007,7.151948053187721,14.787955533563228,bin_283,1.6055,-1.4782500000000003,True,False
7,392.0,29.0,101,391.066784575,28.9970900128,564,229,False,4.8,55.470465897163116,3.7987454165240173,23.08506875054257,4.809389323029702,2.715528612093881,-4.43641944109384,bin_295,1.0845,-0.5209999999999999,True,False
8,414.0,39.0,101,414.685761992,38.8944774297,564,229,False,4.8,58.82067545985815,5.095346388170305,7.184727745335199,1.4968182802781667,21.15747676262761,18.44194815053373,bin_458,0.5846666666666667,-0.49983333333333335,True,False
9,458.0,79.0,101,457.912467082,78.4202619723,564,229,False,4.8,64.95212299035461,10.27339676493013,16.05077624583854,3.3439117178830298,40.18132617992392,19.02384941729631,bin_864,0.35500000000000004,-0.22966666666666663,True,False
10,529.0,155.0,101,528.4693329090001,154.115897579,564,229,False,4.8,74.96018906510639,20.189855578034937,28.177831140710705,5.870381487648063,44.736572264030066,4.555246084106145,bin_1674,0.6133333333333333,0.25833333333333325,True,False
11,551.0,170.0,101,551.0,170.0,564,229,False,4.8,78.15602836879432,22.270742358078603,7.627182611254845,1.5889963773447595,33.06910581989208,-11.667466444137986,bin_1838,1.1475000000000002,0.5341666666666669,True,False
12,551.0,192.0,101,551.0,188.33333333299998,564,229,False,4.8,78.15602836879432,24.67248908292576,4.803493449694315,1.000727802019649,90.0,56.93089418010792,bin_1998,1.002,-0.14550000000000018,True,True
13,548.0,192.0,101,548.111801242,191.863354037,564,229,False,4.8,77.74635478609929,25.134937210087333,1.2356224579918111,0.25742134541496065,131.53709348582188,41.537093485821885,bin_2077,0.5738333333333334,-0.4281666666666666,True,True
14,515.0,203.0,101,515.701512515,202.774728952,564,229,False,4.8,73.14915071134752,26.564374971877733,9.628619344380926,2.005962363412693,162.72763257729125,31.19053909146936,bin_2153,0.43633333333333335,-0.13750000000000007,True,True
15,413.0,181.0,101,414.564426821,181.51313184,564,229,False,4.8,58.80346479730496,23.779012904803494,29.227175449506237,6.0889948853138,-169.01214951205068,28.26021791065807,bin_1898,0.53375,0.0974166666666666,True,False
16,343.0,166.0,101,343.072799661,166.09465507299998,564,229,False,4.8,48.66280846255319,21.75912511873362,20.679734772753303,4.308278077656938,-168.7348596516777,0.2772898603729743,bin_1728,0.8913333333333333,0.35758333333333336,True,False
17,295.0,173.0,101,294.610069998,172.638025045,564,229,False,4.8,41.788662411063825,22.616335158733623,13.854774338094948,2.886411320436448,172.89187551324403,-18.37326483507826,bin_1801,1.07725,0.18591666666666673,True,False
18,289.0,180.0,101,288.0855188,179.846073336,564,229,False,4.8,40.86319415602837,23.560620961048034,2.644365456990346,0.5509094702063221,134.42338424876596,-38.468491264478075,bin_1880,1.2415,0.16425,True,True
19,372.0,203.0,101,372.0,203.0,564,229,False,4.8,52.765957446808514,26.593886462882097,24.566356959139057,5.11799103315397,14.29678707641895,-120.126597172347,bin_2132,0.5423333333333333,-0.6991666666666667,True,True
