frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,larvae_length_mm,pos_x_mm,pos_y_mm,speed_mm_s,speed_BL,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,turn
32,37.0,166.0,0,36.9868888534,165.992700615,541,205,False,5.2,5.469410551334565,24.29161472414634,0.40016962389647964,0.07695569690316915,-46.39294551936418,86.80682848150687,bin_1925,7.520666666666667,0.0278333333333336,False,True
33,38.0,164.0,0,37.993528701799995,164.015074888,541,205,False,5.2,5.618266721153419,24.00220608117073,0.6508932997723135,0.1251717884177526,-62.781158142696654,-16.38821262333247,bin_1925,7.5485,0.02783333333333271,False,False
34,39.0,163.0,0,38.997512218000004,162.988633919,541,205,False,5.2,5.7667300876894645,23.85199520765854,0.4223963907256376,0.0812300751395457,-45.335226874246814,17.44593126844984,bin_1845,7.246833333333334,-0.30166666666666586,False,False
35,40.0,162.0,0,39.9990691367,161.994950882,541,205,False,5.2,5.914834622802219,23.70657817785366,0.41511957736651256,0.07983068795509857,-44.47541023488421,0.8598166393626059,bin_1845,7.272916666666667,0.026083333333333236,False,False
36,41.0,160.0,0,40.9996528793,160.01591554700002,541,205,False,5.2,6.062795250173753,23.41696325078049,0.650443397186184,0.12508526868965078,-62.93808189292784,-18.462671658043632,bin_1846,6.898,-0.37491666666666745,False,False
37,42.0,160.0,0,41.9998706145,159.971111011,541,205,False,5.2,6.210701754454713,23.410406489414633,0.29610353005813644,0.056942986549641625,-2.538285618735743,60.3997962741921,bin_1846,6.9235,0.025500000000000078,False,True
38,42.0,158.0,0,42.017788103200004,158.023238926,541,205,False,5.2,6.213351290676526,23.12535203795122,0.5701335294167428,0.10964106334937361,-89.4674600909605,-86.92917447222476,bin_1846,6.949,0.025500000000000078,False,True
39,42.0,158.0,0,42.007483458,157.974616223,541,205,False,5.2,6.211827498410352,23.118236520439027,0.014553698133022834,0.0027987881025043912,-102.0873546602112,-12.619894569250704,bin_1846,6.9745,0.025500000000000078,False,False
40,42.0,157.0,0,42.0028300467,157.006746165,541,205,False,5.2,6.211139378439926,22.976596999756097,0.283282384403857,0.05447738161612634,-90.27835493745236,11.808999722758841,bin_1766,7.476666666666667,0.5021666666666667,False,False
41,41.0,158.0,0,41.0188930842,157.96761733600002,541,205,False,5.2,6.065640382136784,23.117212293073173,0.4046856490653903,0.07782416328180582,135.97789033742177,-133.74375472512588,bin_1846,7.0255,-0.4511666666666665,False,True
42,40.0,155.0,0,40.0078953949,155.057605792,541,205,False,5.2,5.916139799615527,22.691356945170735,0.9026698211667464,0.1735903502243743,-109.34411045117433,114.67799921140391,bin_1765,7.8885000000000005,0.8630000000000004,False,True
43,12.0,152.0,0,12.4845644315,152.024804881,541,205,False,5.2,1.8461463114972276,22.247532421609755,8.188242107080004,1.5746619436692315,-173.77660229997164,-64.43249184879731,bin_1761,8.510166666666667,0.6216666666666661,True,True
44,14.0,150.0,0,13.668562818699998,149.991568396,541,205,False,5.2,2.0212292523031423,21.949985618926828,0.6904726959064494,0.13278321075124028,-59.526528845466466,114.25007345450518,bin_1682,11.639,3.1288333333333327,False,True
45,13.0,149.0,0,12.905473454900001,148.978175161,541,205,False,5.2,1.9083879415748617,21.80168416990244,0.37270085156655797,0.07167324068587654,-127.26719754847858,-67.74066870301212,bin_1681,9.495,-2.144,False,True
46,12.0,150.0,0,11.9661565524,149.955298852,541,205,False,5.2,1.7694871057153418,21.94467788078049,0.3987011088680252,0.07667329016692792,134.16817125023084,-98.56463120129058,bin_1681,9.520666666666667,0.025666666666667837,False,True
47,12.0,150.0,0,11.9696161255,149.999425621,541,205,False,5.2,1.7699986876894638,21.951135456731706,0.012955617049292274,0.002491464817171591,85.4703750654874,-48.69779618474344,bin_1681,9.546333333333333,0.02566666666666606,False,True
48,13.0,149.0,0,12.969988756,149.018392065,541,205,False,5.2,1.917928097005545,21.807569570487804,0.41228278563918574,0.0792851510844588,-44.14237798134749,-129.61275304683488,bin_1681,9.572,0.02566666666666606,False,True
49,13.0,149.0,0,13.0057564226,148.989909076,541,205,False,5.2,1.9232172159112753,21.803401328195122,0.013468336587634711,0.0025900647283912904,-38.240893931570525,5.901484049776961,bin_1681,9.597666666666667,0.025666666666667837,False,False
50,13.0,149.0,0,13.0029562715,148.995428009,541,205,False,5.2,1.9228031455083179,21.804208976926827,0.0018152143371289913,0.00034907968021711367,117.14359067287639,155.38448460444693,bin_1681,9.623333333333333,0.02566666666666606,False,True
51,12.0,150.0,0,12.018976974500001,149.980420813,541,205,False,5.2,1.7772978890203328,21.94835426531707,0.40963224399815606,0.07877543153810693,135.2690133371914,18.125422664315025,bin_1681,9.649,0.02566666666666606,False,False
52,13.0,149.0,0,12.9722557701,149.027519776,541,205,False,5.2,1.9182633301441774,21.808905333073167,0.3965716091462186,0.07626377098965742,-44.6901417345909,-179.9591550717823,bin_1681,9.674666666666667,0.025666666666667837,False,True
53,12.0,150.0,0,12.023665773,149.976250569,541,205,False,5.2,1.7779912418484287,21.947743985707316,0.3947274007216436,0.075909115523393,135.2942527087099,179.9843944433008,bin_1681,9.700333333333333,0.02566666666666606,False,True
54,12.0,150.0,0,11.9926116519,150.007357168,541,205,False,5.2,1.7733991352162661,21.95229617092683,0.012932104792941289,0.002486943229411786,135.25013570897647,-0.04411699973343275,bin_1681,9.725999999999999,0.02566666666666606,False,False
55,12.0,151.0,0,11.996470568800001,150.98568148200002,541,205,False,5.2,1.773969769878004,22.09546558273171,0.2863410979965857,0.05506559576857417,89.77163568516676,-45.478500023809715,bin_1761,8.884166666666667,-0.8418333333333319,False,True
56,12.0,150.0,0,11.998647406600002,150.029519485,541,205,False,5.2,1.7742916682587802,21.95553943682927,0.2798530323271722,0.053817890832148496,-89.86819199516975,-179.6398276803365,bin_1681,9.777333333333333,0.8931666666666658,False,True
57,13.0,149.0,0,12.9816577637,149.012670412,541,205,False,5.2,1.919653643430684,21.806732255414637,0.4160465409852338,0.08000895018946803,-45.67099744642763,44.197194548742125,bin_1681,9.803,0.025666666666667837,False,True
58,12.0,150.0,0,12.0279825783,149.969129626,541,205,False,5.2,1.778629586439926,21.94670189648781,0.397387896505594,0.07642074932799883,135.2149987661229,-179.11400378744946,bin_1681,9.828666666666667,0.02566666666666606,False,True
59,13.0,150.0,0,12.9764231479,150.00462716799998,541,205,False,5.2,1.9188795782476893,21.951896658731705,0.28069232805225214,0.053979293856202336,2.1212261719501986,-133.0937725941727,bin_1681,9.854333333333333,0.02566666666666606,False,True
60,12.0,150.0,0,12.0252578219,150.002496664,541,205,False,5.2,1.7782266649759704,21.95158487765854,0.2813065176582958,0.05409740724197996,-179.87299438063235,178.00577944741744,bin_1681,9.879999999999999,0.02566666666666606,False,True
61,12.0,151.0,0,11.9932068899,150.98313116399999,541,205,False,5.2,1.7734871556229206,22.09509236546341,0.2871714610122185,0.05522528096388817,91.89157528198783,-88.23543033737985,bin_1761,9.071166666666667,-0.8088333333333324,False,True
62,12.0,150.0,0,11.996692512000001,150.02853359,541,205,False,5.2,1.7740025895748615,21.955395159512197,0.2793963136674143,0.053730060320656595,-89.78859952243454,178.31982519557764,bin_1681,9.931333333333333,0.8601666666666663,False,True
63,12.0,150.0,0,11.9987301325,149.994464935,541,205,False,5.2,1.7743039012939001,21.950409502682927,0.009989507049153773,0.001921059047914187,-86.54149539208643,3.247104130348106,bin_1681,9.957,0.025666666666667837,False,False
64,13.0,149.0,0,12.9816885971,149.014999508,541,205,False,5.2,1.9196582028983364,21.807073098731706,0.40828028457215965,0.07851543934079992,-44.59951902183483,41.9419763702516,bin_1681,9.982666666666667,0.02566666666666606,False,True
65,12.0,150.0,0,12.0279940704,149.97073442,541,205,False,5.2,1.7786312858262476,21.946936744390246,0.3972426498539927,0.07639281727961399,135.23728159729126,179.83680061912608,bin_1681,10.008333333333333,0.02566666666666606,False,True
66,12.0,150.0,0,11.9942637588,150.005260554,541,205,False,5.2,1.773643439378928,21.951989349365853,0.014199637913913625,0.0027306995988295433,134.6304609470965,-0.6068206501947486,bin_1681,10.033999999999999,0.02566666666666606,False,False
67,12.0,150.0,0,11.9970881952,150.00273442399998,541,205,False,5.2,1.7740611009537892,21.951619671804877,0.0011155316045801198,0.00021452530857309996,-41.512449218227516,-176.14291016532403,bin_1681,10.059666666666667,0.025666666666667837,False,True
68,13.0,150.0,0,12.981041366900001,150.001056189,541,205,False,5.2,1.9195624941811462,21.951374076439023,0.2910032010008529,0.05596215403862556,-0.09671085792088692,41.41573836030663,bin_1681,10.085333333333333,0.02566666666666606,False,True
69,13.0,149.0,0,13.009914822999999,149.018231757,541,205,False,5.2,1.9238321364879851,21.807546110780486,0.28778265097744804,0.05534281749566308,-88.29963066821638,-88.2029198102955,bin_1681,10.111,0.025666666666667837,False,True
70,14.0,149.0,0,13.9866717062,148.989812572,541,205,False,5.2,2.0682693835415895,21.803387205658534,0.2889942202068224,0.05557581157823508,-1.649310650874031,86.65032001734235,bin_1682,11.9575,1.846499999999999,False,True
71,13.0,149.0,0,13.0298903249,148.995390281,541,205,False,5.2,1.9267859999852126,21.8042034557561,0.28297147620763924,0.05441759157839216,179.66945117101122,-178.68123817811474,bin_1681,10.162333333333333,-1.7951666666666668,False,True
72,13.0,150.0,0,12.994972387,149.980406667,541,205,False,5.2,1.9216225341219966,21.948352195170735,0.28848237696295514,0.05547738018518368,92.05148076357258,-87.61797040743863,bin_1681,10.188,0.025666666666667837,False,True
73,14.0,149.0,0,13.9795160734,149.027514499,541,205,False,5.2,2.0672112493012937,21.80890456082927,0.4031958169970989,0.07753765711482671,-43.76575886812923,-135.81723963170182,bin_1682,11.994250000000001,1.8062500000000004,False,True
74,13.0,149.0,0,13.0271473955,148.99408493,541,205,False,5.2,1.9263803912014787,21.80401242878049,0.28183160609919483,0.0541983857883067,-178.01047967192062,-134.24472080379138,bin_1681,10.239333333333333,-1.7549166666666682,False,True
75,13.0,149.0,0,12.9939464222,148.997021539,541,205,False,5.2,1.9214708202883548,21.804442176439025,0.009856686989249517,0.00189551672870183,174.99750000123052,-6.992020326848888,bin_1681,10.265,0.025666666666667837,False,False
76,13.0,150.0,0,12.9969698344,149.981016523,541,205,False,5.2,1.921917905271719,21.94844144239024,0.28799991999631736,0.055384599999291795,89.82211020207639,-85.17538979915413,bin_1681,10.290666666666667,0.02566666666666606,False,True
