frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,speed_mm_s,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,wall,turn
35,150.0,91.0,0,150.0,91.0,548,214,False,21.8978102189781,12.757009345794392,,,,bin_981,32.20666666666666,,False,False,False
36,116.0,73.0,0,121.666666667,76.0,548,214,False,17.761557177664233,10.654205607476635,9.280166546708385,-153.05195715152107,,bin_817,73.89699999999999,41.6903333333,True,False,False
37,100.0,60.0,0,100.807453416,60.5962732919,548,214,False,14.716416557080292,8.494804667088784,7.46616201819336,-144.65839807631357,8.393559075207492,bin_654,84.64575,10.74875,True,True,False
38,98.0,56.0,0,97.97349752379999,56.0348012314,548,214,False,14.302700368437955,7.855345967018692,1.5232445815955813,-122.90200879825362,21.756389278059956,bin_574,86.03183333333334,1.38608333333,True,True,False
39,97.0,55.0,0,96.95550892799999,54.9487148582,548,214,False,14.154088894598537,7.703090867971962,0.4255207884108762,-134.30615708011464,-11.404148281861026,bin_574,85.80924999999999,-0.222583333333,False,True,False
40,95.0,58.0,0,94.9996580899,57.9061400881,548,214,False,13.86856322480292,8.117683189920562,1.0068002811500758,124.5548037441469,-101.13903917573845,bin_653,83.85666666666667,-1.95258333333,True,True,True
41,91.0,60.0,0,91.0363439079,59.979283102299995,548,214,False,13.289977212832117,8.4083107152757,1.2949534844809354,153.32932337086066,28.77451962671377,bin_653,83.61233333333334,-0.244333333333,True,True,False
42,87.0,62.0,0,87.0152914993,61.992961209099995,548,214,False,12.702962262671534,8.690602038658877,1.30272781956855,154.31742904260437,0.9881056717437104,bin_652,81.757,-1.85533333333,True,True,False
43,83.0,62.0,0,83.0057829165,62.0330822655,548,214,False,12.117632542554743,8.696226485817757,1.1707134844321967,179.44946044013278,25.132031397528408,bin_652,81.50383333333333,-0.253166666667,True,True,False
44,77.0,62.0,0,77.0378320913,62.014038973000005,548,214,False,11.246398845445256,8.693556865373832,1.7424755744082951,-179.82443573276612,0.7261038271010989,bin_651,75.60266666666666,-5.90116666667,True,True,False
