frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,speed_mm_s,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,wall,turn
33,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.2405,0.0018333333333333257,False,False,False
34,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.24233333333333335,0.0018333333333333535,False,False,False
35,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.24416666666666667,0.0018333333333333257,False,False,False
36,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.246,0.0018333333333333257,False,False,False
37,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.24783333333333335,0.0018333333333333535,False,False,False
38,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.24966666666666665,0.001833333333333298,False,False,False
39,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.2515,0.0018333333333333535,False,False,False
40,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.2533333333333333,0.001833333333333298,False,False,False
41,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.25516666666666665,0.0018333333333333535,False,False,False
42,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.257,0.0018333333333333535,False,False,False
43,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.25883333333333336,0.0018333333333333535,False,False,False
44,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.26066666666666666,0.001833333333333298,False,False,False
45,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.2625,0.0018333333333333535,False,False,False
46,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.2643333333333333,0.001833333333333298,False,False,False
47,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.26616666666666666,0.0018333333333333535,False,False,False
48,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.268,0.0018333333333333535,False,False,False
49,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.26983333333333337,0.0018333333333333535,False,False,False
50,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.27166666666666667,0.001833333333333298,False,False,False
51,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.2735,0.0018333333333333535,False,False,False
52,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.2753333333333333,0.001833333333333298,False,False,False
53,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.2771666666666667,0.0018333333333333535,False,False,False
54,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.279,0.0018333333333333535,False,False,False
55,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.2808333333333333,0.001833333333333298,False,False,False
56,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.2826666666666667,0.0018333333333333535,False,False,False
57,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.2845,0.001833333333333298,False,False,False
58,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.28633333333333333,0.0018333333333333535,False,False,False
59,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.2881666666666667,0.0018333333333333535,False,False,False
60,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.29000000000000004,0.0018333333333333535,False,False,False
61,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.29183333333333333,0.001833333333333298,False,False,False
62,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.2936666666666667,0.0018333333333333535,False,False,False
63,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.2955,0.001833333333333298,False,False,False
64,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.29733333333333334,0.0018333333333333535,False,False,False
65,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.2991666666666667,0.0018333333333333535,False,False,False
66,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.301,0.001833333333333298,False,False,False
67,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.30283333333333334,0.0018333333333333535,False,False,False
68,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.30466666666666664,0.001833333333333298,False,False,False
69,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.3065,0.0018333333333333535,False,False,False
70,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.30833333333333335,0.0018333333333333535,False,False,False
71,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.3101666666666667,0.0018333333333333535,False,False,False
72,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.312,0.001833333333333298,False,False,False
73,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.31383333333333335,0.0018333333333333535,False,False,False
74,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.31566666666666665,0.001833333333333298,False,False,False
75,,430.0,141.0,manual,430.0,141.0,554,216,False,62.09386281588448,19.583333333333332,0.0,0.0,0.0,bin_1582,0.3175,0.0018333333333333535,False,False,False
