frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,larvae_length_mm,pos_x_mm,pos_y_mm,speed_mm_s,speed_BL,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,turn
4,,117.0,137.0,426,117.0,137.0,552,214,False,5.1,16.956521739130434,19.205607476635514,,,,,bin_1536,7.703333333333333,,False,False
5,,124.0,144.0,426,122.833333333,142.83333333299998,552,214,False,5.1,17.80193236710145,20.023364485934575,2.3523993335691062,0.4612547712880601,44.047426359199314,,bin_1617,5.59875,-2.1045833333333333,True,False
6,,132.0,147.0,426,131.658385093,146.844720497,552,214,False,5.1,19.0809253757971,20.585708480887853,2.7943184392279727,0.5479055763192103,23.733994818206472,-20.31343154099284,bin_1619,4.763999999999999,-0.8347500000000005,True,False
7,,139.0,147.0,426,138.878597243,147.013385089,552,214,False,5.1,20.127332933768116,20.60935304985981,2.093349319173208,0.41046065081827615,1.2944320838867984,-22.439562734319672,bin_1620,4.610333333333333,-0.15366666666666617,True,False
8,,147.0,144.0,426,146.936253324,144.063680261,552,214,False,5.1,21.295109177391307,20.19584302724299,2.477653643248186,0.4858144398525855,-19.49907426535486,-20.79350634924166,bin_1621,4.2973333333333334,-0.3129999999999997,True,False
9,,153.0,141.0,426,153.011164245,141.026566589,552,214,False,5.1,22.17553105,19.770079428364486,1.9559318146579379,0.3835160420897918,-25.807966659674065,-6.308892394319205,bin_1542,4.3645,0.06716666666666615,True,False
10,,158.0,136.0,426,158.02368039,136.045731548,552,214,False,5.1,22.901982665217393,19.07183152542056,2.015224139610827,0.39514198815898566,-43.865906378162855,-18.05793971848879,bin_1542,4.495,0.1305000000000005,True,False
11,,161.0,129.0,426,161.045435853,129.054435312,552,214,False,5.1,23.339918239565215,18.091743268037387,2.146961163635469,0.4209727771834253,-65.9233419634565,-22.05743558529364,bin_1463,5.091666666666667,0.5966666666666667,True,False
12,,163.0,123.0,426,163.03652317,123.004241707,552,214,False,5.1,23.62848161884058,17.24358528602804,1.7918044383302405,0.35133420359416484,-71.21048270669411,-5.2871407432376145,bin_1383,6.477,1.3853333333333335,True,False
13,,163.0,117.0,426,163.05022287100002,117.000813009,552,214,False,5.1,23.630467082753626,16.401983132102803,1.6832089918468809,0.3300409787935061,-89.86483103563985,-18.654348328945744,bin_1303,7.0145,0.5374999999999996,True,False
14,,164.0,113.0,426,164.002634485,112.96459360799999,552,214,False,5.1,23.768497751449274,15.836157982429905,1.1648357231866229,0.22839916140914177,-76.29069412284014,13.574136912799716,bin_1223,7.18,0.16549999999999976,True,False
15,,164.0,107.0,426,164.018048523,107.020767274,552,214,False,5.1,23.770731670000004,15.002911300093457,1.6664993537553963,0.3267645791677248,-89.84639146991158,-13.555697347071444,bin_1223,7.43,0.25,True,False
16,,162.0,101.0,426,162.043216341,101.009365621,552,214,False,5.1,23.484524107391305,14.160191442196263,1.7799904806359823,0.349017741301173,-108.7587002369076,-18.91230876699602,bin_1143,8.584,1.154,True,False
17,,159.0,95.0,426,159.03568992299998,95.00356849149999,552,214,False,5.1,23.048650713478256,13.31825726516355,1.896142161312838,0.3717925806495761,-117.37082110850461,-8.612120871597014,bin_1063,10.772916666666667,2.1889166666666675,True,False
18,,155.0,89.0,426,155.032075633,89.00133375370001,552,214,False,5.1,22.468416758405798,12.47682248883645,2.0441956123929668,0.4008226690966602,-124.58924803907126,-7.21842693056665,bin_982,22.5485,11.775583333333334,True,False
19,,151.0,85.0,426,151.012853486,84.9648246334,552,214,False,5.1,21.885920795072465,11.910956724308411,1.6241990158407686,0.31847039526289583,-135.82968073539433,-11.240432696323069,bin_901,38.64966666666666,16.10116666666666,True,False
