frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,larvae_length_mm,pos_x_mm,pos_y_mm,speed_mm_s,speed_BL,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,turn
2,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,,,,,bin_555,0.5553333333333333,,False,False
3,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,,bin_555,0.558,0.002666666666666706,False,False
4,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.5606666666666668,0.002666666666666706,False,False
5,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.5633333333333334,0.002666666666666595,False,False
6,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.5660000000000001,0.002666666666666706,False,False
7,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.5686666666666667,0.002666666666666595,False,False
8,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.5713333333333334,0.002666666666666706,False,False
9,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.5740000000000001,0.002666666666666706,False,False
10,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.5766666666666667,0.002666666666666595,False,False
11,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.5793333333333334,0.002666666666666706,False,False
12,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.5820000000000001,0.002666666666666706,False,False
13,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.5846666666666667,0.002666666666666595,False,False
14,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.5873333333333334,0.002666666666666706,False,False
15,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.5900000000000001,0.002666666666666706,False,False
16,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.5926666666666667,0.002666666666666595,False,False
17,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.5953333333333334,0.002666666666666706,False,False
18,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.5980000000000001,0.002666666666666706,False,False
19,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.6006666666666667,0.002666666666666595,False,False
20,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.6033333333333334,0.002666666666666706,False,False
21,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.606,0.002666666666666595,False,False
22,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.6086666666666667,0.002666666666666706,False,False
23,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.6113333333333334,0.002666666666666706,False,False
24,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.614,0.002666666666666595,False,False
25,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.6166666666666667,0.002666666666666706,False,False
26,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.6193333333333334,0.002666666666666706,False,False
27,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.622,0.002666666666666595,False,False
28,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.6246666666666667,0.002666666666666706,False,False
29,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.6273333333333334,0.002666666666666706,False,False
30,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.63,0.002666666666666595,False,False
31,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.6326666666666667,0.002666666666666706,False,False
32,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.6353333333333333,0.002666666666666595,False,False
33,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.638,0.002666666666666706,False,False
34,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.6406666666666667,0.002666666666666706,False,False
35,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.6433333333333333,0.002666666666666595,False,False
36,,528.0,47.0,manual,528.0,47.0,557,229,False,4.4,75.83482944344703,6.157205240174672,0.0,0.0,0.0,0.0,bin_555,0.646,0.002666666666666706,False,False
