frames,interpolated,manual_tracker_fix,measurement_x,measurement_y,objid,pixel_height,pixel_width,position_x,position_y,larvae_length_mm,pos_x_mm,pos_y_mm,speed_mm_s,speed_BL,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,turn
1,,True,137,29,,229,566,137,29,4.7,19.363957597173144,3.7991266375545854,,,,,bin_259,80.67041666666665,,False,False
2,,True,137,29,,229,566,137,29,4.7,19.363957597173144,3.7991266375545854,0.0,0.0,0.0,,bin_259,80.63083333333333,-0.039583333333325754,False,False
3,,True,137,29,,229,566,137,29,4.7,19.363957597173144,3.7991266375545854,0.0,0.0,0.0,0.0,bin_259,80.59124999999999,-0.039583333333339965,False,False
4,,True,137,29,,229,566,137,29,4.7,19.363957597173144,3.7991266375545854,0.0,0.0,0.0,0.0,bin_259,80.55166666666666,-0.039583333333325754,False,False
5,,True,137,29,,229,566,137,29,4.7,19.363957597173144,3.7991266375545854,0.0,0.0,0.0,0.0,bin_259,80.51208333333332,-0.039583333333339965,False,False
6,,True,137,29,,229,566,137,29,4.7,19.363957597173144,3.7991266375545854,0.0,0.0,0.0,0.0,bin_259,80.4725,-0.039583333333325754,False,False
7,,True,137,29,,229,566,137,29,4.7,19.363957597173144,3.7991266375545854,0.0,0.0,0.0,0.0,bin_259,80.43291666666666,-0.039583333333339965,False,False
8,,True,137,29,,229,566,137,29,4.7,19.363957597173144,3.7991266375545854,0.0,0.0,0.0,0.0,bin_259,80.39333333333333,-0.039583333333325754,False,False
9,,True,137,29,,229,566,137,29,4.7,19.363957597173144,3.7991266375545854,0.0,0.0,0.0,0.0,bin_259,80.35374999999999,-0.039583333333339965,False,False
10,,True,137,29,,229,566,137,29,4.7,19.363957597173144,3.7991266375545854,0.0,0.0,0.0,0.0,bin_259,80.31416666666667,-0.039583333333325754,False,False
11,,True,137,29,,229,566,137,29,4.7,19.363957597173144,3.7991266375545854,0.0,0.0,0.0,0.0,bin_259,80.27458333333333,-0.039583333333339965,False,False
12,,True,137,29,,229,566,137,29,4.7,19.363957597173144,3.7991266375545854,0.0,0.0,0.0,0.0,bin_259,80.235,-0.039583333333325754,False,False
13,,True,137,29,,229,566,137,29,4.7,19.363957597173144,3.7991266375545854,0.0,0.0,0.0,0.0,bin_259,80.19541666666666,-0.039583333333339965,False,False
14,,True,137,29,,229,566,137,29,4.7,19.363957597173144,3.7991266375545854,0.0,0.0,0.0,0.0,bin_259,80.15583333333333,-0.039583333333325754,False,False
15,,True,137,29,,229,566,137,29,4.7,19.363957597173144,3.7991266375545854,0.0,0.0,0.0,0.0,bin_259,80.11625,-0.039583333333339965,False,False
16,,True,137,29,,229,566,137,29,4.7,19.363957597173144,3.7991266375545854,0.0,0.0,0.0,0.0,bin_259,80.07666666666665,-0.039583333333339965,False,False
17,,True,137,29,,229,566,137,29,4.7,19.363957597173144,3.7991266375545854,0.0,0.0,0.0,0.0,bin_259,80.03708333333333,-0.039583333333325754,False,False
18,,True,137,29,,229,566,137,29,4.7,19.363957597173144,3.7991266375545854,0.0,0.0,0.0,0.0,bin_259,79.99749999999999,-0.039583333333339965,False,False
19,,True,137,29,,229,566,137,29,4.7,19.363957597173144,3.7991266375545854,0.0,0.0,0.0,0.0,bin_259,79.95791666666666,-0.039583333333325754,False,False
20,,True,137,29,,229,566,137,29,4.7,19.363957597173144,3.7991266375545854,0.0,0.0,0.0,0.0,bin_259,79.91833333333332,-0.039583333333339965,False,False
21,,True,137,29,,229,566,137,29,4.7,19.363957597173144,3.7991266375545854,0.0,0.0,0.0,0.0,bin_259,79.87875,-0.039583333333325754,False,False
22,,True,137,29,,229,566,137,29,4.7,19.363957597173144,3.7991266375545854,0.0,0.0,0.0,0.0,bin_259,79.83916666666666,-0.039583333333339965,False,False
