frames,interpolated,manual_tracker_fix,measurement_x,measurement_y,objid,pixel_height,pixel_width,position_x,position_y,larvae_length_mm,pos_x_mm,pos_y_mm,speed_mm_s,speed_BL,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,turn
39,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.69925,0.004083333333333328,False,False
40,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.7033333333333334,0.004083333333333328,False,False
41,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.7074166666666667,0.004083333333333328,False,False
42,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.7115,0.004083333333333328,False,False
43,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.7155833333333333,0.004083333333333328,False,False
44,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.7196666666666667,0.004083333333333328,False,False
45,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.72375,0.004083333333333328,False,False
46,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.7278333333333333,0.004083333333333328,False,False
47,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.7319166666666667,0.004083333333333328,False,False
48,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.736,0.004083333333333328,False,False
49,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.7400833333333333,0.004083333333333328,False,False
50,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.7441666666666666,0.004083333333333328,False,False
51,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.7482500000000001,0.004083333333333439,False,False
52,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.7523333333333333,0.004083333333333217,False,False
53,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.7564166666666667,0.004083333333333439,False,False
54,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.7605,0.004083333333333217,False,False
55,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.7645833333333334,0.004083333333333439,False,False
56,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.7686666666666666,0.004083333333333217,False,False
57,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.77275,0.004083333333333439,False,False
58,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.7768333333333334,0.004083333333333328,False,False
59,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.7809166666666667,0.004083333333333328,False,False
60,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.785,0.004083333333333328,False,False
61,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.7890833333333334,0.004083333333333328,False,False
62,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.7931666666666667,0.004083333333333328,False,False
63,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.79725,0.004083333333333328,False,False
64,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.8013333333333333,0.004083333333333328,False,False
65,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.8054166666666667,0.004083333333333328,False,False
66,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.8095,0.004083333333333328,False,False
67,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.8135833333333333,0.004083333333333328,False,False
68,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.8176666666666667,0.004083333333333328,False,False
69,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.82175,0.004083333333333328,False,False
70,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.8258333333333334,0.004083333333333439,False,False
71,,True,391,196,,215,553,391,196,6.8,56.56419529837251,27.348837209302324,0.0,0.0,0.0,0.0,bin_2216,0.8299166666666666,0.004083333333333217,False,False
