frames,interpolated,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,speed_mm_s,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,wall,turn
35,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,11.7975,0.08249999999999957,False,True,False
36,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,11.879999999999999,0.08249999999999957,False,True,False
37,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,11.9625,0.08250000000000135,False,True,False
38,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,12.045,0.08249999999999957,False,True,False
39,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,12.1275,0.08249999999999957,False,True,False
40,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,12.21,0.08250000000000135,False,True,False
41,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,12.2925,0.08249999999999957,False,True,False
42,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,12.375,0.08249999999999957,False,True,False
43,,130.0,198.0,manual,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,12.4575,0.08249999999999957,False,True,False
44,,130.0,198.0,35,130.0,198.0,555,224,False,18.73873873873874,26.517857142857142,0.0,0.0,0.0,bin_2098,12.54,0.08249999999999957,False,True,False
45,,123.0,194.0,35,124.166666667,194.66666666700002,555,224,False,17.897897897945946,26.071428571473216,1.9040081815927423,-152.03477641044628,-152.03477641044628,bin_2097,13.290000000000001,0.7500000000000018,True,True,True
46,,121.0,196.0,35,121.118012422,195.950310559,555,224,False,17.45845224100901,26.243345164151783,0.9437537819557464,158.6339462554074,-49.33127733414631,bin_2097,13.380666666666666,0.09066666666666556,False,True,True
47,,120.0,195.0,35,120.011377326,195.02583322200002,555,224,False,17.298937272216218,26.119531235089287,0.4038559857120265,-142.18174191658704,59.18431182800555,bin_2097,13.471333333333334,0.09066666666666734,False,True,True
48,,122.0,194.0,35,121.94753905600001,194.01190315099998,555,224,False,17.578023647711714,25.983737029151786,0.620739144418681,-25.946023209745505,116.23571870684154,bin_2017,11.567999999999998,-1.903333333333336,False,True,True
49,,125.0,193.0,35,124.95980067200001,193.004547933,555,224,False,18.012223520288288,25.84882338388393,0.9093541027014165,-17.260951637669905,8.6850715720756,bin_2018,10.833583333333333,-0.7344166666666645,False,True,False
50,,127.0,192.0,35,127.001874611,192.001700502,555,224,False,18.306576520504503,25.714513460089286,0.6470945660906452,-24.52667429277272,-7.265722655102817,bin_2018,10.929166666666667,0.0955833333333338,False,True,False
51,,127.0,193.0,35,127.03718106299999,192.96495848799998,555,224,False,18.31166573881081,25.843521226071427,0.2582162181325735,87.74091420586053,112.26758849863326,bin_2018,11.024750000000001,0.0955833333333338,False,True,True
52,,126.0,193.0,35,126.03344038200001,193.003068745,555,224,False,18.166982397405405,25.848625278348216,0.2895466845251515,177.9795916524207,90.23867744656017,bin_2018,11.120333333333335,0.0955833333333338,False,True,True
53,,127.0,192.0,35,126.97772815399999,192.019751993,555,224,False,18.303095950126124,25.716931070491075,0.378788931292221,-44.05459487828658,137.9658134692927,bin_2018,11.215916666666669,0.0955833333333338,False,True,True
54,,126.0,193.0,35,126.025709329,192.97257970599998,555,224,False,18.165868011387385,25.84454192491071,0.3747854710961607,137.07966639158772,-178.8657387301257,bin_2018,11.3115,0.09558333333333202,False,True,True
