frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,speed_mm_s,angle_counterclock,angle_delta,bin_ID,concentration,concentration_delta,moving,wall,turn
32,280.0,18.0,1,279.976493463,18.0085574032,553,221,False,40.50292852990958,2.4446005524705883,0.27450848512053916,1.7602464206937476,-134.06398749437227,bin_200,3.850666666666667,0.08283333333333331,False,True,True
33,260.0,15.0,1,260.36417425400003,15.057509309,553,221,False,37.66570332788427,2.044005788552036,5.730732243574643,-171.96339189813636,-173.72363831883013,bin_197,6.50775,2.6570833333333326,True,True,True
34,258.0,18.0,1,257.83252629599997,17.9170161166,553,221,False,37.29946130864376,2.432174133475113,1.0673478920346295,133.33521327239038,-54.70139482947326,bin_197,6.6495,0.14175000000000004,True,True,True
35,253.0,23.0,1,252.97657896400003,22.9284010224,553,221,False,36.59697344867993,3.112452627475113,1.955779151944781,135.92017969974427,2.5849664273538906,bin_276,6.376250000000001,-0.2732499999999991,True,True,False
36,261.0,33.0,1,260.76126466200003,32.8821860769,553,221,False,37.723148594864384,4.463645168809955,3.517949256963482,50.189890588296,-85.73028911144826,bin_357,5.384,-0.9922500000000003,True,True,True
37,256.0,23.0,1,256.13188498,23.308454562399998,553,221,False,37.05343724846293,3.164043605755656,2.924022920698146,-117.26298005854159,-167.4528706468376,bin_277,6.161916666666667,0.777916666666667,True,True,True
38,241.0,42.0,1,241.238088361,41.6145747355,553,221,False,34.89881929273056,5.649037294411764,6.578015557240657,130.92697837144374,-111.81004157001468,bin_434,10.722833333333334,4.5609166666666665,True,True,True
39,226.0,45.0,1,226.097780581,45.11778107560001,553,221,False,32.70853968622062,6.124585666371042,4.4826202198118255,167.75019854100114,36.8232201695574,bin_512,12.832749999999999,2.109916666666665,True,True,True
40,222.0,46.0,1,221.840677395,46.092082464099995,553,221,False,32.09268389077758,6.256843773407239,1.2597945350851094,167.87953814179505,0.12933960079391227,bin_512,12.883333333333333,0.05058333333333387,True,True,False
41,223.0,45.0,1,222.842067939,45.0722990349,553,221,False,32.23755051558771,6.118411633696833,0.40074828153682496,-43.698880791009756,148.42158106719518,bin_512,12.933916666666667,0.05058333333333387,False,True,True
42,222.0,44.0,1,221.972092831,44.028764423199995,553,221,False,32.111695165424955,5.97675535156561,0.3789779488668405,-131.61967571067214,-87.92079491966238,bin_432,14.657,1.7230833333333333,False,True,True
43,222.0,42.0,1,221.97324367,42.0286442442,553,221,False,32.11186165207957,5.705245825004526,0.5430191552099444,-89.96486686275847,41.65480884791367,bin_432,14.722166666666666,0.06516666666666637,False,True,True
44,222.0,41.0,1,221.98924484,40.9936975428,553,221,False,32.114176468716096,5.5647553225520365,0.2810191428028604,-89.05604136109176,0.9088255016667119,bin_432,14.787333333333333,0.06516666666666637,False,True,False
45,223.0,41.0,1,222.978117605,40.9790021372,553,221,False,32.25723220325497,5.562760471113122,0.28613928508137987,-0.7989135218568907,88.25712783923487,bin_432,14.8525,0.06516666666666637,False,True,True
46,222.0,40.0,1,222.026661399,40.0091176601,553,221,False,32.1195893524774,5.431101944809956,0.380943680448956,-136.27299800064262,-135.47408447878573,bin_432,14.917666666666666,0.06516666666666637,False,True,True
47,221.0,40.0,1,221.01160329799998,39.9863728154,553,221,False,31.972745504231465,5.428014409330316,0.2937526077706377,-178.79547769944696,-42.52247969880435,bin_431,16.219083333333334,1.3014166666666682,False,True,True
48,221.0,40.0,1,220.986568135,39.9941061835,553,221,False,31.96912378083183,5.42906418780543,0.007541595383016422,163.83544865017655,-17.369073650376492,bin_431,16.308,0.08891666666666609,False,True,False
49,222.0,40.0,1,221.97630766700001,39.997764294,553,221,False,32.11230490661845,5.429560763891402,0.28636397377695877,0.1987105472434231,-163.63673810293312,bin_432,15.113166666666666,-1.1948333333333334,False,True,True
50,221.0,40.0,1,221.025947936,39.999164852199996,553,221,False,31.974820677902354,5.429750884914027,0.27496872034224135,179.92076818300384,179.72205763576042,bin_431,16.485833333333332,1.3726666666666656,False,True,True
51,222.0,40.0,1,221.975662863,39.9996886383,553,221,False,32.11221162575045,5.429821987099547,0.27478193249279154,0.029651551609507915,-179.89111663139434,bin_432,15.2435,-1.2423333333333328,False,True,True
52,221.0,40.0,1,221.02497435900003,39.9998839465,553,221,False,31.974679834936715,5.429848499524887,0.27506358673834536,179.98895491690462,179.9593033652951,bin_431,16.663666666666668,1.4201666666666686,False,True,True
53,222.0,40.0,1,221.975264907,39.9999567449,553,221,False,32.11215405526221,5.429858381660633,0.27494844136135094,0.004118624339269672,-179.98483629256535,bin_432,15.373833333333332,-1.2898333333333358,False,True,True
54,222.0,40.0,1,222.006988028,39.9999838781,553,221,False,32.11674329518987,5.429862064900452,0.00917848281142232,0.04598453220433799,0.04186590786506832,bin_432,15.439,0.06516666666666815,False,True,False
55,221.0,40.0,1,221.02121646900002,39.9999939911,553,221,False,31.974136198047024,5.429863437705881,0.28521419429890843,179.99944844289826,179.95346391069393,bin_431,16.930416666666666,1.491416666666666,False,True,True
56,222.0,40.0,1,221.97312572299998,39.9999977604,553,221,False,32.11184458922242,5.429863949375566,0.27541678235269673,0.00021288835902111354,-179.99923555453924,bin_432,15.569333333333333,-1.3610833333333332,False,True,True
57,221.0,40.0,1,221.023991705,39.999999165300004,553,221,False,31.974537678842673,5.429864140085973,0.27461382075976304,179.99992041987235,179.99970753151334,bin_431,17.108249999999998,1.5389166666666654,False,True,True
58,221.0,40.0,1,220.99273321299998,39.9999996889,553,221,False,31.97001565468354,5.429864211162896,0.00904404831938329,179.99909942813974,-0.0008209917326098548,bin_431,17.197166666666668,0.08891666666666964,False,True,False
59,222.0,40.0,1,221.978679553,39.999999884,553,221,False,32.11264803660036,5.429864237647059,0.2852647638336499,1.0638753347149486e-05,-179.9990887893864,bin_432,15.764833333333332,-1.432333333333336,False,True,True
